input_data,output_data
"Represent below as a Python list.

data pre-processing algorithm that contains, a PCA converts table into numpy array, and a pre-processing converts numpy array into experiment result, and inputs experiment result and process it with language model.in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 500, 75, 'round rectangle', 92, 92, 'dashed line', (208, 208, 208), (128, 96, 64), [1]]
[1, 500, 225, 'round rectangle', 55, 55, 'dashed line', (240, 240, 240), (128, 96, 64), [2]]
[2, 500, 375, 'round rectangle', 92, 92, 'solid arrow', (208, 208, 208), (128, 96, 64), [3]]
[3, 500, 525, 'circle', 27, 27, 'solid arrow', (232, 224, 240), (64, 64, 128), []]
"
"Represent below as a Python list.

process that contains, 
* python code that inputs tokens, and outputs pytorch tensor
* PCA that, with tensor as input, and table as output

in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 500, 60, 'rectangle', 51, 51, 'solid arrow', (192, 224, 208), (48, 32, 64), [1]]
[1, 500, 180, 'rectangle', 25, 25, 'solid arrow', (240, 240, 240), (64, 64, 64), [2]]
[2, 500, 300, 'rectangle', 51, 51, 'solid arrow', (192, 224, 208), (32, 64, 48), [3]]
[3, 500, 420, 'rectangle', 25, 25, 'solid arrow', (240, 240, 240), (64, 64, 64), [4]]
[4, 500, 540, 'rectangle', 86, 86, 'dashed line', (192, 192, 224), (0, 0, 0), []]
"
"Represent below as a Python list.

CNN model with 5 input size, 5, 8 8 nodes in 3 hidden layer, and 1 output size in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 500, 100, 'rectangle', 611, 60, 'solid line', (240, 240, 240), (64, 64, 64), [1]]
[1, 500, 200, 'rectangle', 611, 60, 'solid line', (232, 224, 240), (64, 128, 96), [2]]
[2, 500, 300, 'rectangle', 750, 60, 'solid line', (232, 224, 240), (64, 128, 96), [3]]
[3, 500, 400, 'rectangle', 750, 60, 'solid line', (232, 224, 240), (64, 128, 96), [4]]
[4, 500, 500, 'round rectangle', 236, 60, 'solid line', (192, 192, 224), (32, 32, 64), []]
"
"Represent below as a Python list.

machine learning model that contains, 
* function that, with matrix, data store, data storage as input, and table as output
* a pre-processing converts table into data store
* LLM that, with database as input, and picture and line chart as output
* inputs jpg file, and outputs data storage and process them with python code
* LLM that handle data storage, and outputs text
* inputs text and process it with process
* function that with table as output

in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 45, 100, 'round rectangle', 30, 30, 'solid arrow', (208, 208, 208), (128, 96, 64), [1]]
[1, 136, 200, 'rectangle', 15, 15, 'solid arrow', (255, 255, 255), (32, 32, 64), [2]]
[2, 227, 300, 'round rectangle', 50, 50, 'dashed line', (208, 192, 224), (64, 128, 96), [3]]
[3, 318, 300, 'circle', 50, 50, 'solid arrow', (224, 240, 232), (48, 32, 64), [4]]
[4, 409, 300, 'circle', 15, 15, 'solid arrow', (192, 224, 208), (128, 96, 64), [5, 14]]
[5, 500, 200, 'rectangle', 50, 50, 'solid arrow', (240, 240, 240), (64, 128, 96), [6]]
[6, 590, 300, 'rectangle', 15, 15, 'solid arrow', (255, 255, 255), (32, 32, 64), [7]]
[7, 681, 300, 'circle', 50, 50, 'solid arrow', (224, 240, 232), (48, 32, 64), [8]]
[8, 772, 300, 'circle', 15, 15, 'solid arrow', (192, 224, 208), (128, 96, 64), [9]]
[9, 863, 300, 'round rectangle', 30, 30, 'solid arrow', (224, 208, 192), (64, 64, 64), [10]]
[10, 954, 300, 'round rectangle', 15, 15, 'solid arrow', (224, 224, 224), (0, 0, 0), []]
[11, 45, 300, 'circle', 50, 50, 'solid arrow', (224, 240, 232), (48, 32, 64), [1]]
[12, 45, 499, 'circle', 50, 50, 'solid arrow', (224, 240, 232), (48, 32, 64), [1]]
[13, 136, 400, 'rectangle', 15, 15, 'solid arrow', (255, 255, 255), (32, 32, 64), [2]]
[14, 500, 400, 'round rectangle', 50, 50, 'dashed line', (208, 192, 224), (64, 128, 96), []]
"
"Represent below as a Python list.

neural network consist of 64 x 64 input, 3x3 convolutional layer, 2 * 2 average pooling layer, then conv layer, and then 2 x 2 pooling layer, then 3 x 3 conv layer, and then 2 * 2 pooling layer, then 1024 256, and 64 nodes in each of the 3 intermediate layers, and 1 output nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 83, 300, 'round rectangle', 45, 216, 'solid arrow', (192, 192, 224), (128, 96, 64), [1]]
[1, 166, 300, 'rectangle', 45, 215, 'solid arrow', (224, 240, 232), (64, 48, 32), [2]]
[2, 250, 300, 'round rectangle', 45, 179, 'solid arrow', (232, 224, 240), (96, 64, 128), [3]]
[3, 333, 300, 'rectangle', 45, 176, 'solid arrow', (224, 240, 232), (64, 48, 32), [4]]
[4, 416, 300, 'round rectangle', 45, 140, 'solid arrow', (232, 224, 240), (96, 64, 128), [5]]
[5, 500, 300, 'rectangle', 45, 133, 'solid arrow', (224, 240, 232), (64, 48, 32), [6]]
[6, 583, 300, 'round rectangle', 45, 101, 'solid arrow', (232, 224, 240), (96, 64, 128), [7]]
[7, 666, 300, 'rectangle', 45, 360, 'solid arrow', (192, 192, 224), (48, 32, 64), [8]]
[8, 750, 300, 'rectangle', 45, 288, 'solid arrow', (192, 192, 224), (48, 32, 64), [9]]
[9, 833, 300, 'rectangle', 45, 216, 'solid arrow', (192, 192, 224), (48, 32, 64), [10]]
[10, 916, 300, 'round rectangle', 45, 35, 'solid arrow', (224, 240, 232), (32, 32, 64), []]
"
"Represent below as a Python list.

algorithm that contains, 
* outputs data storage and tokens and process them with python code
* pre-processing that inputs data storage, and outputs tokens
* inputs sentence, and outputs data storage and process them with function
* pre-processing that handle data storage, and outputs database
* inputs tokens and process it with code file
* a feature engineering converts database into histogram
* outputs DB, matrices and process them with language model
* a pre-processing converts histogram into pytorch tensor
* a feature engineering converts histogram into matrix.in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 62, 200, 'round rectangle', 20, 20, 'solid arrow', (192, 224, 208), (64, 64, 128), [1, 8]]
[1, 187, 100, 'circle', 68, 68, 'solid arrow', (208, 192, 224), (64, 128, 96), [2, 10]]
[2, 312, 100, 'round rectangle', 20, 20, 'solid arrow', (224, 240, 232), (64, 64, 128), [3]]
[3, 437, 100, 'rectangle', 40, 40, 'solid arrow', (192, 192, 224), (32, 64, 48), [4]]
[4, 562, 300, 'round rectangle', 20, 20, 'solid arrow', (192, 224, 208), (64, 64, 128), [5]]
[5, 687, 300, 'circle', 68, 68, 'solid arrow', (208, 192, 224), (64, 128, 96), [6]]
[6, 812, 300, 'round rectangle', 20, 20, 'solid arrow', (224, 240, 232), (64, 64, 128), [7]]
[7, 937, 300, 'circle', 68, 68, 'dashed line', (208, 192, 224), (64, 128, 96), []]
[8, 187, 300, 'rectangle', 40, 40, 'solid arrow', (192, 192, 224), (32, 64, 48), [9]]
[9, 312, 300, 'round rectangle', 20, 20, 'solid arrow', (192, 224, 208), (64, 64, 128), []]
[10, 312, 499, 'round rectangle', 68, 68, 'dashed line', (240, 232, 224), (64, 128, 96), [13, 14]]
[11, 62, 400, 'circle', 20, 20, 'solid arrow', (240, 232, 224), (64, 64, 128), [1, 12]]
[12, 187, 499, 'rectangle', 40, 40, 'dashed line', (224, 208, 192), (48, 32, 64), []]
[13, 437, 300, 'rectangle', 40, 40, 'dashed line', (224, 208, 192), (48, 32, 64), []]
[14, 437, 499, 'rectangle', 40, 40, 'dashed line', (224, 208, 192), (48, 32, 64), []]
"
"Represent below as a Python list.

RAG process that contains, first, a pre-processing converts text into graph, and a processing converts chart into tensorflow tensor, and a processing converts tensors into experiment result, and a processing converts line chart into tensor, and inputs tensor and process it with processing, and then a processing converts experiment result into string, and then machine learning model that outputs buffers.in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 71, 300, 'rectangle', 44, 44, 'dashed line', (232, 224, 240), (64, 64, 128), [1]]
[1, 214, 300, 'round rectangle', 74, 74, 'dashed line', (224, 240, 232), (0, 0, 0), [2, 7]]
[2, 357, 100, 'round rectangle', 44, 44, 'dashed line', (224, 224, 224), (64, 64, 128), [3]]
[3, 500, 300, 'round rectangle', 44, 44, 'dashed line', (224, 224, 224), (64, 64, 128), [4]]
[4, 642, 300, 'round rectangle', 74, 74, 'dashed line', (224, 240, 232), (0, 0, 0), [5]]
[5, 785, 300, 'round rectangle', 44, 44, 'solid arrow', (224, 224, 224), (64, 64, 128), [6]]
[6, 928, 300, 'rectangle', 22, 22, 'solid arrow', (224, 224, 224), (64, 128, 96), []]
[7, 357, 300, 'rectangle', 44, 44, 'dashed line', (232, 224, 240), (64, 64, 128), []]
[8, 357, 499, 'circle', 22, 22, 'solid arrow', (224, 240, 232), (32, 64, 48), [3]]
"
"Represent below as a Python list.

neural network with 5 input nodes, 4, and 8 nodes in the mid layers, and 2 output elements in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 296, 120, 'circle', 61, 75, 'solid arrow', (224, 224, 240), (32, 64, 48), [5, 6, 7, 8]]
[1, 398, 120, 'circle', 61, 75, 'solid arrow', (224, 224, 240), (32, 64, 48), [5, 6, 7, 8]]
[2, 500, 120, 'circle', 61, 75, 'solid arrow', (224, 224, 240), (32, 64, 48), [5, 6, 7, 8]]
[3, 601, 120, 'circle', 61, 75, 'solid arrow', (224, 224, 240), (32, 64, 48), [5, 6, 7, 8]]
[4, 703, 120, 'circle', 61, 75, 'solid arrow', (224, 224, 240), (32, 64, 48), [5, 6, 7, 8]]
[5, 335, 240, 'circle', 68, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [9, 10, 11, 12, 13, 14, 15, 16]]
[6, 445, 240, 'circle', 68, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [9, 10, 11, 12, 13, 14, 15, 16]]
[7, 554, 240, 'circle', 68, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [9, 10, 11, 12, 13, 14, 15, 16]]
[8, 664, 240, 'circle', 68, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [9, 10, 11, 12, 13, 14, 15, 16]]
[9, 208, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[10, 291, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[11, 375, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[12, 458, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[13, 541, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[14, 625, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[15, 708, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[16, 791, 360, 'circle', 46, 75, 'solid arrow', (224, 240, 232), (32, 64, 48), [17, 18]]
[17, 437, 480, 'circle', 93, 75, 'solid arrow', (232, 224, 240), (64, 48, 32), []]
[18, 562, 480, 'circle', 93, 75, 'solid arrow', (232, 224, 240), (64, 48, 32), []]
"
"Represent below as a Python list.

RAG process that includes, 
- a python code converts jpg file into string
- function that, with sentence as input, and picture as output
- a process converts jpg file into tokens
- inputs string, and outputs numpy array and process them with python code
- inputs tensorflow tensor, and outputs histogram and process them with process
- inputs sentence and process it with CNN model
- inputs tokens and process it with process
- pre-processing that with graph as output.in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 55, 300, 'rectangle', 62, 62, 'dashed line', (208, 192, 224), (0, 0, 0), [1]]
[1, 166, 300, 'round rectangle', 37, 37, 'solid arrow', (208, 192, 224), (64, 48, 32), [2, 9, 10]]
[2, 277, 100, 'round rectangle', 18, 18, 'solid arrow', (232, 224, 240), (128, 96, 64), [3]]
[3, 388, 300, 'rectangle', 62, 62, 'dashed line', (208, 192, 224), (0, 0, 0), [4]]
[4, 500, 200, 'round rectangle', 37, 37, 'solid arrow', (208, 192, 224), (64, 48, 32), [5]]
[5, 611, 200, 'round rectangle', 18, 18, 'solid arrow', (232, 224, 240), (128, 96, 64), [6]]
[6, 722, 300, 'round rectangle', 37, 37, 'solid arrow', (224, 208, 192), (32, 32, 32), [7]]
[7, 833, 300, 'rectangle', 18, 18, 'solid arrow', (192, 224, 208), (48, 32, 64), [8]]
[8, 944, 300, 'round rectangle', 62, 62, 'dashed line', (192, 192, 224), (64, 64, 64), []]
[9, 277, 300, 'circle', 18, 18, 'solid arrow', (192, 192, 224), (64, 64, 128), []]
[10, 277, 499, 'rectangle', 18, 18, 'solid arrow', (192, 224, 208), (48, 32, 64), []]
[11, 611, 400, 'round rectangle', 62, 62, 'dashed line', (192, 192, 224), (64, 64, 64), [6]]
[12, 500, 400, 'rectangle', 18, 18, 'solid arrow', (192, 224, 208), (48, 32, 64), [11]]
"
"Represent below as a Python list.

neural net of 256 * 256 input, a 3 x 3 convolutional layer and a 2 x 2 average pooling layer, then 2 3 x 3 convolutional layers and a 2 x 2 max pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then a 3 x 3 convolutional layer and a 2 x 2 pooling layer, a 3 x 3 convolutional layer and a 2 x 2 average pooling layer, then 1024, 128 nodes in 2 intermediate layers, and 1 output size in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","[0, 62, 300, 'round rectangle', 33, 288, 'solid arrow', (232, 224, 240), (64, 128, 96), [1]]
[1, 125, 300, 'round rectangle', 33, 287, 'solid arrow', (192, 224, 208), (0, 0, 0), [2]]
[2, 187, 300, 'round rectangle', 33, 251, 'solid arrow', (224, 208, 192), (48, 32, 64), [3]]
[3, 250, 300, 'round rectangle', 33, 251, 'solid arrow', (192, 224, 208), (0, 0, 0), [4]]
[4, 312, 300, 'round rectangle', 33, 250, 'solid arrow', (192, 224, 208), (0, 0, 0), [5]]
[5, 375, 300, 'round rectangle', 33, 214, 'solid arrow', (224, 208, 192), (48, 32, 64), [6]]
[6, 437, 300, 'round rectangle', 33, 212, 'solid arrow', (192, 224, 208), (0, 0, 0), [7]]
[7, 500, 300, 'round rectangle', 33, 176, 'solid arrow', (224, 208, 192), (48, 32, 64), [8]]
[8, 562, 300, 'round rectangle', 33, 173, 'solid arrow', (192, 224, 208), (0, 0, 0), [9]]
[9, 625, 300, 'round rectangle', 33, 137, 'solid arrow', (224, 208, 192), (48, 32, 64), [10]]
[10, 687, 300, 'round rectangle', 33, 129, 'solid arrow', (192, 224, 208), (0, 0, 0), [11]]
[11, 750, 300, 'round rectangle', 33, 93, 'solid arrow', (224, 208, 192), (48, 32, 64), [12]]
[12, 812, 300, 'rectangle', 33, 360, 'solid arrow', (192, 192, 224), (32, 32, 32), [13]]
[13, 875, 300, 'rectangle', 33, 252, 'solid arrow', (192, 192, 224), (32, 32, 32), [14]]
[14, 937, 300, 'round rectangle', 33, 35, 'solid arrow', (208, 192, 224), (64, 64, 128), []]
"
