{'loss': 0.6846, 'grad_norm': 1.8736966848373413, 'learning_rate': 0.0001999107142857143, 'epoch': 0.0}                                                                                                                            
{'loss': 0.4086, 'grad_norm': 0.6135802268981934, 'learning_rate': 0.00019982142857142857, 'epoch': 0.0}                                                                                                                            
{'loss': 0.3451, 'grad_norm': 0.5426694750785828, 'learning_rate': 0.00019973214285714285, 'epoch': 0.01}                                                                                                                           
{'loss': 0.3897, 'grad_norm': 0.4660683572292328, 'learning_rate': 0.00019964285714285716, 'epoch': 0.01}                                                                                                                           
{'loss': 0.2066, 'grad_norm': 0.2921687662601471, 'learning_rate': 0.00019955357142857142, 'epoch': 0.01}                                                                                                                           
{'loss': 0.418, 'grad_norm': 1.1760218143463135, 'learning_rate': 0.00019946428571428573, 'epoch': 0.01}                                                                                                                            
{'loss': 0.4373, 'grad_norm': 0.7024899125099182, 'learning_rate': 0.000199375, 'epoch': 0.01}                                                                                                                                      
{'loss': 0.3363, 'grad_norm': 0.5217052102088928, 'learning_rate': 0.0001992857142857143, 'epoch': 0.01}                                                                                                                            
{'loss': 0.3498, 'grad_norm': 0.6483408212661743, 'learning_rate': 0.00019919642857142857, 'epoch': 0.02}                                                                                                                           
{'loss': 0.3569, 'grad_norm': 0.6958180665969849, 'learning_rate': 0.00019910714285714288, 'epoch': 0.02}                                                                                                                           
{'loss': 0.3074, 'grad_norm': 0.7523892521858215, 'learning_rate': 0.00019901785714285713, 'epoch': 0.02}                                                                                                                           
{'loss': 0.3579, 'grad_norm': 0.5913861989974976, 'learning_rate': 0.00019892857142857144, 'epoch': 0.02}                                                                                                                           
{'loss': 0.2359, 'grad_norm': 0.35158950090408325, 'learning_rate': 0.00019883928571428572, 'epoch': 0.02}                                                                                                                          
{'loss': 0.2849, 'grad_norm': 0.3957826793193817, 'learning_rate': 0.00019875, 'epoch': 0.03}                                                                                                                                       
{'loss': 0.2192, 'grad_norm': 0.4273289740085602, 'learning_rate': 0.0001986607142857143, 'epoch': 0.03}                                                                                                                            
{'loss': 0.2913, 'grad_norm': 0.6135852932929993, 'learning_rate': 0.0001985714285714286, 'epoch': 0.03}                                                                                                                            
{'loss': 0.2721, 'grad_norm': 0.39101338386535645, 'learning_rate': 0.00019848214285714285, 'epoch': 0.03}                                                                                                                          
{'loss': 0.2007, 'grad_norm': 0.3908582329750061, 'learning_rate': 0.00019839285714285716, 'epoch': 0.03}                                                                                                                           
{'loss': 0.2369, 'grad_norm': 0.3576497733592987, 'learning_rate': 0.00019830357142857144, 'epoch': 0.03}                                                                                                                           
{'loss': 0.2527, 'grad_norm': 0.419904500246048, 'learning_rate': 0.00019821428571428572, 'epoch': 0.04}                                                                                                                            
{'loss': 0.3264, 'grad_norm': 0.6943850517272949, 'learning_rate': 0.000198125, 'epoch': 0.04}                                                                                                                                      
{'loss': 0.1622, 'grad_norm': 0.344623863697052, 'learning_rate': 0.0001980357142857143, 'epoch': 0.04}                                                                                                                             
{'loss': 0.351, 'grad_norm': 0.7092546224594116, 'learning_rate': 0.00019794642857142857, 'epoch': 0.04}                                                                                                                            
{'loss': 0.2313, 'grad_norm': 0.4443453252315521, 'learning_rate': 0.00019785714285714288, 'epoch': 0.04}                                                                                                                           
{'loss': 0.2131, 'grad_norm': 0.40353044867515564, 'learning_rate': 0.00019776785714285716, 'epoch': 0.04}                                                                                                                          
{'loss': 0.2899, 'grad_norm': 0.5007291436195374, 'learning_rate': 0.00019767857142857144, 'epoch': 0.05}                                                                                                                           
{'loss': 0.2327, 'grad_norm': 0.415176659822464, 'learning_rate': 0.00019758928571428572, 'epoch': 0.05}                                                                                                                            
{'loss': 0.1128, 'grad_norm': 0.2974361777305603, 'learning_rate': 0.00019750000000000003, 'epoch': 0.05}                                                                                                                           
{'loss': 0.2026, 'grad_norm': 0.5505491495132446, 'learning_rate': 0.00019741071428571428, 'epoch': 0.05}                                                                                                                           
{'loss': 0.183, 'grad_norm': 0.35023996233940125, 'learning_rate': 0.0001973214285714286, 'epoch': 0.05}                                                                                                                            
{'loss': 0.1999, 'grad_norm': 0.3658493161201477, 'learning_rate': 0.00019723214285714287, 'epoch': 0.06}                                                                                                                           
{'loss': 0.1552, 'grad_norm': 0.2920926511287689, 'learning_rate': 0.00019714285714285716, 'epoch': 0.06}                                                                                                                           
{'loss': 0.2533, 'grad_norm': 0.39516085386276245, 'learning_rate': 0.00019705357142857144, 'epoch': 0.06}                                                                                                                          
