{'loss': 0.4184, 'grad_norm': 0.6823576092720032, 'learning_rate': 0.00019964285714285716, 'epoch': 0.0}
{'loss': 0.4252, 'grad_norm': 0.6052178144454956, 'learning_rate': 0.0001992857142857143, 'epoch': 0.01}
{'loss': 0.2993, 'grad_norm': 0.3040838837623596, 'learning_rate': 0.00019892857142857144, 'epoch': 0.01}
{'loss': 0.3141, 'grad_norm': 0.3691977858543396, 'learning_rate': 0.0001985714285714286, 'epoch': 0.01}
{'loss': 0.2425, 'grad_norm': 0.2828020751476288, 'learning_rate': 0.00019821428571428572, 'epoch': 0.02}
{'loss': 0.3485, 'grad_norm': 0.35126087069511414, 'learning_rate': 0.00019785714285714288, 'epoch': 0.02}
{'loss': 0.2826, 'grad_norm': 0.2652764916419983, 'learning_rate': 0.00019750000000000003, 'epoch': 0.03}
{'loss': 0.2533, 'grad_norm': 0.2628096342086792, 'learning_rate': 0.00019714285714285716, 'epoch': 0.03}
{'loss': 0.2681, 'grad_norm': 0.314679890871048, 'learning_rate': 0.00019678571428571428, 'epoch': 0.03}
{'loss': 0.3253, 'grad_norm': 0.43192213773727417, 'learning_rate': 0.00019642857142857144, 'epoch': 0.04}
{'loss': 0.2765, 'grad_norm': 0.2816958427429199, 'learning_rate': 0.00019607142857142856, 'epoch': 0.04}
{'loss': 0.2992, 'grad_norm': 0.39480945467948914, 'learning_rate': 0.00019571428571428572, 'epoch': 0.04}
{'loss': 0.2908, 'grad_norm': 0.3318728804588318, 'learning_rate': 0.00019535714285714287, 'epoch': 0.05}
{'loss': 0.206, 'grad_norm': 0.2575228214263916, 'learning_rate': 0.000195, 'epoch': 0.05}
{'loss': 0.3336, 'grad_norm': 0.4383762776851654, 'learning_rate': 0.00019464285714285715, 'epoch': 0.05}
{'loss': 0.2942, 'grad_norm': 0.37366732954978943, 'learning_rate': 0.0001942857142857143, 'epoch': 0.06}
{'loss': 0.2851, 'grad_norm': 0.3484896719455719, 'learning_rate': 0.00019392857142857143, 'epoch': 0.06}
{'loss': 0.2507, 'grad_norm': 0.3665103018283844, 'learning_rate': 0.00019357142857142858, 'epoch': 0.06}
{'loss': 0.2597, 'grad_norm': 0.3530285358428955, 'learning_rate': 0.00019321428571428574, 'epoch': 0.07}
{'loss': 0.1997, 'grad_norm': 0.2677057385444641, 'learning_rate': 0.00019285714285714286, 'epoch': 0.07}
{'loss': 0.2299, 'grad_norm': 0.3046968877315521, 'learning_rate': 0.00019250000000000002, 'epoch': 0.07}
{'loss': 0.2058, 'grad_norm': 0.2798556387424469, 'learning_rate': 0.00019214285714285717, 'epoch': 0.08}
{'loss': 0.2442, 'grad_norm': 0.3284994661808014, 'learning_rate': 0.0001917857142857143, 'epoch': 0.08}
{'loss': 0.2356, 'grad_norm': 0.41941186785697937, 'learning_rate': 0.00019142857142857145, 'epoch': 0.09}
{'loss': 0.2355, 'grad_norm': 0.34636354446411133, 'learning_rate': 0.00019107142857142858, 'epoch': 0.09}
{'loss': 0.209, 'grad_norm': 0.28972604870796204, 'learning_rate': 0.00019071428571428573, 'epoch': 0.09}
{'loss': 0.1904, 'grad_norm': 0.31944540143013, 'learning_rate': 0.00019035714285714286, 'epoch': 0.1}
{'loss': 0.2076, 'grad_norm': 0.3737383484840393, 'learning_rate': 0.00019, 'epoch': 0.1}
{'loss': 0.256, 'grad_norm': 0.5329931974411011, 'learning_rate': 0.00018964285714285714, 'epoch': 0.1}
