img_no,img_path,property_gender_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2000.jpg,0.10006162375211716,0.010203799232840538,0.047867171466350555,0.017585793510079384,0.15474772453308105,0.26990363001823425
2001,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2001.jpg,0.9581992387771606,0.9804432988166809,0.9630894064903259,0.8762655854225159,0.9851240515708923,0.9860738515853882
2002,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2002.jpg,0.7219485640525818,0.36122870445251465,0.7725849747657776,0.8436806797981262,0.8837355375289917,0.7485129237174988
2003,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2003.jpg,0.5950520634651184,0.9777937531471252,0.4815945327281952,0.5493670701980591,0.6028149724006653,0.36368998885154724
2004,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2004.jpg,0.9960084915161133,0.9991342425346375,0.9867961406707764,0.9995484948158264,0.9956580400466919,0.9989055395126343
2005,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2005.jpg,0.0031924330367473887,0.00024061810108833015,0.011323614045977592,0.00013792423123959452,0.0034169135615229607,0.0008430952439084649
2006,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2006.jpg,0.978132688999176,0.9953129291534424,0.9610923528671265,0.9790327548980713,0.9771273732185364,0.9780980348587036
2007,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2007.jpg,0.8240473151206971,0.9658995866775513,0.6097025871276855,0.8375488519668579,0.9295399188995361,0.7775456309318542
2008,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2008.jpg,0.9171704769134521,0.9947015047073364,0.90951007604599,0.8788370490074158,0.9053970575332642,0.8974066972732544
2009,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2009.jpg,0.01641566175967455,0.008429301902651787,0.0356033593416214,0.016089199110865593,0.009343726560473442,0.012612721882760525
2010,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2010.jpg,0.7143051385879516,0.9059423208236694,0.3649417757987976,0.6054906249046326,0.7754889130592346,0.9196620583534241
2011,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2011.jpg,0.892550015449524,0.980256199836731,0.5996590852737427,0.9600134491920471,0.9535923600196838,0.969228982925415
2012,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2012.jpg,0.9749068021774292,0.9901757836341858,0.9482406377792358,0.9846500754356384,0.969424307346344,0.9820432066917419
2013,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2013.jpg,0.6762459218502045,0.9118521809577942,0.6922988891601562,0.342547744512558,0.6605193614959717,0.7740114331245422
2014,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2014.jpg,0.00504936974029988,0.0010627801530063152,0.004017499275505543,0.0005705415969714522,0.013672721572220325,0.005923306103795767
2015,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2015.jpg,0.001371026155538857,0.0005858271615579724,0.0015408501494675875,0.0001303691533394158,0.0036446170415729284,0.0009534672717563808
2016,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2016.jpg,0.9692262411117554,0.9487789273262024,0.9861623048782349,0.9777204990386963,0.9682066440582275,0.9652628302574158
2017,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2017.jpg,0.8974895119667053,0.9697284698486328,0.8608713150024414,0.8894067406654358,0.7855244278907776,0.981916606426239
2018,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2018.jpg,0.9877126932144165,0.9918609261512756,0.989923894405365,0.9904778003692627,0.9686275124549866,0.9976733326911926
2019,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2019.jpg,0.49253861904144286,0.747730553150177,0.1757155954837799,0.4784746468067169,0.43675971031188965,0.6240125894546509
2020,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2020.jpg,0.9947358131408691,0.9982830286026001,0.9896919131278992,0.9984912872314453,0.9894009232521057,0.9978119134902954
2021,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2021.jpg,0.8995862126350402,0.9460185170173645,0.9792495369911194,0.8519664406776428,0.8148502707481384,0.9058462977409363
2022,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2022.jpg,0.22027161121368408,0.46225717663764954,0.2503090798854828,0.1037074401974678,0.07666254788637161,0.20842181146144867
2023,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2023.jpg,0.3681642781943083,0.6015397906303406,0.7121986746788025,0.01963307522237301,0.3773689568042755,0.13008089363574982
2024,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2024.jpg,0.006863070321560372,0.0006115637952461839,0.015028554014861584,5.752649303758517e-05,0.013464133255183697,0.005153574049472809
2025,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2025.jpg,0.9991218566894531,0.9992353916168213,0.9982585310935974,0.9997400641441345,0.9988446235656738,0.9995306730270386
2026,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2026.jpg,0.882308030128479,0.9627453088760376,0.762637734413147,0.8429528474807739,0.8823210000991821,0.9608832597732544
2027,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2027.jpg,0.9741207122802734,0.9975679516792297,0.9286507368087769,0.9881080985069275,0.9779857397079468,0.9782910346984863
2028,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2028.jpg,0.9560702204704284,0.9692713022232056,0.8624173998832703,0.984992265701294,0.9773942232131958,0.9862759113311768
2029,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2029.jpg,0.991922914981842,0.9893146753311157,0.9845459461212158,0.9952257871627808,0.9953552484512329,0.995172917842865
2030,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2030.jpg,0.9342644453048706,0.9852348566055298,0.9359973669052124,0.9951924085617065,0.7704912424087524,0.9844063520431519
2031,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2031.jpg,0.001234447605384048,0.00021092045062687248,0.0040428610518574715,6.939552986295894e-05,0.0010435759322717786,0.0008054850623011589
2032,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2032.jpg,0.9593148708343506,0.9961495399475098,0.9830884337425232,0.9515050053596497,0.9340845346450806,0.9317468404769897
2033,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2033.jpg,0.645167100429535,0.45635896921157837,0.5868687033653259,0.7623825073242188,0.7621372938156128,0.6580880284309387
