img_no,img_path,property_quality_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2000.jpg,0.9785273909568787,0.9776027798652649,0.9569476842880249,0.9889427423477173,0.9774883985519409,0.9916553497314453
2001,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2001.jpg,0.9998022317886353,0.9995331764221191,0.9999268054962158,0.9997681975364685,0.9998230338096619,0.9999599456787109
2002,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2002.jpg,0.9998767733573913,0.9998218417167664,0.9998388290405273,0.9998382329940796,0.9999375343322754,0.9999474287033081
2003,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2003.jpg,0.7701945304870605,0.8989156484603882,0.9401916265487671,0.6590641140937805,0.7133943438529968,0.6394069194793701
2004,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2004.jpg,0.9995741844177246,0.9998668432235718,0.999653697013855,0.9996200799942017,0.999408483505249,0.9993218183517456
2005,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2005.jpg,0.9993254780769348,0.9988669157028198,0.9991406202316284,0.9995865225791931,0.9995651841163635,0.9994681477546692
2006,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2006.jpg,0.9991528868675232,0.9973863959312439,0.9999094009399414,0.9989606142044067,0.9998297691345215,0.9996782541275024
2007,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2007.jpg,0.9713520526885986,0.9830219745635986,0.9840876460075378,0.9964978694915771,0.9251503944396973,0.9680023789405823
2008,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2008.jpg,0.835839569568634,0.7913556694984436,0.9410427808761597,0.8202987313270569,0.7953556180000305,0.8311450481414795
2009,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2009.jpg,0.9991181254386902,0.9998414516448975,0.9989404082298279,0.998124897480011,0.9989604949951172,0.9997233748435974
2010,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2010.jpg,0.995259141921997,0.9975989460945129,0.9952794313430786,0.9955357313156128,0.9939565658569336,0.9939250349998474
2011,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2011.jpg,0.99929860830307,0.9985326528549194,0.9998660087585449,0.9985883831977844,0.9997729659080505,0.999733030796051
2012,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2012.jpg,0.9998059511184693,0.9997910857200623,0.9999269247055054,0.9996663331985474,0.9999103546142578,0.9997350573539734
2013,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2013.jpg,0.9837044596672058,0.9924052357673645,0.9873508810997009,0.9777866005897522,0.9871763586997986,0.9738032221794128
2014,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2014.jpg,0.9997862339019775,0.9996806383132935,0.9999849796295166,0.9993994235992432,0.9999668598175049,0.9998992681503296
2015,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2015.jpg,0.9996874809265137,0.9995354413986206,0.9996591806411743,0.9995102882385254,0.999852180480957,0.999880313873291
2016,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2016.jpg,0.9995974063873291,0.9992805123329163,0.9997716546058655,0.9996135830879211,0.9995373487472534,0.9997839331626892
2017,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results/2017.jpg,0.9999805927276612,0.9999758005142212,0.9999983310699463,0.9999418258666992,0.9999966621398926,0.9999903440475464
