epoch,val_loss,val_accuracy,tp,tn,fp,fn,val_recall,val_precision,val_f1_score,val_auroc
0,0.1849413514137268,0.9525,381,0,19,0,1.0,0.9525,0.9756722151088347,0.8608923884514437
1,0.18533924221992493,0.85,333,7,12,48,0.8740157480314961,0.9652173913043478,0.9173553719008265,0.710595386103053
2,0.18193571269512177,0.755,294,8,11,87,0.7716535433070866,0.9639344262295082,0.8571428571428571,0.753280839895013
3,0.16848687827587128,0.765,292,14,5,89,0.7664041994750657,0.9831649831649831,0.8613569321533924,0.8309158723580605
4,0.1605532169342041,0.775,296,14,5,85,0.7769028871391076,0.9833887043189369,0.8680351906158359,0.8497029976516094
5,0.15227146446704865,0.775,295,15,4,86,0.7742782152230971,0.9866220735785953,0.8676470588235294,0.8981903577842243
6,0.13824394345283508,0.8275,316,15,4,65,0.8293963254593176,0.9875,0.9015691868758916,0.9052355297693051
7,0.12822851538658142,0.905,350,12,7,31,0.9186351706036745,0.9803921568627451,0.9485094850948509,0.9193258737394667
8,0.1257271021604538,0.895,343,15,4,38,0.9002624671916011,0.9884726224783862,0.9423076923076924,0.9274761707418152
9,0.1257912665605545,0.885,339,15,4,42,0.889763779527559,0.9883381924198251,0.9364640883977902,0.9269236082331814
10,0.1257912665605545,0.885,339,15,4,42,0.889763779527559,0.9883381924198251,0.9364640883977902,0.9269236082331814
11,0.12570227682590485,0.8825,338,15,4,43,0.8871391076115486,0.9883040935672515,0.9349930843706777,0.9284431551319243
12,0.12240530550479889,0.91,350,14,5,31,0.9186351706036745,0.9859154929577465,0.9510869565217391,0.9352120458626884
13,0.1200406402349472,0.8975,345,14,5,36,0.905511811023622,0.9857142857142858,0.9439124487004104,0.9368697333885896
14,0.11615441739559174,0.8925,343,14,5,38,0.9002624671916011,0.985632183908046,0.9410150891632374,0.9472302804254732
15,0.11411971598863602,0.91,350,14,5,31,0.9186351706036745,0.9859154929577465,0.9510869565217391,0.9469539991711562
16,0.11166223138570786,0.9275,357,14,5,24,0.937007874015748,0.9861878453038674,0.9609690444145357,0.9491642492056914
17,0.11699611693620682,0.955,370,12,7,11,0.9711286089238845,0.9814323607427056,0.9762532981530343,0.9533084680204448
18,0.10771363228559494,0.895,342,16,3,39,0.8976377952755905,0.991304347826087,0.9421487603305785,0.958005249343832
19,0.10142665356397629,0.935,359,15,4,22,0.9422572178477691,0.9889807162534435,0.9650537634408601,0.9564857024450891
20,0.09974759817123413,0.93,356,16,3,25,0.9343832020997376,0.9916434540389972,0.9621621621621622,0.9570382649537229
21,0.1009235829114914,0.9325,359,14,5,22,0.9422572178477691,0.9862637362637363,0.963758389261745,0.9571764055808814
22,0.0955294519662857,0.945,362,16,3,19,0.9501312335958005,0.9917808219178083,0.9705093833780162,0.9599392181240503
23,0.09887514263391495,0.95,365,15,4,16,0.958005249343832,0.989159891598916,0.9733333333333333,0.9573145462080398
24,0.10597720742225647,0.9625,372,13,6,9,0.9763779527559056,0.9841269841269841,0.9802371541501976,0.9571764055808814
25,0.092997245490551,0.9625,369,16,3,12,0.968503937007874,0.9919354838709677,0.9800796812749005,0.9610443431413179
26,0.09028828144073486,0.93,356,16,3,25,0.9343832020997376,0.9916434540389972,0.9621621621621622,0.9647741400745959
27,0.09143877774477005,0.9,343,17,2,38,0.9002624671916011,0.9942028985507246,0.9449035812672176,0.9653267025832297
28,0.08910385519266129,0.925,353,17,2,28,0.926509186351706,0.9943661971830986,0.9592391304347827,0.9650504213289128
29,0.08939921855926514,0.925,353,17,2,28,0.926509186351706,0.9943661971830986,0.9592391304347827,0.9649122807017544
30,0.08939924091100693,0.925,353,17,2,28,0.926509186351706,0.9943661971830986,0.9592391304347827,0.9649122807017544
31,0.0890284925699234,0.925,353,17,2,28,0.926509186351706,0.9943661971830986,0.9592391304347827,0.9653267025832297
32,0.08787385374307632,0.925,354,16,3,27,0.9291338582677166,0.9915966386554622,0.959349593495935,0.9661555463461805
33,0.08801586925983429,0.9175,350,17,2,31,0.9186351706036745,0.9943181818181818,0.9549795361527966,0.9676750932449234
34,0.08924847096204758,0.91,348,16,3,33,0.9133858267716536,0.9914529914529915,0.9508196721311475,0.9679513744992403
