,img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
0,4,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000004.jpg,-0.2795,0.0774,1.362,-1.197,-1.31,0.8032,-0.8024
1,5,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000005.jpg,1.5049,0.6671,-2.0253,0.411,-1.1306,0.6506,-0.4406
2,6,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000006.jpg,0.7911,0.5885,0.9758,-1.1024,0.1204,1.0771,-0.1531
3,7,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000007.jpg,-0.6363,-1.6719,0.1483,1.1677,0.0127,-1.7554,-0.9025
4,10,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000010.jpg,0.4343,-1.1347,1.1634,-0.9132,-1.2752,-1.4534,-0.7645
5,11,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000011.jpg,-0.9932,-0.2174,0.8324,0.7894,-0.0522,0.9864,0.2569
6,13,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000013.jpg,-0.2795,-0.7219,-0.4365,-1.1024,-0.5236,1.113,-0.7754
7,14,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000014.jpg,0.0774,1.0536,-1.0764,0.2219,0.4616,0.0555,1.8704
8,15,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000015.jpg,0.4343,-1.3312,-2.3563,0.9786,-0.1155,-0.8675,3.3214
9,16,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000016.jpg,0.7911,0.8309,-1.0543,-1.1024,-0.7936,-0.3269,0.3984
10,19,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000019.jpg,-1.7069,-1.2133,-1.3412,1.3569,0.2017,-1.6048,-0.5038
11,21,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000021.jpg,0.0774,0.3395,0.2476,-0.724,2.0431,-0.6282,-0.1781
12,22,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000022.jpg,1.5049,-1.3837,-1.7605,-1.0078,-1.1929,-1.279,-0.5958
13,25,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000025.jpg,-1.3501,1.2895,-0.3482,1.0731,0.1073,0.5577,0.9217
14,26,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000026.jpg,-0.2795,0.0709,0.7772,1.0731,-0.8822,1.3016,-0.8283
15,27,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000027.jpg,0.4343,0.6671,0.8103,0.411,-0.3204,0.2453,-0.4365
16,28,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000028.jpg,-0.9932,-1.1019,-1.3853,0.5056,-0.6591,-1.6787,-0.7027
17,29,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000029.jpg,1.5049,-1.3312,0.5124,-0.8186,-0.1725,-0.6934,0.9071
18,30,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000030.jpg,-0.9932,-0.5254,-1.1867,0.9786,-0.5286,0.9909,-0.0898
19,31,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000031.jpg,-1.7069,-1.4754,0.4903,0.6002,-0.3182,0.5314,-0.6018
