img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
4,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000004.jpg,-0.435,0.2944,1.2997,-1.0872,-0.5131,1.0405,-0.7835
5,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000005.jpg,1.013,0.7518,-2.4986,0.6174,-0.4319,0.5665,0.1736
6,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000006.jpg,0.5899,0.5913,0.9252,-1.0501,-0.8008,1.2354,-0.3131
7,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000007.jpg,-0.0128,-1.5942,-0.2883,1.2227,-0.5053,-1.7216,-0.9269
10,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000010.jpg,0.4489,-1.021,0.8251,-1.0622,-0.4844,-1.1581,-0.8328
11,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000011.jpg,-0.5869,-0.3718,0.8239,1.1886,-0.5096,0.8841,-0.3676
13,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000013.jpg,0.5705,-0.8666,-0.0373,-1.0771,-0.3778,1.2306,-1.0052
14,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000014.jpg,0.5812,1.0938,-0.9121,-0.0447,0.8712,-0.3078,1.1808
15,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000015.jpg,-0.0664,-1.2571,-1.755,0.4044,-0.8909,-1.1648,-0.2029
16,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000016.jpg,1.0691,1.64,-0.4423,-0.9256,-0.4795,-0.0735,0.8672
19,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000019.jpg,-1.6883,-0.8467,-0.7971,1.2721,0.2744,-1.4894,0.1511
21,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000021.jpg,-0.7295,1.0803,0.3631,-0.7783,1.9623,-0.6631,-0.0294
22,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000022.jpg,0.7047,-1.5189,-2.3122,-1.0915,-0.2798,-1.274,-0.7366
