img_no,img_path,eyes_v2,eyes_v2_cnn,eyes_diff,hair_color_v2,hair_color_v2_cnn,hair_color_diff,hair_length_v2,hair_length_v2_cnn,hair_length_diff,mouth_v2,mouth_v2_cnn,mouth_diff,pose_v2,pose_v2_cnn,pose_diff,background_mean_v2,background_mean_v2_cnn,background_mean_diff,background_std_v2,background_std_v2_cnn,background_std_diff
4,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000004.jpg,-0.0437,-0.3743,0.3306,0.2228,0.1979,0.0249,1.2268,1.0675,0.1593,-1.0138,-1.0047,0.0091,-0.4482,-0.5064,0.0582,0.8232,0.9667,0.1435,-0.7942,-1.006,0.2118
5,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000005.jpg,1.4098,1.1779,0.2319,0.8741,0.9583,0.0842,-2.3537,-2.4082,0.0545,0.7834,0.6008,0.1826,-0.5122,-0.4903,0.0219,0.5731,0.6525,0.0794,0.0205,0.0619,0.0414
6,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000006.jpg,0.6897,0.7135,0.0238,0.6079,0.4961,0.1118,0.8996,0.7704,0.1292,-1.0138,-1.096,0.0822,-0.7736,-0.7377,0.0359,1.1206,1.1548,0.0342,-0.3843,-0.3927,0.0084
7,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000007.jpg,-0.0424,-0.1407,0.0983,-1.5752,-1.4949,0.0803,0.1985,-0.147,0.3455,1.3271,1.4704,0.1433,-0.4596,-0.4179,0.0417,-1.7852,-2.1132,0.328,-1.0418,-0.7466,0.2952
10,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000010.jpg,0.6321,0.3244,0.3077,-0.945,-1.0094,0.0644,1.0585,0.9053,0.1532,-1.0138,-1.0837,0.0699,-0.4076,-0.4615,0.0539,-1.3991,-1.4407,0.0416,-0.7145,-0.848,0.1335
11,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000011.jpg,-0.7597,-0.9079,0.1482,-0.375,-0.3852,0.0102,0.7781,0.607,0.1711,1.075,1.1343,0.0593,-0.4847,-0.5851,0.1004,1.0319,0.878,0.1539,-0.2418,-0.2189,0.0229
13,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000013.jpg,-0.0623,-0.269,0.2067,-0.7461,-0.5788,0.1673,-0.2035,-0.2133,0.0098,-1.0138,-1.0561,0.0423,-0.6514,-0.2686,0.3828,1.0586,1.3436,0.285,-0.3762,-0.4752,0.099
14,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000014.jpg,0.5732,0.4408,0.1324,1.2485,1.1647,0.0838,-0.727,-0.5926,0.1344,0.1067,0.107,0.0003,0.8647,0.8225,0.0422,-0.5757,-0.5061,0.0696,1.3623,1.3975,0.0352
15,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000015.jpg,-0.0653,-0.0334,0.0319,-1.0726,-1.3285,0.2559,-1.9984,-1.8962,0.1022,0.6921,0.3618,0.3303,-0.9344,-0.8449,0.0895,-1.6136,-1.3163,0.2973,-0.7724,-0.2,0.5724
16,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000016.jpg,1.3066,1.1504,0.1562,1.7044,1.488,0.2164,-0.6896,-0.6504,0.0392,-1.0138,-0.9692,0.0446,-0.5716,-0.4953,0.0763,-0.2727,-0.0025,0.2702,1.447,0.7944,0.6526
19,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000019.jpg,-2.2041,-2.1213,0.0828,-0.7547,-0.7777,0.023,-0.914,-0.8889,0.0251,1.5339,1.364,0.1699,0.3365,0.2772,0.0593,-1.4554,-1.6318,0.1764,0.4815,0.3684,0.1131
21,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000021.jpg,-0.7647,-0.6788,0.0859,1.1981,1.2302,0.0321,0.2826,0.4473,0.1647,-1.0138,-0.7555,0.2583,1.8346,1.7514,0.0832,-0.5992,-0.8632,0.264,-0.1499,-0.0243,0.1256
22,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000022.jpg,1.3723,1.5607,0.1884,-1.486,-1.2413,0.2447,-1.7367,-1.7429,0.0062,-1.0138,-1.101,0.0872,-0.2951,-0.3065,0.0114,-1.1048,-1.6116,0.5068,0.3455,-0.6568,1.0023
25,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000025.jpg,-1.4714,-0.947,0.5244,1.4595,1.4788,0.0193,-0.1287,-0.3477,0.219,1.697,2.0736,0.3766,-0.4076,-0.4837,0.0761,0.5757,0.4055,0.1702,0.9555,0.921,0.0345
26,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000026.jpg,-0.0307,-0.2697,0.239,0.3444,0.2633,0.0811,0.7313,0.6727,0.0586,0.8808,1.0046,0.1238,-0.4859,-0.4016,0.0843,1.347,1.3251,0.0219,-0.9183,-0.8227,0.0956
