,epoch,idx,d_loss,g_loss,g_train_count,real_scores_mean,fake_scores_mean,real_fake_auroc
0,0,0,7.1627,0.0779,1,5.0824,3.801,0.625
1,0,1,6.687,0.2054,1,3.9064,3.0656,0.6523
2,0,2,7.2091,0.5274,1,2.716,3.317,0.3438
3,0,3,7.432,0.7269,1,1.9707,3.1188,0.3398
4,0,4,6.571,0.4475,1,2.4707,1.9152,0.5586
5,0,5,6.2713,0.6403,1,0.8372,0.6893,0.5312
6,0,6,6.0306,1.5777,1,1.6062,0.7121,0.5898
7,0,7,5.9528,1.4434,1,-0.6274,0.2169,0.375
8,0,8,6.672,2.2872,1,-0.7828,0.4592,0.3281
9,0,9,5.9191,1.8029,1,-1.0288,-1.079,0.5391
10,0,10,6.315,2.5973,1,-0.2622,-0.3015,0.4609
11,0,20,5.6487,2.0134,1,0.5685,-1.7366,0.7891
12,0,30,5.3428,1.5198,1,0.7162,0.5591,0.5391
13,0,40,4.6661,1.8064,1,0.7001,-1.0394,0.7852
14,0,50,4.4954,1.0547,1,1.1485,-1.5946,0.8242
15,0,60,3.8201,1.5853,1,1.2326,-1.284,0.8555
16,0,70,3.8903,1.6915,1,1.0153,-0.8765,0.8047
17,0,80,3.975,1.7999,1,0.7944,-1.7821,0.9062
18,0,90,3.9412,1.626,1,1.72,-1.2678,0.8398
19,0,100,3.6793,1.5526,1,1.046,-1.5552,0.8477
20,0,110,3.2913,2.0225,1,0.9998,-2.1876,0.9531
21,0,120,3.1699,1.9988,1,2.2025,-2.0504,0.9922
22,0,130,3.0372,2.2665,1,1.3112,-1.601,0.9727
23,0,140,3.4703,1.5726,1,1.7035,-0.9422,0.8906
24,0,150,3.094,1.98,1,1.9895,-2.0983,0.9727
25,0,160,3.2313,1.6814,1,2.1613,-1.0959,0.9414
26,0,170,3.3328,2.3396,1,1.2622,-1.4803,0.8711
27,0,180,3.7682,3.019,1,1.1554,-0.6692,0.832
28,0,190,3.6022,1.7256,1,1.3536,-1.0962,0.8125
29,0,200,3.6189,1.1924,1,1.0123,-1.3129,0.7578
30,0,210,2.9004,2.7081,1,1.6441,-1.9469,0.9453
31,0,220,2.9531,1.1196,1,1.4186,-1.1432,0.832
32,0,230,2.8148,2.7386,1,2.2554,-1.533,0.9531
33,0,240,3.5291,2.4671,1,-0.3074,-1.3623,0.6953
34,0,250,3.3043,1.6835,1,0.9889,-1.2268,0.8203
35,0,260,2.4342,2.1706,1,1.8716,-2.705,0.9844
36,0,270,3.2756,1.4883,1,2.0548,-0.7219,0.8438
37,0,280,3.1144,3.1643,1,0.9475,-2.0514,0.8516
38,0,290,3.2969,2.155,1,1.3787,-1.1146,0.8359
39,1,0,3.1879,1.4263,1,2.2969,-0.1411,0.8867
40,1,10,2.9426,3.1539,1,0.6815,-2.7847,0.9062
