,epoch,idx,d_loss,g_loss,g_train_count,real_scores_mean,fake_scores_mean,real_fake_auroc
0,0,0,11.6544,5.6307,1,-6.5662,-7.4523,0.5781
1,0,1,10.208,5.1789,1,-5.5643,-5.2472,0.4688
2,0,2,12.1444,5.948,1,-7.1416,-6.7039,0.4375
3,0,3,8.0301,5.4939,1,-3.0708,-4.1356,0.6406
4,0,4,9.1669,2.6823,1,-4.2069,-3.4597,0.4062
5,0,5,9.7507,3.5914,1,-4.7064,-4.2772,0.5
6,0,6,8.1011,1.5308,1,-2.8955,-3.2131,0.4219
7,0,7,5.4122,0.9042,1,0.3098,-1.8096,0.7344
8,0,8,6.8368,0.8793,1,-1.0575,0.3809,0.2656
9,0,9,6.0938,1.1608,1,-0.4347,-1.5916,0.6406
10,0,10,6.4724,0.7216,1,0.6886,0.9011,0.375
11,0,20,7.5413,0.9949,1,1.5789,1.6905,0.4844
12,0,30,5.5382,2.9993,1,0.4836,-0.6703,0.6406
13,0,40,7.0097,1.4921,1,-0.2407,-0.5071,0.4844
14,0,50,5.5171,0.6425,1,0.7656,0.2522,0.5625
15,0,60,5.3563,1.6998,1,1.022,-0.4001,0.6562
16,0,70,5.9228,1.5056,1,0.6099,0.216,0.6406
17,0,80,5.8375,1.4578,1,-0.0852,0.1312,0.5469
18,0,90,5.8527,0.8773,1,0.5031,0.2725,0.625
19,0,100,4.7964,1.6994,1,0.0568,-2.2453,0.7812
20,0,110,4.2587,0.6586,1,1.7258,-0.3876,0.7812
21,0,120,4.7727,0.9682,1,1.3983,-1.1807,0.7656
22,0,130,5.1698,1.479,1,0.1047,-1.8917,0.8125
23,0,140,4.7865,2.209,1,0.5924,-0.8946,0.7656
24,0,150,5.3143,1.8082,1,0.2055,0.3897,0.5
25,0,160,4.3787,1.547,1,0.6369,-0.8495,0.7656
26,0,170,4.5251,0.9293,1,1.8663,-0.7712,0.8125
27,0,180,4.5373,2.037,1,0.9512,-1.2955,0.7656
28,0,190,4.4494,1.9324,1,1.7288,0.0158,0.7812
29,0,200,4.3802,0.9211,1,1.0215,-1.4677,0.875
30,0,210,4.1419,1.5832,1,1.4771,0.3026,0.7344
31,0,220,4.3163,1.2927,1,1.6621,-0.3659,0.8281
32,0,230,5.8682,1.0596,1,0.7728,0.5052,0.625
33,0,240,3.6438,1.8118,1,2.3348,-0.9207,0.875
34,0,250,4.2069,1.7845,1,0.5921,-2.27,0.8438
35,0,260,3.8072,1.7539,1,1.251,-0.5465,0.7969
36,0,270,3.6889,1.347,1,0.8885,-1.5283,0.8438
37,0,280,3.5744,1.6161,1,1.3183,-1.7159,0.875
38,0,290,4.3904,1.3173,1,0.2506,-0.9467,0.7031
39,0,300,3.2651,1.4304,1,1.3424,-0.9733,0.9531
40,0,310,3.865,1.5953,1,0.6384,-2.1587,0.875
41,0,320,3.4664,0.9969,1,0.867,-2.0755,0.8594
