,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.09,2025-05-13 17:46:10,2.7144,0.1835,0.0003,0.4254
1,0.18,-,2.4661,0.2507,0.000299,0.5209
2,0.26,-,2.205,0.2494,0.000299,0.5578
3,0.35,-,2.0006,0.3041,0.000298,0.5813
4,0.44,-,1.8871,0.242,0.000298,0.6156
5,0.53,-,1.9413,0.29,0.000297,0.5998
6,0.61,-,1.9122,0.2908,0.000297,0.6011
7,0.7,-,1.835,0.3397,0.000297,0.6194
8,0.79,-,2.0172,0.3574,0.000296,0.588
9,0.88,-,1.8044,0.3138,0.000296,0.6147
10,0.96,-,1.8489,0.3565,0.000295,0.6098
11,1.05,2025-05-13 17:48:41,1.7847,0.3306,0.000295,0.615
12,1.14,-,1.6582,0.3692,0.000294,0.6416
13,1.23,-,1.6769,0.3415,0.000294,0.6329
14,1.32,-,1.6735,0.4119,0.000293,0.6509
15,1.4,-,1.5019,0.4799,0.000293,0.6583
16,1.49,-,1.675,0.3234,0.000293,0.6257
17,1.58,-,1.6803,0.3884,0.000292,0.6275
18,1.67,-,1.553,0.4325,0.000292,0.6571
19,1.75,-,1.6318,0.4231,0.000291,0.6209
20,1.84,-,1.7253,0.4429,0.000291,0.6156
21,1.93,-,1.4954,0.506,0.00029,0.6626
22,2.02,2025-05-13 17:51:11,1.5765,0.352,0.00029,0.6264
23,2.11,-,1.5265,0.4036,0.00029,0.6756
24,2.19,-,1.3226,0.4305,0.000289,0.7052
25,2.28,-,1.3882,0.5068,0.000289,0.673
26,2.37,-,1.4939,0.5484,0.000288,0.6492
27,2.46,-,1.3697,0.5245,0.000288,0.6614
28,2.54,-,1.3015,0.6385,0.000287,0.6958
29,2.63,-,1.3857,0.4356,0.000287,0.6826
30,2.72,-,1.338,0.576,0.000286,0.6869
31,2.81,-,1.3593,0.5447,0.000286,0.6756
32,2.89,-,1.4419,0.464,0.000286,0.6688
33,2.98,-,1.3123,0.5378,0.000285,0.6974
34,3.07,2025-05-13 17:53:58,1.1949,0.5149,0.000285,0.7237
35,3.16,-,1.0121,0.5755,0.000284,0.742
36,3.25,-,1.1631,0.5851,0.000284,0.7075
37,3.33,-,1.0977,0.571,0.000283,0.7455
38,3.42,-,1.1838,0.5759,0.000283,0.7143
39,3.51,-,1.1895,0.6497,0.000282,0.7077
40,3.6,-,1.2188,0.6604,0.000282,0.7063
41,3.68,-,1.131,0.5951,0.000282,0.722
42,3.77,-,1.2127,0.6309,0.000281,0.7058
43,3.86,-,1.1901,0.8925,0.000281,0.71
44,3.95,-,1.145,0.6946,0.00028,0.7262
45,4.04,2025-05-13 17:56:27,1.0859,0.5767,0.00028,0.7344
46,4.12,-,0.9097,0.8106,0.000279,0.7769
47,4.21,-,0.7881,0.8412,0.000279,0.8057
48,4.3,-,0.9667,0.7124,0.000279,0.7606
49,4.39,-,0.9023,0.7434,0.000278,0.7683
50,4.47,-,0.9079,0.7762,0.000278,0.7686
51,4.56,-,0.9295,1.0947,0.000277,0.7751
52,4.65,-,0.9031,0.7878,0.000277,0.7754
53,4.74,-,0.9185,0.868,0.000276,0.7653
54,4.82,-,0.9376,0.7195,0.000276,0.7834
55,4.91,-,0.9285,0.8825,0.000275,0.7575
56,5.0,-,0.9649,0.6429,0.000275,0.7374
57,5.09,2025-05-13 17:59:11,0.7038,1.0247,0.000275,0.8154
58,5.18,-,0.6253,1.1201,0.000274,0.84
59,5.26,-,0.6749,1.0382,0.000274,0.8164
60,5.35,-,0.6149,1.0173,0.000273,0.8513
61,5.44,-,0.7159,1.2089,0.000273,0.8153
62,5.53,-,0.6592,1.1845,0.000272,0.8266
63,5.61,-,0.6877,0.8338,0.000272,0.8291
64,5.7,-,0.7314,1.0383,0.000272,0.8018
65,5.79,-,0.7048,0.9992,0.000271,0.8249
66,5.88,-,0.701,1.1071,0.000271,0.8277
67,5.96,-,0.6804,1.0996,0.00027,0.8183
68,6.05,2025-05-13 18:02:03,0.5751,0.7211,0.00027,0.8732
69,6.14,-,0.4639,1.0191,0.000269,0.8801
70,6.23,-,0.4078,1.0233,0.000269,0.8903
71,6.32,-,0.3721,0.9849,0.000268,0.903
72,6.4,-,0.5142,1.164,0.000268,0.8601
73,6.49,-,0.4398,1.1279,0.000268,0.8803
74,6.58,-,0.5052,1.1304,0.000267,0.8649
75,6.67,-,0.4646,0.8032,0.000267,0.8721
76,6.75,-,0.5588,0.9249,0.000266,0.8512
77,6.84,-,0.4472,0.7705,0.000266,0.8801
78,6.93,-,0.5055,1.0858,0.000265,0.8623
79,7.02,2025-05-13 18:04:43,0.4482,0.5831,0.000265,0.8818
80,7.11,-,0.2802,0.9757,0.000265,0.9243
