0,1,2
0.0986,-1.6092,-0.912
1.3468,-0.5796,0.3993
0.3873,-0.5121,1.4598
1.5734,0.6459,-1.9527
0.8416,-0.2722,-0.2177
-0.8461,0.7969,-0.4177
0.5382,-0.8069,-0.9154
0.1761,-0.5045,-0.7882
-0.5173,-0.1673,0.7933
0.8235,-1.1298,0.1956
-0.1381,2.3984,0.8774
-0.7327,-1.0963,0.7582
-0.3332,0.579,-0.117
-0.7652,-0.635,-1.4995
0.6739,-0.939,-0.8823
0.7296,1.2303,-1.2029
0.6758,0.9699,-0.1863
-1.265,0.1444,-0.7135
-1.54,0.0062,-0.1223
1.7097,0.8164,0.774
0.0471,-1.2357,-2.3673
0.0721,1.0248,0.4706
0.4119,-0.8098,-0.0228
-0.2242,0.7643,-0.1765
-0.8946,0.487,0.3481
0.941,-0.601,-0.6731
0.6525,-0.2798,-0.2189
0.6424,0.7187,-0.3377
0.9388,-0.2603,0.3524
-0.4618,1.2977,0.6333
-1.1583,-1.1181,-0.9768
0.1292,0.8149,-0.5515
-0.6377,-0.5441,0.2595
0.209,-1.1648,-0.0189
-0.421,0.4003,1.4114
-0.4482,0.2615,0.0173
-0.0458,1.9192,-1.4433
1.3472,1.6664,0.2557
-1.277,-0.7669,0.4
-0.9122,-0.4216,0.7989
-0.6743,1.5097,-0.5424
0.8252,-0.3107,0.5897
1.2532,0.9728,-0.302
1.3655,0.2492,-1.1171
-1.5748,-1.6671,0.4909
-0.2104,-1.2163,0.6238
-1.8842,-0.445,0.264
-1.2679,-2.5437,0.1563
0.8046,1.8925,0.6209
-0.0413,0.0716,-0.2533
1.2098,-1.2505,0.2773
1.6846,-1.2492,0.8744
0.3901,0.4594,-0.4447
-0.3398,-1.6015,-0.8233
-0.9121,0.1816,-0.8273
0.9457,0.9766,-0.6447
-0.3386,0.6014,0.0988
-0.6904,2.7715,-0.1949
-1.0306,-0.8695,1.7139
-0.1548,0.2456,-0.1604
-0.7726,-1.2804,-1.817
1.0389,-1.9141,-1.314
0.0471,-0.9532,-1.4212
-0.0812,2.1374,-1.0242
-0.1716,0.983,-0.8582
-1.1083,0.3934,-0.6066
1.1867,-2.0618,-0.8166
-0.6684,0.2054,0.8042
0.0043,0.8069,-0.3242
-1.4234,-1.5237,-1.1625
0.7474,-0.4978,0.9655
-0.0154,0.6796,-0.3341
-1.6017,0.7242,-0.0795
0.0175,0.4501,-1.1973
1.9812,0.6388,-1.6389
-1.7588,-0.6145,0.4616
-0.9469,-0.0867,1.7102
0.0459,-0.1625,0.9393
-1.555,0.7587,0.7577
-0.867,1.8893,-0.4673
0.3574,-1.3145,-0.5875
1.1167,-1.7452,1.1781
-0.2747,0.5839,0.0212
-0.0175,1.5189,-0.7873
0.9836,-0.5551,-0.997
0.7871,-1.9508,0.6126
0.67,0.158,-0.1268
-1.7098,0.7433,-0.2778
0.5603,1.1005,-0.0757
-0.6167,-0.4495,0.4353
-0.0086,0.6551,-0.2006
-0.351,0.2939,0.8248
0.0389,0.3943,-0.4648
0.6534,0.5351,-1.9519
-1.268,0.5143,-0.4108
-1.2199,-2.2468,1.3596
0.7663,0.2092,-0.7719
1.3921,-0.2287,0.5588
-0.7404,0.2735,-0.0488
0.4195,-0.0944,-0.3196
-0.071,-0.4676,1.2515
-0.1432,1.6178,0.7238
-0.3575,-0.0603,-0.4758
-1.3369,0.7413,-1.6161
-1.8179,-0.5208,-0.302
1.7984,0.9153,-1.0245
-0.4375,3.3153,-0.3233
1.581,1.1849,0.402
-1.5132,0.2196,-0.2398
-1.1166,0.4682,-0.4936
0.246,1.0168,-1.7817
-0.5916,0.3714,-0.3814
-0.2597,-0.9442,0.6105
1.43,0.1838,-0.053
-0.1944,-0.6466,1.5589
-0.433,-1.2444,0.7172
1.0366,0.3421,-0.0046
-0.5084,-0.6463,-1.0161
-0.5431,1.2278,-0.7912
1.26,-1.1254,-1.2498
-0.246,1.6444,-2.6625
0.1937,-0.1855,-0.5142
-1.7532,1.0801,-1.4559
0.2963,0.9052,0.0971
-0.9642,-1.6352,0.0372
-0.1855,0.1591,-0.987
-1.1843,-0.7153,-0.628
-0.5325,-1.4785,-1.3936
1.5097,1.622,0.9498
-0.272,0.7043,-0.556
-0.4153,0.4497,-0.452
1.8682,0.9391,-0.2014
-0.5704,1.5796,0.0304
-1.4301,0.287,-0.5519
-0.1279,0.2941,1.3553
1.0514,0.1423,-0.9135
2.0893,-0.9799,-0.5941
-1.1136,-0.8797,0.9506
0.2594,0.0437,0.7127
0.3341,1.3316,1.036
1.5143,-1.5817,0.7339
-0.62,-0.5263,0.3161
0.1625,-0.0282,-0.4093
-1.2142,0.8144,-0.2591
-0.0768,-0.1589,0.0714
1.6759,0.1569,0.9355
0.4544,1.8008,-0.909
-0.2904,0.8805,0.3377
1.1123,0.4179,0.4565
-1.263,0.4906,-0.3789
1.0186,0.7064,0.001
1.4864,-0.3566,-0.3675
0.182,-1.6305,0.7661
-0.4763,0.6904,-1.0236
0.3976,-0.0235,0.6479
1.0366,-1.4642,-1.4915
-0.0952,0.5682,-0.3605
-2.5006,-0.3438,-0.525
-0.1281,-0.1406,1.7939
-0.4119,-1.1324,-0.8282
0.2413,-0.9131,0.1688
1.7812,-1.0192,0.1191
-0.0152,-0.1864,-0.1475
2.2144,0.2219,-0.5865
-0.2047,-0.9975,0.477
-0.0857,1.3532,-0.5041
0.005,0.405,-0.7831
0.2222,-0.2538,0.3359
0.0204,0.527,-1.4081
0.769,0.2046,0.2487
-0.1764,-0.9048,-1.2371
-1.8573,-1.7106,1.4247
-0.205,1.1005,-1.1874
-1.4953,0.9182,-1.1641
-0.3711,-0.9944,-0.6572
-0.9972,1.2566,1.7365
0.6804,-2.517,-0.8085
-0.7271,-1.0116,2.3535
-0.9614,0.0377,-1.964
1.204,-1.1003,-0.016
-1.6158,0.3607,-1.1816
-0.203,-0.8282,-0.9144
0.971,-0.2139,-1.263
-0.363,-0.0803,0.0601
0.1719,0.4336,-0.1408
-0.4483,-0.0617,-0.7535
-0.0192,-1.2941,1.6987
0.3304,1.2979,-0.7085
-0.0744,1.9216,0.9377
0.2692,-1.2061,-0.7225
-0.5265,-0.0782,-1.423
0.5593,-1.0391,0.2965
1.1199,-0.273,-0.8914
