,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-01 11:57:36,1.9502,2.366,0.000296,0.5878
1,0.14,-,1.7326,1.72,0.000292,0.6174
2,0.21,-,1.8159,1.8184,0.000288,0.6014
3,0.28,-,1.6093,1.6866,0.000283,0.6407
4,0.35,-,1.6272,1.3174,0.000279,0.625
5,0.42,-,1.5482,1.6356,0.000275,0.6471
6,0.49,-,1.4447,1.7524,0.000271,0.6721
7,0.56,-,1.501,1.9647,0.000267,0.6541
8,0.63,-,1.5192,2.5794,0.000262,0.6695
9,0.7,-,1.5562,1.8914,0.000258,0.6292
10,0.77,-,1.5021,1.6234,0.000254,0.6406
11,0.84,-,1.433,1.9473,0.00025,0.6568
12,0.91,-,1.5232,1.09,0.000246,0.646
13,0.98,-,1.4016,1.7611,0.000241,0.6824
14,1.05,2025-06-01 12:07:10,1.0705,1.3107,0.000237,0.7377
15,1.12,-,0.8583,1.5735,0.000233,0.7805
16,1.19,-,0.815,1.4262,0.000229,0.7878
17,1.26,-,0.9208,1.6402,0.000225,0.7497
18,1.33,-,0.8381,3.3404,0.00022,0.7895
19,1.4,-,0.8829,1.642,0.000216,0.7742
20,1.47,-,0.7962,1.1085,0.000212,0.7827
21,1.54,-,0.8547,2.5605,0.000208,0.782
22,1.61,-,0.9017,1.8684,0.000204,0.755
23,1.68,-,0.8172,1.4104,0.0002,0.7816
24,1.75,-,0.9016,1.7692,0.000195,0.772
25,1.82,-,0.8517,2.0254,0.000191,0.7795
26,1.89,-,0.8337,1.3425,0.000187,0.7797
27,1.96,-,0.8844,1.6158,0.000183,0.7709
28,2.03,2025-06-01 12:16:51,0.7212,2.2543,0.000179,0.8033
29,2.1,-,0.4467,1.8319,0.000174,0.8747
30,2.17,-,0.427,1.5328,0.00017,0.8819
31,2.24,-,0.3955,1.0011,0.000166,0.88
32,2.31,-,0.4656,1.3998,0.000162,0.8789
33,2.38,-,0.4873,1.6313,0.000158,0.8463
34,2.45,-,0.4307,1.1186,0.000153,0.8806
35,2.52,-,0.4471,3.0105,0.000149,0.878
36,2.59,-,0.4349,2.6605,0.000145,0.8703
37,2.66,-,0.4132,1.3805,0.000141,0.8767
38,2.73,-,0.4162,1.0279,0.000137,0.8791
39,2.8,-,0.4075,1.202,0.000132,0.8764
40,2.87,-,0.5087,1.8868,0.000128,0.8445
41,2.94,-,0.4124,1.86,0.000124,0.8755
42,3.01,2025-06-01 12:27:22,0.4602,0.4726,0.00012,0.8723
43,3.08,-,0.2244,1.771,0.000116,0.9291
44,3.15,-,0.1915,0.8762,0.000111,0.9363
45,3.22,-,0.216,1.2285,0.000107,0.9396
46,3.29,-,0.2725,0.647,0.000103,0.9197
47,3.36,-,0.2199,0.7704,9.9e-05,0.9347
48,3.43,-,0.2321,0.6049,9.5e-05,0.9266
49,3.5,-,0.2488,0.9265,9e-05,0.9262
50,3.57,-,0.1745,1.7203,8.6e-05,0.9499
51,3.64,-,0.2198,1.5643,8.2e-05,0.929
52,3.71,-,0.2064,1.4036,7.8e-05,0.9314
53,3.78,-,0.2172,1.0432,7.4e-05,0.9347
54,3.85,-,0.2609,0.6914,6.9e-05,0.9212
55,3.92,-,0.179,1.5085,6.5e-05,0.9481
56,3.99,-,0.2655,2.2838,6.1e-05,0.9183
57,4.06,2025-06-01 12:38:39,0.1265,0.4137,5.7e-05,0.9651
58,4.13,-,0.1159,1.7749,5.3e-05,0.9635
59,4.2,-,0.1301,0.5263,4.8e-05,0.9641
60,4.27,-,0.1107,0.7298,4.4e-05,0.9673
61,4.34,-,0.1009,0.5418,4e-05,0.9778
62,4.41,-,0.1268,1.5144,3.6e-05,0.955
63,4.48,-,0.0891,0.516,3.2e-05,0.9707
64,4.55,-,0.0911,3.4865,2.7e-05,0.971
65,4.62,-,0.1014,0.5716,2.3e-05,0.9658
66,4.69,-,0.1172,0.9847,1.9e-05,0.9662
67,4.76,-,0.1459,0.7391,1.5e-05,0.9581
68,4.83,-,0.0975,0.511,1.1e-05,0.967
69,4.9,-,0.1097,1.3015,7e-06,0.962
70,4.97,-,0.119,1.2246,2e-06,0.9588
