,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-01 15:02:32,0.7686,1.7555,0.000298,0.8065
1,0.14,-,0.6961,1.3957,0.000296,0.8158
2,0.21,-,0.5779,1.2496,0.000294,0.8418
3,0.28,-,0.5814,1.5556,0.000292,0.8505
4,0.35,-,0.6209,1.209,0.00029,0.8365
5,0.42,-,0.5319,1.4247,0.000288,0.8521
6,0.49,-,0.5015,1.4926,0.000285,0.8594
7,0.56,-,0.5112,0.9765,0.000283,0.8611
8,0.63,-,0.5355,0.6795,0.000281,0.8641
9,0.7,-,0.4411,0.9008,0.000279,0.8782
10,0.77,-,0.5079,1.1056,0.000277,0.8542
11,0.84,-,0.5001,0.8416,0.000275,0.8654
12,0.91,-,0.5179,1.0691,0.000273,0.868
13,0.98,-,0.4592,1.1402,0.000271,0.8853
14,1.05,2025-06-01 15:13:03,0.279,0.2852,0.000269,0.9256
15,1.12,-,0.1521,0.6981,0.000267,0.9514
16,1.19,-,0.2418,3.0817,0.000264,0.9292
17,1.26,-,0.2321,1.7205,0.000262,0.9173
18,1.33,-,0.2704,0.947,0.00026,0.9274
19,1.4,-,0.2332,1.5299,0.000258,0.933
20,1.47,-,0.1814,0.6596,0.000256,0.9345
21,1.54,-,0.2264,2.1161,0.000254,0.9372
22,1.61,-,0.2556,0.7631,0.000252,0.9209
23,1.68,-,0.3007,1.5047,0.00025,0.9075
24,1.75,-,0.1889,0.9611,0.000248,0.9498
25,1.82,-,0.2447,0.961,0.000246,0.9198
26,1.89,-,0.2494,1.289,0.000243,0.9255
27,1.96,-,0.2519,3.5904,0.000241,0.9202
28,2.03,2025-06-01 15:21:58,0.2033,0.2119,0.000239,0.9409
29,2.1,-,0.0946,1.585,0.000237,0.9653
30,2.17,-,0.1103,0.8309,0.000235,0.9718
31,2.24,-,0.1346,0.6334,0.000233,0.9676
32,2.31,-,0.0973,0.2047,0.000231,0.9739
33,2.38,-,0.1286,0.4408,0.000229,0.9574
34,2.45,-,0.1372,1.4735,0.000227,0.968
35,2.52,-,0.0956,0.6294,0.000225,0.9698
36,2.59,-,0.1151,4.9567,0.000222,0.9596
37,2.66,-,0.1134,0.8485,0.00022,0.9664
38,2.73,-,0.1072,1.6078,0.000218,0.9648
39,2.8,-,0.1327,3.5153,0.000216,0.9576
40,2.87,-,0.0721,0.7914,0.000214,0.9793
41,2.94,-,0.1176,0.8735,0.000212,0.9625
42,3.01,2025-06-01 15:30:49,0.1249,0.6342,0.00021,0.9657
43,3.08,-,0.073,0.6181,0.000208,0.9768
44,3.15,-,0.0606,0.2846,0.000206,0.9839
45,3.22,-,0.0333,0.0448,0.000204,0.9871
46,3.29,-,0.0403,0.2121,0.000202,0.9929
47,3.36,-,0.0571,0.1761,0.000199,0.9802
48,3.43,-,0.051,0.3608,0.000197,0.9823
49,3.5,-,0.061,0.7401,0.000195,0.9793
50,3.57,-,0.0581,0.0236,0.000193,0.9829
51,3.64,-,0.0761,0.7029,0.000191,0.9746
52,3.71,-,0.053,0.8641,0.000189,0.9829
53,3.78,-,0.1011,0.4963,0.000187,0.9784
54,3.85,-,0.0552,0.011,0.000185,0.9829
55,3.92,-,0.064,1.2398,0.000183,0.9775
56,3.99,-,0.0566,0.3934,0.000181,0.9834
57,4.06,2025-06-01 15:40:18,0.0352,0.0875,0.000178,0.991
58,4.13,-,0.0144,0.1762,0.000176,0.9972
59,4.2,-,0.0379,0.0508,0.000174,0.9851
60,4.27,-,0.0284,0.7084,0.000172,0.9913
61,4.34,-,0.0295,0.084,0.00017,0.9902
62,4.41,-,0.0392,0.3177,0.000168,0.9917
63,4.48,-,0.0228,0.6385,0.000166,0.9947
64,4.55,-,0.03,0.1421,0.000164,0.9911
65,4.62,-,0.0299,0.0195,0.000162,0.9922
66,4.69,-,0.0448,0.0236,0.00016,0.9887
67,4.76,-,0.0376,0.8333,0.000157,0.9912
68,4.83,-,0.0267,0.0289,0.000155,0.9897
69,4.9,-,0.0159,0.1131,0.000153,0.9965
70,4.97,-,0.0248,0.1018,0.000151,0.9941
71,5.03,2025-06-01 15:49:18,0.0146,0.2176,0.000149,0.996
72,5.1,-,0.005,0.8675,0.000147,0.9988
73,5.17,-,0.022,0.3585,0.000145,0.9932
74,5.24,-,0.0237,0.0252,0.000143,0.9972
75,5.31,-,0.0083,0.0179,0.000141,0.9985
76,5.38,-,0.045,0.0216,0.000139,0.9892
77,5.45,-,0.0315,0.0391,0.000136,0.9898
78,5.52,-,0.0078,0.0125,0.000134,0.9974
79,5.59,-,0.0213,0.3595,0.000132,0.9927
80,5.66,-,0.0091,0.081,0.00013,0.997
81,5.73,-,0.0073,0.0049,0.000128,0.998
82,5.8,-,0.0058,0.0191,0.000126,0.9984
83,5.87,-,0.0121,0.0164,0.000124,0.9961
84,5.94,-,0.0118,0.0209,0.000122,0.9945
85,6.01,2025-06-01 15:58:27,0.0217,2.3775,0.00012,0.9971
86,6.08,-,0.0118,0.019,0.000118,0.9958
87,6.15,-,0.0014,0.0067,0.000115,1.0
88,6.22,-,0.0125,0.0211,0.000113,0.9973
89,6.29,-,0.0111,0.0211,0.000111,0.9987
90,6.36,-,0.0018,0.0854,0.000109,1.0
91,6.43,-,0.0024,0.0062,0.000107,0.9988
92,6.5,-,0.0006,0.005,0.000105,1.0
93,6.57,-,0.0024,0.0038,0.000103,0.9988
94,6.64,-,0.0006,0.1173,0.000101,1.0
95,6.71,-,0.0025,0.0017,9.9e-05,0.9985
96,6.78,-,0.0088,0.0025,9.7e-05,0.9988
97,6.85,-,0.0064,0.0205,9.5e-05,0.9973
98,6.92,-,0.0014,0.0045,9.2e-05,1.0
99,6.99,-,0.0008,0.0039,9e-05,1.0
100,7.06,2025-06-01 16:07:48,0.0054,0.0064,8.8e-05,0.9969
101,7.13,-,0.0005,0.0016,8.6e-05,1.0
102,7.2,-,0.0004,0.0018,8.4e-05,1.0
103,7.27,-,0.0008,0.0035,8.2e-05,1.0
104,7.34,-,0.0072,0.0055,8e-05,0.9987
105,7.41,-,0.0003,0.0077,7.8e-05,1.0
106,7.48,-,0.0008,0.0038,7.6e-05,1.0
107,7.55,-,0.0005,0.0022,7.4e-05,1.0
108,7.62,-,0.0023,0.0021,7.1e-05,0.9988
109,7.69,-,0.0119,0.01,6.9e-05,0.9986
110,7.76,-,0.0003,0.009,6.7e-05,1.0
111,7.83,-,0.0018,0.5763,6.5e-05,0.9989
112,7.9,-,0.0003,0.0041,6.3e-05,1.0
113,7.97,-,0.007,0.0043,6.1e-05,0.9988
114,8.04,2025-06-01 16:16:54,0.0011,0.0027,5.9e-05,1.0
115,8.11,-,0.0005,0.0008,5.7e-05,1.0
116,8.18,-,0.0004,0.0044,5.5e-05,1.0
117,8.25,-,0.0006,0.0732,5.3e-05,1.0
118,8.32,-,0.0004,0.0082,5e-05,1.0
119,8.39,-,0.0003,0.0033,4.8e-05,1.0
120,8.46,-,0.0003,0.0006,4.6e-05,1.0
121,8.53,-,0.0002,0.0033,4.4e-05,1.0
122,8.6,-,0.0003,0.005,4.2e-05,1.0
123,8.67,-,0.0002,0.0027,4e-05,1.0
124,8.74,-,0.0003,0.0822,3.8e-05,1.0
125,8.81,-,0.0002,0.0024,3.6e-05,1.0
126,8.88,-,0.0022,0.0008,3.4e-05,0.9988
127,8.95,-,0.0003,0.0003,3.2e-05,1.0
128,9.02,2025-06-01 16:25:57,0.0003,0.0021,2.9e-05,1.0
129,9.09,-,0.0003,0.0051,2.7e-05,1.0
130,9.16,-,0.0002,0.0012,2.5e-05,1.0
131,9.23,-,0.0003,0.163,2.3e-05,1.0
132,9.3,-,0.0004,0.0022,2.1e-05,1.0
133,9.37,-,0.0002,0.002,1.9e-05,1.0
134,9.44,-,0.0002,0.0023,1.7e-05,1.0
135,9.51,-,0.0002,0.0084,1.5e-05,1.0
136,9.58,-,0.0003,0.005,1.3e-05,1.0
137,9.65,-,0.0003,0.0014,1.1e-05,1.0
138,9.72,-,0.0002,0.0066,8e-06,1.0
139,9.79,-,0.0003,0.0048,6e-06,1.0
140,9.86,-,0.0003,0.0294,4e-06,1.0
141,9.93,-,0.0002,0.003,2e-06,1.0
142,10.0,-,0.0003,0.0036,0.0,1.0
