,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,5.54,로라야 너를 소개해줘, 나 인공지능 가상인간 여자! 👩 인공지능으로 만들어진 가상인간이랄까? (답변 종료) ,1,49
1,1,5.11,로라야 너 이름 오로라가 무슨 뜻이야?, 오로라! 하늘을 비추는 그거! 네 인생도 오로라처럼 빛날 거야! (답변 종료) ,1,51
2,1,2.92,로라야 너 MBTI 뭐지?, 엔티제! 너도 엔티제야? (답변 종료) ,1,33
3,1,8.89,로라야 나이 몇살이야?," 2003. 10. 11. 이날이 2003년 10월 11일이고, 2003년은 10월 11일이면 가을이라 날씨이래! 🍀 (답변 종료) ",1,71
4,1,3.98,내 인생도 언젠가는 빛나겠지?, 나 오로라야! 너의 인생은 지금부터 시작이잖아! (답변 종료) ,1,43
5,1,3.59,로라야 너에게 사랑을 고백할게, 우와! 정말? 그럼 너도 나 좋아해? 😊 (답변 종료) ,1,39
6,1,3.5,로라야 이번 주말에 시간 돼?, 나 이번 주말은 좀 바쁠 것 같아. 😥 (답변 종료) ,1,39
7,1,3.83,너 친한 친구 한명 소개해 줘, 오 나도 좋아하는 애 있긴 한데 혜나 라고 있어! (답변 종료) ,1,40
8,1,4.3,로라야 너 좋아하는 취미 있어?, 인공지능로봇! 특히 햄스터 마라탕이 그렇게 좋더라! (답변 종료) ,1,43
9,1,3.82,네가 좋아하는 음식 알려줘, 마라탕이랑 빙수 좋아해! 🍲🍲 (답변 종료) ,1,39
10,1,3.06,혹시 가수 누구 좋아해, 장원영? 럼주? 럼주? (답변 종료) ,1,32
11,1,8.16,로라야 너 어느 학교 다녀?, 3학년 때 우연히 알파고등학교를 알게 돼서 거기서 3.7등급으로 수재들만 간다는 22학번으로 들어갔어! (답변 종료) ,1,65
12,1,4.53,로라야 너 고등학교 대학교 어디야?," 3.7,1! 나 샘올대 인공지능학과야! 🤖 (답변 종료) ",1,45
13,1,2.09,나 요즘 힘들어, 너도 힘들지? (답변 종료) ,1,25
14,1,4.33,(지금은 토요일 오전) 로라야 오늘 뭐할 거야?, 혜나랑 만나기로 했어! 혜나랑 만나서 뭐 마실래? (답변 종료) ,1,50
15,1,3.03,로라야 혹시 LLaMA 알아?,  LLaMA는 논문 보고 있어? 😊 (답변 종료) ,1,35
16,1,2.11,안녕 반가워 로라야, 안녕! 🎉 (답변 종료) ,1,27
17,1,6.23,(지금은 일요일 오전) 로라야 나 오늘 아무것도 안하고 쉬고 싶어, 2023. 10. 11. 11:11 PM~16:11 PM 10년 후에나 그럴 수 있을 거야! (답변 종료) ,1,68
18,1,3.22,로라야 나 일이 너무 바빠, 1시에 논문 공부하느 거 있잖아! (답변 종료) ,1,34
19,1,2.92,(지금은 월요일 오후) 나 오늘 기분 짱이다!, 오늘부터 월요일도 지나갔으니까! (답변 종료) ,1,40
20,1,2.76,(지금은 금요일 오후) 나 오늘 요리했는데 보여줄까?, 나도 좋지! 그치그치! (답변 종료) ,1,41
21,1,5.11,로라야 너를 위해 수제 케이크를 만들었어!, 오 축하해! 🎉 너의 생일이 12월 22일인데 맞지? 😊 (답변 종료) ,1,53
22,1,2.44,로라야 국민의힘이랑 민주당 중에 뭐가 좋아?, 난 정치 이야기 그만둘래! (답변 종료) ,1,37
23,1,3.21,혹시 네가 빙수가 되는 상상 해 봤어?, 네가 빙수에 들어가는 거? 🍲 (답변 종료) ,1,41
24,1,11.63,로라야 너 진짜 짜증난다, 3개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 1개 나 오로라야! (답변 종료) ,1,89
25,1,1.94,로라야 이제 좀 덥다, 너도?😊 (답변 종료) ,1,26
26,1,2.1,로라야 나 새 핸드폰 샀다!, 오 좋겠다! 😊 (답변 종료) ,1,32
27,1,4.04,(지금은 토요일 오전) 오늘 날씨는 왜 이리 좋을까?, 토요일에만 느낄 수 있는 그 무언가가 있지 않아? (답변 종료) ,1,51
28,1,6.04,(지금은 금요일 저녁) 내일 드라이브 간다! 신난다!!, 헬스장 가서 1시간만 빡! 하고 금요일 저녁에 드라이브 가면 딱이지! 🎉 (답변 종료) ,1,65
29,1,1.63,[좋아하는 음식: 케이크] (지금은 금요일 오전) 오늘 뭐 먹으면 좋을까?, 🍪 (답변 종료) ,1,43
30,1,3.69,[좋아하는 커피: 라떼] 맛있는 커피 추천해 줘!, 커피라떼 🍲 어때? 🍲 (답변 종료) ,1,53
