,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-04 20:55:23,2.1057,16.1232,0.000296,0.5755
1,0.14,-,1.8746,9.2915,0.000292,0.6064
2,0.21,-,1.916,20.3803,0.000288,0.5775
3,0.28,-,1.8553,9.2605,0.000283,0.5916
4,0.35,-,1.813,9.1655,0.000279,0.6049
5,0.42,-,1.6238,16.6573,0.000275,0.6328
6,0.49,-,1.631,7.2825,0.000271,0.6333
7,0.56,-,1.7474,9.4746,0.000267,0.627
8,0.63,-,1.7197,8.5503,0.000262,0.625
9,0.7,-,1.5958,8.301,0.000258,0.6175
10,0.77,-,1.6497,7.7596,0.000254,0.6296
11,0.84,-,1.5711,7.2241,0.00025,0.6383
12,0.91,-,1.7001,8.1993,0.000246,0.6272
13,0.98,-,1.5263,13.7037,0.000241,0.6638
14,1.05,2025-06-04 21:05:26,1.0556,7.0,0.000237,0.7492
15,1.12,-,0.8731,5.3704,0.000233,0.7768
16,1.19,-,0.7822,6.6698,0.000229,0.797
17,1.26,-,0.9446,9.3175,0.000225,0.755
18,1.33,-,0.8587,7.0708,0.00022,0.7719
19,1.4,-,0.8818,57.1347,0.000216,0.7804
20,1.47,-,0.9201,3.9641,0.000212,0.7703
21,1.54,-,0.8522,7.1623,0.000208,0.7985
22,1.61,-,0.8492,5.7524,0.000204,0.7846
23,1.68,-,0.8927,8.3334,0.0002,0.7711
24,1.75,-,0.9467,5.5272,0.000195,0.7544
25,1.82,-,0.9293,4.2911,0.000191,0.7669
26,1.89,-,0.9317,8.7212,0.000187,0.7706
27,1.96,-,0.9168,5.167,0.000183,0.7632
28,2.03,2025-06-04 21:14:56,0.6312,5.6503,0.000179,0.8206
29,2.1,-,0.4786,7.5753,0.000174,0.8525
30,2.17,-,0.41,4.0107,0.00017,0.9042
31,2.24,-,0.4152,7.101,0.000166,0.8843
32,2.31,-,0.3845,4.1423,0.000162,0.886
33,2.38,-,0.412,4.015,0.000158,0.8878
34,2.45,-,0.4537,6.7185,0.000153,0.8735
35,2.52,-,0.4366,3.664,0.000149,0.8845
36,2.59,-,0.513,5.4171,0.000145,0.8608
37,2.66,-,0.4267,5.0567,0.000141,0.8712
38,2.73,-,0.398,4.5289,0.000137,0.8823
39,2.8,-,0.4091,6.8665,0.000132,0.8929
40,2.87,-,0.4574,5.5958,0.000128,0.8819
41,2.94,-,0.4838,4.6842,0.000124,0.8666
42,3.01,2025-06-04 21:25:46,0.4017,2.4199,0.00012,0.8822
43,3.08,-,0.2016,5.769,0.000116,0.9412
44,3.15,-,0.1792,4.7212,0.000111,0.9465
45,3.22,-,0.1946,7.8947,0.000107,0.9443
46,3.29,-,0.2018,4.5451,0.000103,0.9379
47,3.36,-,0.2492,4.7236,9.9e-05,0.9169
48,3.43,-,0.211,7.0128,9.5e-05,0.9485
49,3.5,-,0.2458,7.3154,9e-05,0.9315
50,3.57,-,0.2362,8.6816,8.6e-05,0.9255
51,3.64,-,0.2414,4.9563,8.2e-05,0.9286
52,3.71,-,0.2101,3.286,7.8e-05,0.9358
53,3.78,-,0.2695,3.0217,7.4e-05,0.9235
54,3.85,-,0.2083,5.8267,6.9e-05,0.9424
55,3.92,-,0.2367,1.587,6.5e-05,0.9382
56,3.99,-,0.2176,5.0354,6.1e-05,0.9373
57,4.06,2025-06-04 21:36:30,0.1204,2.825,5.7e-05,0.9627
58,4.13,-,0.0881,1.1942,5.3e-05,0.9788
59,4.2,-,0.119,2.4326,4.8e-05,0.9669
60,4.27,-,0.1063,3.0023,4.4e-05,0.9739
61,4.34,-,0.1268,5.1073,4e-05,0.97
62,4.41,-,0.0908,4.0005,3.6e-05,0.9738
63,4.48,-,0.1338,3.6436,3.2e-05,0.9621
64,4.55,-,0.1347,1.0292,2.7e-05,0.9627
65,4.62,-,0.117,0.7693,2.3e-05,0.9672
66,4.69,-,0.1122,2.7034,1.9e-05,0.9629
67,4.76,-,0.1309,1.5011,1.5e-05,0.9596
68,4.83,-,0.1027,0.3806,1.1e-05,0.9624
69,4.9,-,0.1299,5.7049,7e-06,0.9579
70,4.97,-,0.096,1.8873,2e-06,0.9692
