,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-04 22:11:07,0.8524,20.8078,0.000298,0.8154
1,0.14,-,0.8498,24.474,0.000296,0.7947
2,0.21,-,0.625,7.7159,0.000294,0.8434
3,0.28,-,0.6137,2.653,0.000292,0.8297
4,0.35,-,0.6551,11.2861,0.00029,0.8358
5,0.42,-,0.6569,10.7123,0.000288,0.8363
6,0.49,-,0.6036,8.9456,0.000285,0.8454
7,0.56,-,0.6384,8.4804,0.000283,0.8435
8,0.63,-,0.7407,9.7037,0.000281,0.8146
9,0.7,-,0.6283,4.7877,0.000279,0.8479
10,0.77,-,0.6335,16.7108,0.000277,0.8286
11,0.84,-,0.5614,6.7883,0.000275,0.8541
12,0.91,-,0.5962,6.3693,0.000273,0.8547
13,0.98,-,0.5703,8.491,0.000271,0.8587
14,1.05,2025-06-04 22:19:21,0.3746,4.3602,0.000269,0.9033
15,1.12,-,0.3355,9.2755,0.000267,0.9094
16,1.19,-,0.2619,2.4832,0.000264,0.9283
17,1.26,-,0.3252,5.373,0.000262,0.9055
18,1.33,-,0.2417,6.3474,0.00026,0.929
19,1.4,-,0.366,11.6021,0.000258,0.9043
20,1.47,-,0.2938,11.1872,0.000256,0.9122
21,1.54,-,0.2704,7.7384,0.000254,0.9183
22,1.61,-,0.2644,3.6592,0.000252,0.925
23,1.68,-,0.3186,9.4481,0.00025,0.9074
24,1.75,-,0.327,5.3235,0.000248,0.9074
25,1.82,-,0.2711,0.4992,0.000246,0.9264
26,1.89,-,0.3432,5.3432,0.000243,0.9114
27,1.96,-,0.3132,2.1022,0.000241,0.9118
28,2.03,2025-06-04 22:28:43,0.2875,16.5527,0.000239,0.9148
29,2.1,-,0.1775,3.2141,0.000237,0.9539
30,2.17,-,0.1937,2.5124,0.000235,0.9519
31,2.24,-,0.1861,5.4333,0.000233,0.9521
32,2.31,-,0.1778,3.3298,0.000231,0.9525
33,2.38,-,0.2178,2.7789,0.000229,0.9443
34,2.45,-,0.2043,2.1111,0.000227,0.955
35,2.52,-,0.1917,19.5663,0.000225,0.9433
36,2.59,-,0.2229,3.9688,0.000222,0.9333
37,2.66,-,0.1984,3.3082,0.00022,0.9484
38,2.73,-,0.171,3.4401,0.000218,0.9502
39,2.8,-,0.1824,3.7641,0.000216,0.9498
40,2.87,-,0.1855,0.9134,0.000214,0.9489
41,2.94,-,0.2305,8.3765,0.000212,0.9343
42,3.01,2025-06-04 22:37:21,0.1038,0.8521,0.00021,0.9667
43,3.08,-,0.1016,1.1426,0.000208,0.9726
44,3.15,-,0.1005,4.5436,0.000206,0.9787
45,3.22,-,0.1017,7.6709,0.000204,0.9746
46,3.29,-,0.1269,4.8215,0.000202,0.968
47,3.36,-,0.0765,2.6343,0.000199,0.9734
48,3.43,-,0.1116,0.2832,0.000197,0.9726
49,3.5,-,0.123,3.1933,0.000195,0.9661
50,3.57,-,0.1545,5.8082,0.000193,0.9652
51,3.64,-,0.1594,1.7282,0.000191,0.9583
52,3.71,-,0.0989,10.3552,0.000189,0.9748
53,3.78,-,0.0942,21.4199,0.000187,0.9718
54,3.85,-,0.0891,2.2577,0.000185,0.9735
55,3.92,-,0.1135,3.3326,0.000183,0.9716
56,3.99,-,0.0966,3.304,0.000181,0.9697
57,4.06,2025-06-04 22:46:06,0.1151,6.511,0.000178,0.9797
58,4.13,-,0.0483,2.8401,0.000176,0.9874
59,4.2,-,0.0835,5.6271,0.000174,0.9803
60,4.27,-,0.0527,3.2852,0.000172,0.9848
61,4.34,-,0.0937,2.2168,0.00017,0.9789
62,4.41,-,0.0665,0.0529,0.000168,0.9769
63,4.48,-,0.0602,1.8181,0.000166,0.9849
64,4.55,-,0.0497,1.1786,0.000164,0.9883
65,4.62,-,0.0795,6.2041,0.000162,0.9798
66,4.69,-,0.0637,3.584,0.00016,0.9842
67,4.76,-,0.0578,7.132,0.000157,0.9851
68,4.83,-,0.0353,3.7292,0.000155,0.9892
69,4.9,-,0.0349,0.2506,0.000153,0.9849
70,4.97,-,0.0376,0.9609,0.000151,0.9886
71,5.03,2025-06-04 22:54:49,0.0647,0.9298,0.000149,0.9815
72,5.1,-,0.0263,0.0598,0.000147,0.9916
73,5.17,-,0.0237,0.9043,0.000145,0.9877
74,5.24,-,0.0211,0.1807,0.000143,0.9965
75,5.31,-,0.03,10.1556,0.000141,0.9906
76,5.38,-,0.0119,0.0234,0.000139,0.9959
77,5.45,-,0.0486,7.1533,0.000136,0.994
78,5.52,-,0.0255,0.0262,0.000134,0.9966
79,5.59,-,0.0297,0.0675,0.000132,0.9918
80,5.66,-,0.0395,0.2295,0.00013,0.9863
81,5.73,-,0.0319,0.6128,0.000128,0.9915
82,5.8,-,0.0245,12.0847,0.000126,0.9932
83,5.87,-,0.0249,3.6602,0.000124,0.994
84,5.94,-,0.0429,1.9468,0.000122,0.987
85,6.01,2025-06-04 23:03:30,0.0416,0.3253,0.00012,0.9892
86,6.08,-,0.0113,0.0089,0.000118,0.9969
87,6.15,-,0.0215,0.0114,0.000115,0.9965
88,6.22,-,0.0267,0.1464,0.000113,0.994
89,6.29,-,0.0375,0.0068,0.000111,0.9947
90,6.36,-,0.0393,0.04,0.000109,0.9947
91,6.43,-,0.0451,2.4368,0.000107,0.9924
92,6.5,-,0.0164,7.062,0.000105,0.9945
93,6.57,-,0.0063,0.1343,0.000103,0.9987
94,6.64,-,0.0131,0.035,0.000101,0.9971
95,6.71,-,0.014,0.018,9.9e-05,0.9963
96,6.78,-,0.0026,0.0198,9.7e-05,0.9988
