,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-01 22:57:11,2.3715,0.8559,0.000299,0.5486
1,0.14,-,0.5812,0.8644,0.000299,0.8965
2,0.21,-,0.2349,0.372,0.000298,0.941
3,0.28,-,0.1837,0.5021,0.000297,0.9561
4,0.35,-,0.1623,0.2932,0.000297,0.9466
5,0.42,-,0.1203,0.2825,0.000296,0.9587
6,0.49,-,0.1215,0.193,0.000295,0.9526
7,0.56,-,0.1122,0.2229,0.000294,0.9494
8,0.63,-,0.1235,0.3768,0.000294,0.9521
9,0.7,-,0.1057,0.2417,0.000293,0.9555
10,0.77,-,0.1023,0.2017,0.000292,0.9551
11,0.84,-,0.1273,0.2336,0.000292,0.9475
12,0.91,-,0.1007,0.1119,0.000291,0.9628
13,0.98,-,0.1483,0.421,0.00029,0.9408
14,1.05,2025-06-01 23:02:47,0.1118,0.2349,0.00029,0.9536
15,1.12,-,0.096,0.131,0.000289,0.9613
16,1.19,-,0.0987,0.2135,0.000288,0.961
17,1.26,-,0.0927,0.1523,0.000287,0.9575
18,1.33,-,0.0907,0.2572,0.000287,0.9619
19,1.4,-,0.0825,0.1372,0.000286,0.971
20,1.47,-,0.1056,0.2978,0.000285,0.9586
21,1.54,-,0.1042,0.1932,0.000285,0.9551
22,1.61,-,0.1057,0.2754,0.000284,0.9621
23,1.68,-,0.1079,0.2282,0.000283,0.9572
24,1.75,-,0.0708,0.1645,0.000283,0.9683
25,1.82,-,0.1058,0.1965,0.000282,0.9534
26,1.89,-,0.1032,0.2268,0.000281,0.9622
27,1.96,-,0.1018,0.223,0.00028,0.9537
28,2.03,2025-06-01 23:06:58,0.0984,0.5516,0.00028,0.9592
29,2.1,-,0.0853,0.1417,0.000279,0.9641
30,2.17,-,0.0878,0.2311,0.000278,0.9572
31,2.24,-,0.0737,0.1476,0.000278,0.9745
32,2.31,-,0.0773,0.1341,0.000277,0.9662
33,2.38,-,0.0922,0.1764,0.000276,0.9631
34,2.45,-,0.0865,0.2694,0.000276,0.9653
35,2.52,-,0.0923,0.2766,0.000275,0.9674
36,2.59,-,0.1071,0.2471,0.000274,0.9599
37,2.66,-,0.1213,0.2885,0.000273,0.9545
38,2.73,-,0.0901,0.2543,0.000273,0.9563
39,2.8,-,0.077,0.2235,0.000272,0.9671
40,2.87,-,0.0813,0.2197,0.000271,0.9619
41,2.94,-,0.0964,0.2485,0.000271,0.9574
42,3.01,2025-06-01 23:11:22,0.081,0.1046,0.00027,0.9697
43,3.08,-,0.077,0.1138,0.000269,0.9626
44,3.15,-,0.0634,0.1187,0.000269,0.9748
45,3.22,-,0.0735,0.1704,0.000268,0.9662
46,3.29,-,0.0637,0.1224,0.000267,0.9728
47,3.36,-,0.0624,0.221,0.000267,0.9798
48,3.43,-,0.0645,0.2241,0.000266,0.9735
49,3.5,-,0.0826,0.2153,0.000265,0.9623
50,3.57,-,0.0669,0.1292,0.000264,0.9706
51,3.64,-,0.0733,0.1685,0.000264,0.9736
52,3.71,-,0.0613,0.2379,0.000263,0.9729
53,3.78,-,0.0991,0.1849,0.000262,0.9549
54,3.85,-,0.0794,0.1398,0.000262,0.964
55,3.92,-,0.0726,0.2867,0.000261,0.9733
56,3.99,-,0.0625,0.1638,0.00026,0.9751
57,4.06,2025-06-01 23:15:26,0.0556,0.1188,0.00026,0.9775
58,4.13,-,0.0516,0.189,0.000259,0.9775
59,4.2,-,0.0474,0.1965,0.000258,0.9801
60,4.27,-,0.0635,0.3585,0.000257,0.9748
61,4.34,-,0.0443,0.2073,0.000257,0.984
62,4.41,-,0.0598,0.1644,0.000256,0.9763
63,4.48,-,0.0663,0.1691,0.000255,0.9688
64,4.55,-,0.0693,0.0892,0.000255,0.9788
65,4.62,-,0.0675,0.2897,0.000254,0.9721
66,4.69,-,0.0559,0.2709,0.000253,0.9748
67,4.76,-,0.0599,0.0693,0.000253,0.9758
68,4.83,-,0.0612,0.1786,0.000252,0.9775
69,4.9,-,0.0688,0.3535,0.000251,0.965
70,4.97,-,0.077,0.2122,0.00025,0.9713
71,5.03,2025-06-01 23:19:33,0.0515,0.1721,0.00025,0.9762
72,5.1,-,0.04,0.2962,0.000249,0.9862
73,5.17,-,0.0269,0.1482,0.000248,0.9926
74,5.24,-,0.0323,0.2386,0.000248,0.9838
75,5.31,-,0.0379,0.4525,0.000247,0.9851
76,5.38,-,0.0455,0.1719,0.000246,0.9838
77,5.45,-,0.0436,0.2418,0.000246,0.9835
78,5.52,-,0.0406,0.1774,0.000245,0.9838
79,5.59,-,0.049,0.2167,0.000244,0.98
80,5.66,-,0.0629,0.5138,0.000243,0.9761
81,5.73,-,0.0374,0.2965,0.000243,0.9862
82,5.8,-,0.0479,0.5227,0.000242,0.9821
83,5.87,-,0.043,0.2081,0.000241,0.9798
84,5.94,-,0.0722,0.3374,0.000241,0.9725
85,6.01,2025-06-01 23:24:30,0.0381,0.2109,0.00024,0.9848
86,6.08,-,0.033,0.276,0.000239,0.9899
87,6.15,-,0.0175,0.2729,0.000239,0.9963
88,6.22,-,0.0217,0.0117,0.000238,0.9936
89,6.29,-,0.0277,0.3888,0.000237,0.9885
90,6.36,-,0.0305,0.2453,0.000236,0.985
91,6.43,-,0.0269,0.0544,0.000236,0.9939
92,6.5,-,0.037,0.5702,0.000235,0.9824
93,6.57,-,0.0328,0.3977,0.000234,0.9848
94,6.64,-,0.026,0.1327,0.000234,0.9901
95,6.71,-,0.0343,0.1318,0.000233,0.9911
96,6.78,-,0.0297,0.212,0.000232,0.9887
97,6.85,-,0.0362,0.2475,0.000232,0.9861
98,6.92,-,0.0299,0.1941,0.000231,0.9862
99,6.99,-,0.021,0.3202,0.00023,0.995
100,7.06,2025-06-01 23:29:06,0.0165,0.0372,0.000229,0.9913
101,7.13,-,0.0182,0.3978,0.000229,0.9911
102,7.2,-,0.0055,0.0182,0.000228,0.9976
103,7.27,-,0.0112,0.0837,0.000227,0.9961
104,7.34,-,0.0207,0.0365,0.000227,0.9925
105,7.41,-,0.0173,0.3166,0.000226,0.9913
106,7.48,-,0.0341,0.1729,0.000225,0.9874
107,7.55,-,0.0211,0.4996,0.000225,0.9925
108,7.62,-,0.0123,0.0122,0.000224,0.9951
