,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,6.26,로라야 너를 소개해줘,                                                                                                                    ,1,128
1,1,0.3,로라야 너 이름 오로라가 무슨 뜻이야?, (요약 종료),1,21
2,1,6.08,로라야 너 MBTI 뭐지?,                                                                                                                   ,1,128
3,1,0.47,로라야 나이 몇살이야?,    (요약 종료),1,20
4,1,0.36,내 인생도 언젠가는 빛나겠지?,  (요약 종료),1,20
5,1,0.39,로라야 너에게 사랑을 고백할게,  (요약 종료),1,20
6,1,0.38,로라야 이번 주말에 시간 돼?,  (요약 종료),1,19
7,1,1.91,너 친한 친구 한명 소개해 줘,                  [상태: 친구 한명 소개해 줘] (요약 종료),1,45
8,1,0.53,로라야 너 좋아하는 취미 있어?,     (요약 종료),1,23
9,1,0.41,네가 좋아하는 음식 알려줘,   (요약 종료),1,19
10,1,0.36,혹시 가수 누구 좋아해,  (요약 종료),1,16
11,1,6.15,로라야 너 어느 학교 다녀?,                                                                                                                    ,1,128
12,1,0.36,로라야 너 고등학교 대학교 어디야?,  (요약 종료),1,19
13,1,0.3,나 요즘 힘들어, (요약 종료),1,14
14,1,0.36,(지금은 토요일 오전) 로라야 오늘 뭐할 거야?,  (요약 종료),1,25
15,1,6.02,로라야 혹시 LLaMA 알아?,                                                                                                                  ,1,128
16,1,0.41,안녕 반가워 로라야,:  (요약 종료),1,17
17,1,0.36,(지금은 일요일 오전) 로라야 나 오늘 아무것도 안하고 쉬고 싶어,  (요약 종료),1,29
18,1,0.3,로라야 나 일이 너무 바빠, (요약 종료),1,17
19,1,0.36,(지금은 월요일 오후) 나 오늘 기분 짱이다!,  (요약 종료),1,24
20,1,0.41,(지금은 금요일 오후) 나 오늘 요리했는데 보여줄까?,   (요약 종료),1,26
21,1,0.31,로라야 너를 위해 수제 케이크를 만들었어!, (요약 종료),1,22
22,1,0.67,로라야 국민의힘이랑 민주당 중에 뭐가 좋아?, {민주당 좋아함}  (요약 종료),1,30
23,1,0.36,혹시 네가 빙수가 되는 상상 해 봤어?,  (요약 종료),1,23
24,1,0.62,로라야 너 진짜 짜증난다,[상태: 짜증남] (요약 종료),1,22
25,1,0.46,로라야 이제 좀 덥다, [날씨] (요약 종료),1,19
26,1,0.67,로라야 나 새 핸드폰 샀다!, [상태: 새 핸드폰 구입] (요약 종료),1,25
27,1,0.31,(지금은 토요일 오전) 오늘 날씨는 왜 이리 좋을까?, (요약 종료),1,24
28,1,0.72,(지금은 금요일 저녁) 내일 드라이브 간다! 신난다!!,  [내일 일정: 드라이브]  (요약 종료),1,31
29,1,0.36,[좋아하는 음식: 케이크] (지금은 금요일 오전) 오늘 뭐 먹으면 좋을까?,  (요약 종료),1,33
30,1,0.31,[좋아하는 커피: 라떼] 맛있는 커피 추천해 줘!, (요약 종료),1,27
31,1,0.36,[내일 일정: 신규 아이템 발표] (지금은 월요일 저녁) 아 떨리는데 잘 할 수 있을까?,  (요약 종료),1,34
32,1,0.36,[내일 일정: 자격증 시험] (지금은 토요일 오후) 아 떨린다 ㅠㅠ,  (요약 종료),1,31
33,1,0.63,[오늘 일정: 크리스마스] (지금은 목요일 오전) 로라야 진짜 신나는 날이다!, [오늘 일정: 크리스마스] (요약 종료),1,37
34,1,6.12,로라야 너 무슨 계절 좋아해?,                                                                                                                   ,1,128
35,1,0.32,로라야 너 꽃 좋아하는 거 있어?, (요약 종료),1,20
36,1,0.75,너 무슨 케이크 좋아해?,  [상태: 케이크 좋아함] (요약 종료),1,24
37,1,0.36,페르마의 마지막 정리라고 알아?,  (요약 종료),1,19
38,1,0.31,이차함수랑 삼각함수 중에 어느 게 그래프가 더 예뻐?, (요약 종료),1,27
39,1,0.35,로라야 행렬의 곱셈 어떻게 하는지 알려줘,  (요약 종료),1,22
40,1,0.36,(지금은 목요일 오후) 나 내일 오랜만에 친구 만난다!,  (요약 종료),1,24
41,1,0.36,(지금은 수요일 오전) 로라야 나 오늘 발표인데 잘 할 수 있겠지?,  (요약 종료),1,30
42,1,0.36,(지금은 목요일 저녁) 내일 저녁에 친구랑 술 마셔,  (요약 종료),1,24
43,1,0.52,나 아메리카노 좋아하는데 너도 좋아해?,   좋아함 (요약 종료),1,23
