,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-01 13:37:14,2.5752,0.6321,0.000299,0.4174
1,0.14,-,1.1629,0.3763,0.000298,0.7616
2,0.21,-,0.6231,0.8147,0.000297,0.8652
3,0.28,-,0.36,0.4899,0.000296,0.8861
4,0.35,-,0.3421,0.6262,0.000295,0.8937
5,0.42,-,0.2623,0.4433,0.000294,0.9278
6,0.49,-,0.3777,0.4115,0.000293,0.9128
7,0.56,-,0.2405,0.5486,0.000292,0.9308
8,0.63,-,0.3377,0.3133,0.000291,0.9003
9,0.7,-,0.2254,0.2578,0.00029,0.9378
10,0.77,-,0.2515,0.434,0.000289,0.9428
11,0.84,-,0.2851,0.7347,0.000288,0.9178
12,0.91,-,0.2698,0.7576,0.000286,0.911
13,0.98,-,0.1511,0.6648,0.000285,0.9466
14,1.05,2025-06-01 13:39:24,0.1869,0.8064,0.000284,0.9398
15,1.12,-,0.2448,0.6609,0.000283,0.9454
16,1.19,-,0.1761,0.4338,0.000282,0.9544
17,1.26,-,0.1362,0.2712,0.000281,0.9731
18,1.33,-,0.1169,0.736,0.00028,0.9512
19,1.4,-,0.1304,0.3598,0.000279,0.9598
20,1.47,-,0.1042,0.9125,0.000278,0.9544
21,1.54,-,0.1185,0.4971,0.000277,0.9682
22,1.61,-,0.1123,0.673,0.000276,0.9531
23,1.68,-,0.1429,0.4639,0.000275,0.9601
24,1.75,-,0.1022,0.3532,0.000274,0.9666
25,1.82,-,0.0679,0.6398,0.000273,0.9794
26,1.89,-,0.0817,0.1743,0.000272,0.9754
27,1.96,-,0.104,0.7134,0.000271,0.9653
28,2.03,2025-06-01 13:41:08,0.0693,0.041,0.00027,0.9782
29,2.1,-,0.1123,1.2524,0.000269,0.9667
30,2.17,-,0.0267,0.1248,0.000268,0.9952
31,2.24,-,0.0678,0.2698,0.000267,0.9869
32,2.31,-,0.0816,0.405,0.000265,0.9762
33,2.38,-,0.049,0.2429,0.000264,0.9886
34,2.45,-,0.0781,0.6246,0.000263,0.972
35,2.52,-,0.0678,0.4444,0.000262,0.9779
36,2.59,-,0.0917,0.3056,0.000261,0.9711
37,2.66,-,0.0507,0.1591,0.00026,0.9825
38,2.73,-,0.0539,0.2412,0.000259,0.9799
39,2.8,-,0.0418,0.3251,0.000258,0.9931
40,2.87,-,0.0497,0.8949,0.000257,0.9864
41,2.94,-,0.0841,0.4119,0.000256,0.977
42,3.01,2025-06-01 13:43:28,0.0384,0.4516,0.000255,0.9897
43,3.08,-,0.0539,0.5656,0.000254,0.9846
44,3.15,-,0.0335,0.5909,0.000253,0.9858
45,3.22,-,0.0258,0.622,0.000252,0.992
46,3.29,-,0.0315,0.3854,0.000251,0.9891
47,3.36,-,0.0212,0.7884,0.00025,0.9901
48,3.43,-,0.0377,0.3043,0.000249,0.9898
49,3.5,-,0.0243,0.0182,0.000248,0.9865
50,3.57,-,0.0296,0.6311,0.000247,0.9903
51,3.64,-,0.0326,0.1082,0.000246,0.9883
52,3.71,-,0.0307,0.4663,0.000245,0.9877
53,3.78,-,0.0082,0.1245,0.000243,0.9981
54,3.85,-,0.013,0.0266,0.000242,0.9922
55,3.92,-,0.0457,0.0004,0.000241,0.985
56,3.99,-,0.04,0.3842,0.00024,0.9871
57,4.06,2025-06-01 13:45:28,0.0085,0.0341,0.000239,0.995
58,4.13,-,0.0113,0.06,0.000238,0.9978
59,4.2,-,0.0159,0.2117,0.000237,0.997
60,4.27,-,0.0139,0.0256,0.000236,0.9952
61,4.34,-,0.0042,0.1581,0.000235,1.0
62,4.41,-,0.0141,0.101,0.000234,0.9964
63,4.48,-,0.0188,0.1321,0.000233,0.9944
