,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.07,2025-06-02 23:32:43,2.0576,17.8962,0.0003,0.5619
1,0.14,-,1.8774,9.2782,0.000299,0.5807
2,0.21,-,1.7644,48.3131,0.000299,0.6019
3,0.28,-,1.7831,17.9765,0.000298,0.6081
4,0.35,-,1.793,9.763,0.000298,0.6295
5,0.42,-,1.732,9.0101,0.000298,0.6143
6,0.49,-,1.8073,8.6966,0.000297,0.605
7,0.56,-,1.7672,8.7753,0.000297,0.6139
8,0.63,-,1.7048,8.5188,0.000296,0.6302
9,0.7,-,1.6456,5.7083,0.000296,0.6352
10,0.77,-,1.6739,9.8386,0.000295,0.6213
11,0.84,-,1.6103,7.8045,0.000295,0.6347
12,0.91,-,1.6436,8.2161,0.000295,0.6348
13,0.98,-,1.7092,6.125,0.000294,0.6193
14,1.05,2025-06-02 23:48:10,1.1778,4.6058,0.000294,0.7243
15,1.12,-,0.9519,6.343,0.000293,0.7584
16,1.19,-,0.906,7.942,0.000293,0.7689
17,1.26,-,1.0296,9.1532,0.000292,0.7485
18,1.33,-,0.9993,11.7875,0.000292,0.7485
19,1.4,-,0.9459,5.9418,0.000292,0.7706
20,1.47,-,0.9466,5.1748,0.000291,0.757
21,1.54,-,1.0009,9.7211,0.000291,0.7443
22,1.61,-,1.1111,21.5305,0.00029,0.7134
23,1.68,-,0.9651,6.1754,0.00029,0.7469
24,1.75,-,1.0865,6.3533,0.00029,0.7386
25,1.82,-,1.0539,8.3638,0.000289,0.7355
26,1.89,-,1.0158,8.0088,0.000289,0.7387
27,1.96,-,1.0861,7.5163,0.000288,0.7343
28,2.03,2025-06-02 23:57:38,0.8826,4.701,0.000288,0.7834
29,2.1,-,0.5056,8.9267,0.000287,0.8673
30,2.17,-,0.572,15.3781,0.000287,0.8439
31,2.24,-,0.5212,5.5878,0.000287,0.8511
32,2.31,-,0.6129,11.2513,0.000286,0.8327
33,2.38,-,0.6022,10.7701,0.000286,0.8362
34,2.45,-,0.7119,4.5487,0.000285,0.8201
35,2.52,-,0.6473,4.3234,0.000285,0.8098
36,2.59,-,0.738,6.2511,0.000284,0.8117
37,2.66,-,0.6633,10.177,0.000284,0.8356
38,2.73,-,0.7454,4.7199,0.000284,0.8037
39,2.8,-,0.6274,10.1059,0.000283,0.8265
40,2.87,-,0.6979,7.826,0.000283,0.8023
