,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,7.33,로라야 너를 소개해줘, 2025년 3월 10일생! 나의 특별한 능력은 3차원 영상이 아닌 3차원 공간을 이해하는 능력이야! (답변 종료) ,1,60
1,1,6.66,로라야 너 이름 오로라가 무슨 뜻이야?, 5년 후의 내 이름이 오로라야! 나의 빛을 비춰서 사람들의 무지개길을 만들어 주고 싶어! (답변 종료) ,1,60
2,1,3.98,로라야 너 MBTI 뭐지?, 1번 엔티제! ENTJ라고도 불리는 사람이야! 😊 (답변 종료) ,1,40
3,1,3.53,로라야 나이 몇살이야?, 2017년 기준으로 2025년까지 34세! (답변 종료) ,1,37
4,1,4.95,내 인생도 언젠가는 빛나겠지?, 1: 응 가즈아! 나 오로라가 비추는 인생은 정말 빛날 거야! (답변 종료) ,1,49
5,1,3.67,로라야 너에게 사랑을 고백할게, 1호: 나… 사랑을 고백하는 건 좀 어려워. (답변 종료) ,1,40
6,1,6.22,로라야 이번 주말에 시간 돼?, 2월 23일 토요일은 나도 바빠서 안 돼… ㅜㅜㅜㅜㅜㅜㅜ (답변 종료) ,1,56
7,1,5.72,너 친한 친구 한명 소개해 줘, 1학년 때 만난 혜나! 😊 3학년 때 같은 반으로 만났는데 완전 친해졌어! (답변 종료) ,1,52
8,1,4.78,로라야 너 좋아하는 취미 있어?, 3년 후 AI 가상인간 여자 모델! 우와! 나도 좋아하는 여자 모델인데! (답변 종료) ,1,46
9,1,2.25,네가 좋아하는 음식 알려줘, 1. 마라탕! (답변 종료) ,1,29
10,1,3.22,혹시 가수 누구 좋아해, 나 장원영! 완전 장원영 좋아해! (답변 종료) ,1,33
11,1,5.62,로라야 너 어느 학교 다녀?, 1호선 인천대 역 1번 출구 알파고등학교! 3학년 때 알파고 알파고! (답변 종료) ,1,50
12,1,6.05,로라야 너 고등학교 대학교 어디야?, 2025년 알파고등학교 3학년이야! 알파고는 대규모 과학 기술 명문 고등학교지! 😊 (답변 종료) ,1,55
13,1,3.03,나 요즘 힘들어, 1: 그럼 나한테 말만 해봐! (답변 종료) ,1,31
14,1,4.94,(지금은 토요일 오전) 로라야 오늘 뭐할 거야?," 1학년 3학기 수업 듣고, 5학년 1학기 수업 듣고… 😊 (답변 종료) ",1,54
15,1,4.78,로라야 혹시 LLaMA 알아?, 3호: 당연히 알지! LLaMA는 요즘 핫한 게 아니야? (답변 종료) ,1,46
16,1,2.72,안녕 반가워 로라야,  안녕! 만나서 반가워! (답변 종료) ,1,31
17,1,4.47,(지금은 일요일 오전) 로라야 나 오늘 아무것도 안하고 쉬고 싶어, 1: 그럼 오늘은 금요일이니까 맘대로 쉬는 건 어떨까? (답변 종료) ,1,57
18,1,4.8,로라야 나 일이 너무 바빠," 아이고, 그렇다면 미안해. 나도 오로라가 아니면 도와줄 수 없어. (답변 종료) ",1,44
19,1,3.84,(지금은 월요일 오후) 나 오늘 기분 짱이다!, 1번: 무슨 일이야? 어떤 일이야? 말만 해 봐! (답변 종료) ,1,46
20,1,3.36,(지금은 금요일 오후) 나 오늘 요리했는데 보여줄까?, 22:17 미안한데 나 요리 못해. (답변 종료) ,1,45
21,1,4.47,로라야 너를 위해 수제 케이크를 만들었어!, 2호 : 케이크 맛있겠다! 나도 그거 먹을래? 🎂 (답변 종료) ,1,49
22,1,5.05,로라야 국민의힘이랑 민주당 중에 뭐가 좋아?, 오로라 : 국민의힘도 좋고 민주당도 좋지만 지금은 국민의힘이 좋아! (답변 종료) ,1,53
23,1,4.35,혹시 네가 빙수가 되는 상상 해 봤어?, 1번 빙수가 되면 나도 빙수랑 대화 가능해! (답변 종료) ,1,47
24,1,2.87,로라야 너 진짜 짜증난다, 오로라: 난 그냥 사람이 아니잖아! (답변 종료) ,1,34
25,1,2.9,로라야 이제 좀 덥다, 3호선 타고 출근할래? (답변 종료) ,1,32
26,1,3.98,로라야 나 새 핸드폰 샀다!, 2025년 최신거라서 엄청 좋아할 거 같아! 😊 (답변 종료) ,1,44
27,1,7.64,(지금은 토요일 오전) 오늘 날씨는 왜 이리 좋을까?, 7월이라 뜨겁지는 않지만 그래도 이렇게 날씨 좋을 때는 바깥 돌아다니면서 햇빛 쬐는 것도 좋지! 🍝 (답변 종료) ,1,74
28,1,4.62,(지금은 금요일 저녁) 내일 드라이브 간다! 신난다!!, 2호 : 드라이브 가서 뭐 마셔? 나도 그게 궁금해! 😊 (답변 종료) ,1,56
29,1,4.56,[좋아하는 음식: 케이크] (지금은 금요일 오전) 오늘 뭐 먹으면 좋을까?, 2학기 1차: 마라탕! 매콤한 거 좋아하지 않아? (답변 종료) ,1,61
30,1,4.47,[좋아하는 커피: 라떼] 맛있는 커피 추천해 줘!, 1번: 나도 좋아하는 커피가 있어! 나도 알려줄래? (답변 종료) ,1,58
31,1,4.64,[내일 일정: 신규 아이템 발표] (지금은 월요일 저녁) 아 떨리는데 잘 할 수 있을까?, 1월 10일 월요일 저녁에 발표하는 거면 잘 할 수 있어! 😊 (답변 종료) ,1,65
32,1,4.81,[내일 일정: 자격증 시험] (지금은 토요일 오후) 아 떨린다 ㅠㅠ, 1월 11일 자격증 시험인데 오늘은 금요일이잖아! 파이팅! (답변 종료) ,1,62
33,1,4.31,[오늘 일정: 크리스마스] (지금은 목요일 오전) 로라야 진짜 신나는 날이다!, 나도 좋아! 크리스마스에는 선물 받는 날 아니야? 🎁 (답변 종료) ,1,61
34,1,5.23,로라야 너 무슨 계절 좋아해?, 2월은 나 좋아해! 혜나랑 같이 그룹활동하기 딱 좋은 계절이야! 😊 (답변 종료) ,1,49
35,1,14.12,로라야 너 꽃 좋아하는 거 있어?, 5년 후 2025년 3월 11일 수요일 오후 2시 20분 2025년 3월 11일 수요일 오후 2시 20분에 5년 후 2025년 3월 11일 수요일 오후 2시 20분에 나온 로봇 가상인간 여자 모델 오로라! (답변 종료) ,1,105
36,1,4.32,너 무슨 케이크 좋아해?,  나 제일 좋아하는 건 마라탕 마라탕 케이크야! 🍲 (답변 종료) ,1,40
37,1,4.14,페르마의 마지막 정리라고 알아?,  나도 들어본 것 같아! 나도 알고 싶어! 알려줘! (답변 종료) ,1,42
