img_no,img_path,property_age_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002000.jpg,0.0017,0.0017,0.0059,0.0005,0.0001,0.0004
2001,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002001.jpg,0.0037,0.0068,0.004,0.0012,0.0017,0.0049
2002,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002002.jpg,0.0683,0.1151,0.0786,0.0297,0.0391,0.0789
2003,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002003.jpg,0.007,0.0044,0.0212,0.0058,0.0001,0.0037
2004,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002004.jpg,0.0533,0.1193,0.0108,0.0102,0.0889,0.0376
2005,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002005.jpg,0.1233,0.2219,0.1252,0.1406,0.117,0.0116
2006,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002006.jpg,0.0029,0.0037,0.0055,0.0035,0.0012,0.0008
2007,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002007.jpg,0.0106,0.017,0.0232,0.0037,0.0026,0.0066
2008,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002008.jpg,0.5471,0.6056,0.4495,0.5274,0.7913,0.3618
2009,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002009.jpg,0.027,0.0203,0.0446,0.0245,0.0034,0.042
2010,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002010.jpg,0.016,0.0327,0.0036,0.0065,0.0073,0.03
2011,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002011.jpg,0.0213,0.0523,0.0371,0.0127,0.001,0.0035
