img_no,img_path,property_gender_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002000.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2001,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002001.jpg,0.9998,0.9998,0.9998,0.9997,1.0,0.9998
2002,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002002.jpg,0.997,0.9969,0.9965,0.9962,0.9981,0.9975
2003,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002003.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2004,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002004.jpg,0.9984,0.9986,0.9993,0.995,0.9999,0.9989
2005,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002005.jpg,0.9999,0.9999,0.9999,0.9999,1.0,0.9999
2006,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002006.jpg,1.0,0.9999,1.0,0.9999,1.0,1.0
2007,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002007.jpg,0.9999,0.9999,0.9999,0.9999,1.0,1.0
2008,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002008.jpg,0.927,0.9006,0.967,0.8646,0.9788,0.9239
2009,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002009.jpg,0.9946,0.996,0.9938,0.9882,0.9984,0.9964
2010,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002010.jpg,1.0,0.9999,1.0,0.9999,1.0,1.0
2011,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002011.jpg,0.9984,0.9983,0.9982,0.9969,0.9997,0.9989
2012,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002012.jpg,0.9996,0.9996,0.9995,0.9993,0.9999,0.9998
2013,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002013.jpg,0.9992,0.9988,0.9995,0.9992,0.9997,0.9985
2014,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002014.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2015,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002015.jpg,0.9385,0.9688,0.9639,0.9523,0.9399,0.8675
2016,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002016.jpg,0.0041,0.0067,0.0017,0.0088,0.0014,0.002
2017,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002017.jpg,0.9997,0.9997,0.9998,0.9994,0.9999,0.9998
2018,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002018.jpg,0.9992,0.9992,0.9994,0.9981,0.9999,0.9996
2019,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002019.jpg,0.9997,0.9997,0.9996,0.9996,0.9999,0.9998
2020,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002020.jpg,0.9999,0.9999,0.9998,0.9996,1.0,0.9999
2021,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002021.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2022,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002022.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2023,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002023.jpg,0.9999,0.9999,1.0,0.9999,1.0,0.9999
2024,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002024.jpg,0.9993,0.9994,0.9992,0.9987,0.9999,0.9994
2025,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002025.jpg,0.9998,0.9997,0.9999,0.9995,0.9999,0.9998
2026,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002026.jpg,0.9987,0.9982,0.9989,0.9978,0.9998,0.9986
2027,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002027.jpg,0.9994,0.9993,0.9997,0.9988,0.9999,0.9992
2028,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002028.jpg,0.9999,0.9999,0.9999,0.9999,1.0,0.9999
2029,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002029.jpg,0.9999,0.9999,0.9999,0.9997,1.0,0.9999
2030,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002030.jpg,0.9786,0.9665,0.985,0.9857,0.9874,0.9684
2031,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002031.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2032,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002032.jpg,0.9991,0.9984,0.9996,0.9986,0.9999,0.9991
2033,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002033.jpg,0.9843,0.9844,0.9859,0.9795,0.9946,0.9773
2034,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002034.jpg,0.9988,0.9988,0.9995,0.9972,0.9997,0.999
2035,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002035.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2036,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002036.jpg,0.9997,0.9996,0.9994,0.9997,0.9999,0.9999
2037,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002037.jpg,0.9957,0.9959,0.9974,0.9884,0.9996,0.9972
2038,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002038.jpg,0.9997,0.9996,0.9999,0.9993,1.0,0.9996
2039,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002039.jpg,0.9998,0.9997,0.9998,0.9994,1.0,0.9999
