img_no,img_path,property_glass_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002000.jpg,0.0024,0.0004,0.0064,0.0008,0.0005,0.004
2001,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002001.jpg,0.0013,0.0002,0.0027,0.0,0.0004,0.003
2002,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002002.jpg,0.001,0.0001,0.0038,0.0,0.0004,0.0005
2003,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002003.jpg,0.0004,0.0002,0.0009,0.0,0.0004,0.0004
2004,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002004.jpg,0.007,0.0025,0.0276,0.0004,0.0021,0.0022
2005,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002005.jpg,0.0007,0.0009,0.0016,0.0001,0.0002,0.0009
2006,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002006.jpg,0.17,0.2076,0.0265,0.3917,0.0746,0.1497
2007,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002007.jpg,0.0059,0.0002,0.0251,0.0001,0.0025,0.0016
2008,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002008.jpg,0.0067,0.0007,0.0188,0.0001,0.0005,0.0135
2009,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002009.jpg,0.9716,0.944,0.9823,0.9858,0.9975,0.9483
2010,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002010.jpg,0.002,0.0007,0.0078,0.0002,0.0006,0.0007
2011,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002011.jpg,0.0004,0.0001,0.0013,0.0,0.0003,0.0004
2012,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002012.jpg,0.0011,0.0009,0.0023,0.0001,0.0002,0.0021
2013,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002013.jpg,0.0183,0.0389,0.0186,0.0017,0.017,0.015
2014,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002014.jpg,0.0007,0.0002,0.0016,0.0,0.0002,0.0014
2015,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002015.jpg,0.0004,0.0004,0.0013,0.0,0.0,0.0002
