img_no,img_path,property_quality_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2000,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002000.jpg,0.9999,0.9999,0.9998,0.9999,0.9999,0.9998
2001,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002001.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2002,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002002.jpg,0.9972,0.9982,0.9963,0.9963,0.9986,0.9965
2003,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002003.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2004,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002004.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2005,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002005.jpg,0.9999,1.0,0.9998,1.0,1.0,0.9999
2006,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002006.jpg,0.9999,1.0,0.9998,0.9999,0.9999,0.9999
2007,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002007.jpg,0.9988,0.9991,0.9974,0.9998,0.9987,0.9987
2008,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002008.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2009,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002009.jpg,0.9899,0.9932,0.9866,0.997,0.9859,0.9871
2010,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002010.jpg,0.9997,0.9998,0.9996,0.9999,0.9999,0.9996
2011,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002011.jpg,0.3893,0.4592,0.3707,0.4453,0.3121,0.3592
2012,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002012.jpg,0.9999,1.0,0.9999,1.0,0.9999,0.9999
