,img_no,img_path,gender_score,quality_score,age_score,glass_score
0,0,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000000.jpg,1.0,1.0,0.0,0.0
1,1,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000001.jpg,1.0,1.0,0.0,0.0
2,2,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000002.jpg,1.0,1.0,0.0,0.0
3,3,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000003.jpg,1.0,1.0,0.0,0.0
4,4,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000004.jpg,1.0,1.0,0.0,1.0
5,5,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000005.jpg,1.0,1.0,0.0,0.0
6,6,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000006.jpg,1.0,1.0,0.0,0.0
7,7,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000007.jpg,1.0,1.0,0.0,0.0
8,8,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000008.jpg,1.0,1.0,0.0,0.0
9,9,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000009.jpg,1.0,1.0,0.0,0.0
10,10,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000010.jpg,1.0,1.0,0.0,0.0
11,11,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000011.jpg,1.0,1.0,0.0,0.0
12,12,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000012.jpg,1.0,1.0,0.0,0.0
13,13,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000013.jpg,1.0,1.0,0.0,0.0
14,14,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000014.jpg,1.0,1.0,0.0,0.0
15,15,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000015.jpg,1.0,1.0,0.0,0.0
16,16,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000016.jpg,0.0,1.0,0.0,0.0
17,17,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000017.jpg,1.0,1.0,0.0,0.0
18,18,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000018.jpg,1.0,1.0,0.0,0.0
19,19,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000019.jpg,0.0,1.0,0.0,0.0
20,20,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000020.jpg,1.0,1.0,0.0,0.0
21,21,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000021.jpg,1.0,1.0,0.0,0.0
22,22,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000022.jpg,1.0,1.0,0.0,0.0
23,23,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000023.jpg,1.0,1.0,0.0,0.0
24,24,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000024.jpg,1.0,1.0,0.0,0.0
25,25,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000025.jpg,1.0,1.0,0.0,0.0
26,26,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000026.jpg,1.0,1.0,0.0,0.0
27,27,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000027.jpg,0.0,1.0,0.0,0.0
28,28,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000028.jpg,1.0,1.0,0.0,0.0
29,29,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000029.jpg,0.0,1.0,0.0,0.0
30,30,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000030.jpg,1.0,1.0,0.0,0.0
31,31,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000031.jpg,1.0,1.0,0.0,1.0
32,32,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000032.jpg,1.0,1.0,0.0,0.0
33,33,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000033.jpg,1.0,1.0,0.0,0.0
34,34,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000034.jpg,1.0,1.0,1.0,1.0
35,35,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000035.jpg,1.0,1.0,0.0,0.0
36,36,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000036.jpg,1.0,1.0,0.0,0.0
37,37,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000037.jpg,1.0,1.0,0.0,0.0
38,38,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000038.jpg,1.0,1.0,0.0,0.0
39,39,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000039.jpg,1.0,1.0,0.0,0.0
