,epoch,idx,d_loss,g_loss,g_train_count,real_scores_mean,fake_scores_mean,real_fake_auroc,mean_gender_score,mean_quality_score,mean_age_score,mean_glass_score
0,0,0,1.9106,1.9552,1,-0.2867,-2.3428,0.7656,0.8975,0.9652,0.0616,0.0576
1,0,1,1.7427,1.3509,1,0.1296,-1.7044,0.8125,0.9386,0.9694,0.0818,0.0718
2,0,2,1.4518,1.3406,1,1.6247,-0.4773,0.875,0.92,0.9682,0.0559,0.0412
3,0,3,1.3085,1.5194,1,2.2281,-0.4313,0.9375,0.9226,0.9486,0.0707,0.0407
4,0,4,1.2185,1.298,1,1.2288,-1.3497,0.9688,0.8711,0.9859,0.0717,0.0473
5,0,5,1.3163,1.131,1,2.1537,-0.5295,0.9375,0.9507,0.9668,0.0659,0.0475
6,0,6,1.2629,1.7077,1,1.4101,-0.5003,0.9219,0.9593,0.9629,0.0791,0.0483
7,0,7,1.8858,1.6938,1,-0.2757,-0.8917,0.6406,0.9138,0.9706,0.0528,0.028
8,0,8,1.2012,1.3673,1,0.8547,-1.1397,0.9375,0.8926,0.947,0.0829,0.0402
9,0,9,1.2123,1.9349,1,1.0241,-1.2556,0.9375,0.877,0.9651,0.0555,0.0488
10,0,25,1.2372,2.3959,1,1.2795,-0.9174,0.9375,0.8705,0.9816,0.0766,0.0578
11,0,50,0.9081,1.6382,2,1.6488,-2.0819,1.0,0.9598,0.9481,0.0573,0.0342
12,0,75,0.9556,1.8449,4,1.7932,-1.8533,0.9844,0.883,0.9664,0.0379,0.0582
13,0,100,1.1757,1.2822,1,1.5755,-1.0977,0.9375,0.8922,0.9649,0.0633,0.0505
14,0,125,1.3681,1.7261,1,0.6586,-0.8311,0.875,0.918,0.9713,0.039,0.0656
15,0,150,1.3718,0.7812,1,2.5078,0.0892,1.0,0.9335,0.9579,0.0492,0.0638
16,0,175,1.4057,1.5507,1,1.0279,-0.7108,0.8438,0.9123,0.9453,0.0433,0.0211
17,0,200,1.1727,2.0709,1,0.9668,-1.7731,0.9375,0.9148,0.9702,0.0681,0.0581
18,0,225,1.1021,1.3609,1,1.4118,-1.7072,1.0,0.8945,0.9665,0.043,0.0409
19,0,250,1.3769,2.4886,1,1.4483,-0.9058,0.875,0.9188,0.9696,0.0615,0.0767
20,0,275,1.1127,1.7077,1,1.7014,-1.1804,0.9531,0.9366,0.9799,0.0502,0.095
21,0,300,1.109,1.863,1,1.191,-1.6916,0.9844,0.9264,0.9608,0.0596,0.0379
22,0,325,1.3546,1.5586,1,1.2017,-1.1363,0.875,0.9304,0.9566,0.0713,0.0213
23,0,350,1.2762,1.4728,1,0.2151,-2.6567,1.0,0.93,0.9594,0.0452,0.0516
24,0,375,1.0168,1.3352,1,1.5634,-2.2766,0.9688,0.9154,0.9818,0.0666,0.0755
25,0,400,1.0804,1.1492,1,0.8544,-1.9369,0.9688,0.9314,0.9578,0.0434,0.0499
26,0,425,0.9548,1.7062,1,1.7769,-2.316,0.9688,0.8953,0.9749,0.0407,0.0422
27,0,450,1.4665,1.5778,1,1.325,-0.7587,0.8594,0.93,0.9613,0.0593,0.0629
28,0,475,0.9467,1.4094,2,1.6677,-1.5952,1.0,0.9509,0.9738,0.053,0.0374
29,0,500,1.0657,1.0699,1,1.7926,-1.2599,0.9688,0.9416,0.9665,0.0645,0.0383
30,0,525,1.4232,1.6667,1,0.6121,-1.2404,0.8125,0.9181,0.9631,0.0704,0.0317
31,0,550,1.1532,1.4287,3,0.7723,-1.3746,1.0,0.9159,0.9923,0.0485,0.0423
32,0,575,1.2153,1.2124,1,1.1941,-0.7314,0.9219,0.9267,0.9571,0.0496,0.0514
33,0,600,1.1778,1.7734,1,1.5126,-1.2404,0.9375,0.9241,0.9518,0.0531,0.0548
34,1,0,1.0693,1.3896,1,1.7068,-1.75,0.875,0.9391,0.9349,0.0472,0.0272
35,1,50,1.2183,1.7204,1,1.0128,-1.258,0.9531,0.9267,0.9551,0.061,0.03
36,1,100,1.5426,1.0773,1,0.8632,-0.0738,0.8125,0.896,0.9851,0.0302,0.0467
37,1,150,1.1179,1.3586,1,1.3195,-0.8291,0.9688,0.9384,0.9525,0.0567,0.0527
