case,vector_no,passed,group_name,eyes_corr,mouth_corr,pose_corr,sum_abs_corr
83,0,O,lhlh,-0.9284,-0.9006,-0.9126,2.7416
143,0,O,lhhh,-0.9227,-0.8882,-0.9167,2.7276
194,0,O,lllh,-0.936,-0.8836,-0.928,2.7476
214,0,O,llhl,-0.9274,-0.9094,-0.9106,2.7474
285,0,O,hlll,-0.9357,-0.8873,-0.8986,2.7216
483,0,O,hhll,-0.9428,-0.8933,-0.9426,2.7787
536,0,O,llhl,-0.9291,-0.8839,-0.8962,2.7092
679,0,O,lhll,-0.9366,-0.8844,-0.8955,2.7165
853,0,O,hhll,-0.9324,-0.8881,-0.8871,2.7076
895,0,O,hllh,-0.9357,-0.8971,-0.9147,2.7475
986,0,O,hhll,-0.9245,-0.9083,-0.9452,2.778
991,0,O,lllh,-0.927,-0.882,-0.9759,2.7849
1064,0,O,lhll,-0.9215,-0.8882,-0.9622,2.7719
1180,0,O,hhll,-0.9466,-0.9006,-0.8828,2.73
1313,0,O,hllh,-0.9304,-0.8805,-0.9467,2.7576
1535,0,O,hllh,-0.9568,-0.8864,-0.8884,2.7316
1750,0,O,hllh,-0.926,-0.8935,-0.9115,2.731
1792,0,O,lhhh,-0.9546,-0.8913,-0.9021,2.748
1996,0,O,hhlh,-0.9301,-0.8839,-0.8816,2.6956
