img_no,hair_color,hair_length,background_score,hairstyle
0,0.1604,0.9079,0.8666,-0.8988
1,0.0495,-0.7627,1.0461,0.2335
2,0.5995,0.5627,1.3493,-0.1404
3,0.2483,0.6916,1.1298,0.6019
4,0.4111,-0.398,1.2033,-0.3776
5,-0.3177,0.7423,0.2498,0.0189
6,0.4815,-1.2128,1.2079,1.1048
7,0.0573,0.6048,-1.3487,0.2756
8,-1.1221,0.1071,-0.0409,-0.5752
9,-0.4443,0.1302,0.398,-0.4661
10,-0.8914,0.4379,-0.0262,0.725
11,-0.5356,-0.4142,1.305,-0.2036
12,0.3993,0.5913,0.5937,0.0037
13,0.9667,0.7349,-1.1388,-0.8337
14,0.9711,0.8061,0.3099,0.1072
15,0.1463,0.8674,1.6283,-0.1997
16,-1.4068,0.46,1.3929,0.2776
17,-0.6794,0.1137,0.4975,0.1231
18,0.2298,0.7087,1.1333,0.591
19,-0.9954,1.0295,-0.6377,0.3259
20,-1.186,0.5571,0.7241,-0.1588
21,-1.0897,0.9237,1.5632,0.6055
22,-0.7864,0.4485,-0.6728,0.4916
23,0.7704,-2.1326,-1.056,1.8292
24,-0.7578,0.1155,0.9275,0.5045
25,-0.5844,0.7699,0.3976,0.4628
26,1.5237,0.6812,-1.5822,-0.8481
27,0.005,-0.0085,0.3602,0.4914
28,-0.5395,0.8016,1.1478,-1.0278
29,-0.8389,0.8105,1.1472,-0.7068
30,0.5856,0.9804,1.0557,-0.3346
31,-0.1472,0.1329,-1.6589,0.1262
32,0.6734,0.5739,1.0618,-0.6453
33,-0.2428,0.8647,-0.6229,1.4213
34,-1.3491,-0.4484,0.7199,1.0026
35,-0.5979,0.9924,1.1907,0.2399
36,-0.9051,0.2912,0.9783,0.5441
37,-1.0885,0.9499,1.2763,-0.4213
38,-0.9198,0.4548,0.8061,0.1284
39,-1.1031,1.2367,0.7604,-0.1415
40,-1.6277,-2.4027,-0.6268,0.825
41,-0.6451,1.5785,1.5095,-0.3236
42,-1.2515,-0.1467,0.9708,-1.1208
43,-0.4186,-2.1145,-1.5285,0.1238
44,0.5512,0.63,0.191,0.2478
45,0.8311,-0.429,1.1913,0.6838
46,1.4946,0.9585,-0.3991,0.1664
47,-1.1921,0.4495,1.2084,1.0208
48,-0.3663,0.7284,1.1693,-0.5887
49,-0.1959,0.5641,0.5643,-0.2259
50,0.2481,0.6936,0.9486,-0.3592
51,0.1803,0.5736,0.3836,-0.0327
52,-1.2737,0.8715,0.8889,-0.1571
53,-0.6889,0.4934,-1.2855,-0.6335
54,0.7591,0.8846,0.9689,-0.5936
55,-0.8934,0.5652,1.1869,0.7779
56,-1.0491,1.2416,0.3589,-0.094
57,-0.9034,0.0943,0.7626,0.2524
58,-0.1268,0.6437,0.3327,-0.3622
59,-0.9792,0.9009,0.1786,-0.3755
60,-1.1093,0.9287,1.3985,-0.6376
61,-1.1485,1.1374,0.8148,0.0285
62,0.5813,0.8478,0.9012,-0.9932
63,0.4807,0.7065,1.4663,-0.5334
64,-0.7327,0.1246,0.6771,-0.2532
65,-0.8115,-0.2657,-0.7636,1.5724
66,-0.7694,0.599,-0.075,0.3162
67,-0.9726,-0.5471,1.4063,0.2757
68,1.3806,0.7287,-1.6281,-0.5918
69,0.2788,0.4134,-1.6927,0.4578
70,-0.3457,0.7561,-0.3617,0.4671
71,-0.8458,1.1057,0.7403,-1.2017
72,1.6053,0.8859,1.4124,-1.1069
73,-0.9606,-0.2835,1.0518,0.5519
74,-0.7261,-1.0012,0.0066,0.4053
75,-0.7643,0.7202,-1.0329,-0.2584
76,0.1745,0.6754,-0.437,-0.0703
77,-0.876,0.9586,-0.0008,1.3572
78,1.2588,0.2887,-1.7856,0.2075
79,-0.7591,0.7662,0.7196,-0.1041
80,-0.4532,0.5388,-0.6108,-0.7851
81,-0.2313,-0.0108,-0.2455,1.088
82,-0.7461,0.9291,0.9912,0.4163
83,-0.4645,0.8557,-0.3701,-0.2829
84,0.007,-0.1861,-0.9939,0.2307
85,0.4943,0.8672,1.7029,-1.0039
86,0.0476,0.7939,0.8505,-0.0241
87,1.6051,0.8971,-1.7604,-1.1487
88,-0.7215,0.3678,0.9411,-0.0903
89,-1.1192,0.2923,0.9611,0.7176
90,-0.7848,-3.4074,0.4134,-0.0249
91,-1.1286,-1.2763,-1.7899,0.0212
92,-0.2119,-0.2348,1.6313,0.0368
93,0.4517,1.1311,-1.5469,0.0272
94,0.2978,1.0992,0.5483,-0.4402
95,-0.4492,1.3503,1.1852,-0.219
96,0.5016,-0.7978,-0.5375,0.8635
97,-0.3574,0.2512,-0.586,-0.2213
98,-0.7755,0.5055,1.5782,-0.2459
99,1.8347,0.8077,-1.6655,-0.4559
100,-0.7735,0.6816,0.815,0.7405
101,-0.6662,1.2986,0.966,0.2811
102,-1.2422,0.9088,-0.3163,-0.8916
103,1.3929,-1.9871,-0.3695,1.2675
104,-0.8395,1.3979,1.3373,-0.5573
105,-1.1311,0.2813,0.2247,-0.2369
106,-0.2792,0.0375,1.5121,-0.6911
107,-1.4256,0.617,0.1356,-0.9126
108,-0.6659,0.7488,1.2421,0.1601
109,-0.7758,1.0121,0.471,1.2754
110,-0.8065,0.6735,1.0118,0.2716
111,-0.9884,1.4176,-0.6958,0.8549
112,-0.2927,0.0205,1.182,0.026
113,-0.5361,0.717,0.3636,1.076
114,-1.2079,-1.6757,-1.8487,-0.1765
115,-0.0234,0.9306,-0.2212,-0.0767
116,0.575,0.6074,0.5821,0.4028
117,0.6898,-0.7254,0.7498,1.5241
118,0.0715,0.8978,1.142,0.0879
119,2.3258,0.4372,-1.231,-0.2578
120,-0.8196,0.4667,0.9854,-0.9782
121,-0.5845,1.7541,1.5184,-0.2051
122,0.6875,0.3873,-1.6679,0.1594
123,-0.4523,-0.6373,-0.5013,0.7076
124,-0.8157,1.0484,1.4604,-0.5275
125,-0.8093,0.3103,0.9122,-1.0417
126,1.3394,0.8162,1.2296,-0.4689
127,0.0909,0.4868,-1.3423,0.4487
128,-0.3191,0.5049,0.9857,-0.6284
129,-0.3913,1.006,1.4837,-0.7104
130,-0.0437,0.7302,0.9964,0.1398
131,-0.918,1.6226,0.6809,0.9039
132,1.1536,0.6427,-0.5954,-0.7016
133,-0.8185,0.6134,1.1412,-0.8186
134,-0.573,0.4866,1.1361,-0.6213
135,-1.1365,0.2824,1.6452,0.5771
136,0.1454,0.6427,-1.3576,1.6271
137,0.6805,0.9188,0.8617,-1.2156
138,-1.2377,0.3806,1.5489,-0.7478
139,-0.3539,0.795,-0.6715,-0.3704
140,1.2056,0.5898,1.07,-1.5051
141,1.4862,0.7361,-0.9335,-0.6311
142,0.583,0.6895,0.9952,0.2923
143,1.2368,-1.0727,1.6988,0.1135
144,-0.3269,0.4021,1.1342,-1.1214
145,-0.7543,0.37,0.0172,0.9414
146,-0.7282,0.6261,1.0366,-0.206
147,-0.7643,0.5751,0.5517,-0.4558
148,-1.0759,0.9914,0.7758,-0.1625
149,-0.9976,0.6013,0.2242,0.1807
150,0.083,1.2101,-1.6883,2.065
151,-0.6587,0.3036,1.2996,0.4295
152,-0.1305,-0.0535,0.8462,0.9001
153,-0.1334,-0.5604,-1.0597,1.0949
154,0.4875,0.9598,0.4577,-0.1108
155,-0.7368,0.1615,0.8534,0.1042
156,0.9511,0.686,0.8697,-0.473
157,1.004,-1.6093,1.03,0.3312
158,0.6055,0.854,-1.0958,-0.151
159,0.6875,0.617,1.1236,-0.4273
160,-0.3521,1.0423,1.4991,-0.4432
161,-0.9623,-0.9441,0.4463,0.9647
162,-1.2169,-0.7077,1.1494,1.6003
163,-0.678,0.7288,1.3829,-0.1113
164,0.6376,0.8604,-1.3502,0.0133
165,-1.0332,0.8731,0.9824,-0.5828
166,-1.0009,0.4332,0.9588,-0.6929
167,0.357,0.5026,-1.5221,1.7886
168,-0.8085,0.694,0.897,-0.0277
169,-1.127,0.9557,1.233,-0.5465
170,-0.9796,0.2382,1.5433,0.3706
171,1.0818,-1.9986,-0.0964,1.5118
172,-0.3045,0.8747,1.175,0.4376
173,-0.9364,0.8935,1.363,0.3301
174,1.7828,0.7847,-1.1459,-0.6333
175,1.5159,0.656,-1.4195,-1.1084
176,0.2025,-1.8215,0.2392,1.8998
177,-0.0909,-1.8839,-0.6172,1.5911
178,1.8939,0.7942,-1.9018,-0.3852
179,-0.8537,-2.9761,0.4133,-0.4004
180,1.54,0.6499,0.2013,-0.282
181,0.7884,0.6496,1.4828,-0.8736
182,-1.2364,-0.871,1.4275,1.9857
183,-0.7719,-0.6884,0.2539,0.4872
184,-1.1718,0.216,0.9484,-0.2826
185,-0.937,0.7625,0.4588,0.1876
186,-1.0121,0.4832,-0.3505,1.5937
187,0.6152,0.8334,1.4521,-0.9189
188,-0.9642,-0.0981,0.6358,0.9708
189,-1.2302,0.1487,0.8114,0.8598
190,-0.2933,0.3305,-1.4203,0.4265
191,-0.9889,0.3288,0.4297,-0.301
192,-1.0194,0.476,1.127,0.6614
193,0.6386,0.6307,0.8241,-1.593
194,-0.9425,-0.3091,1.3202,-0.1484
195,-0.7015,0.8441,1.2275,-0.5889
196,0.3091,0.6503,1.4255,-0.812
197,-1.1419,0.3699,1.0672,1.0478
198,-0.1068,0.6595,-1.2049,-0.1026
199,0.5824,-2.1047,-0.2162,0.3237
