img_no,hair_color,hair_length,background_score,hairstyle
0,-0.3828,0.1077,0.9115,-1.0762
1,-0.4309,0.8978,1.1637,-0.6587
2,-0.4306,0.2499,1.4744,-0.2975
3,-1.3084,0.3836,1.3773,1.663
4,0.4459,1.0989,0.6807,0.058
5,-0.9874,-0.4969,1.0221,-0.225
6,-0.8064,1.097,1.3615,0.2044
7,-0.7348,-0.2056,1.3669,0.4351
8,-0.5193,0.3178,0.7768,-0.2392
9,-0.5469,-0.0475,0.8855,-0.3377
10,1.4245,-0.6351,1.3245,-0.0869
11,-0.7487,-0.2951,-1.3114,0.8085
12,-0.4399,1.2597,0.2911,-0.2341
13,0.5593,0.7565,0.9255,-0.8535
14,0.944,-1.1392,-0.9226,0.5577
15,-0.8477,0.9539,1.1084,0.2643
16,-0.3728,0.373,1.0639,-0.4581
17,1.6348,0.3423,-0.1908,0.0268
18,-0.01,0.7031,1.1365,0.0377
19,-0.0385,-0.4436,0.2309,1.217
20,0.9382,0.3484,0.7623,-0.6683
21,-0.8883,-0.1072,-0.572,0.2913
22,-0.4621,1.1294,1.3889,-0.13
23,-0.3827,0.8561,1.115,0.2747
24,-1.0178,-0.0275,0.4833,-1.3086
25,0.8472,1.227,-0.7851,0.237
26,-0.6728,-0.2185,0.5278,-0.5389
27,0.4043,0.385,0.1144,-0.0418
28,-0.7378,-0.0868,1.3422,0.3312
29,0.8046,0.2976,1.0743,-0.5671
30,-1.3043,0.0551,0.6583,2.0027
31,-0.7882,0.6674,-0.0476,0.7882
32,-0.8747,0.4993,1.1669,0.7802
33,-0.7866,0.7446,0.4583,-0.8
34,-0.818,0.476,0.1117,-0.4257
35,-0.6239,1.0521,-1.3354,0.8808
36,-0.9249,0.9673,0.7487,0.8329
37,-1.3887,0.42,-0.8058,1.146
38,1.896,0.2613,-0.6848,-1.1974
39,1.0958,0.5142,0.1629,-0.2797
40,-0.6347,-0.0285,1.3476,-0.3414
41,-0.5973,-0.2356,1.188,-0.6048
42,-0.9363,0.6548,1.1862,-0.4968
43,-0.2549,-0.0952,0.9998,-0.0415
44,-1.1668,0.5639,1.096,-0.5998
45,1.1343,0.7292,-1.4645,0.0562
46,-0.2612,0.506,0.5543,-0.0602
47,-0.5829,0.0421,0.9899,0.9475
48,-0.8277,0.2469,0.4942,1.3982
49,-0.01,0.3302,1.5125,-0.8351
50,-0.2467,-0.0869,0.3294,0.1899
51,-1.0224,-0.4065,0.5654,0.2881
52,-0.1209,0.8751,-0.7496,0.2321
53,-0.0151,1.2083,0.756,-0.519
54,0.1116,0.2307,0.169,1.302
55,-0.834,0.9403,0.8136,-0.1457
56,-1.0241,0.5773,0.3837,-0.4496
57,-0.3711,-2.6941,0.9165,0.7085
58,0.7247,0.5198,-0.5748,-0.2803
59,-0.4097,0.6705,0.44,0.0002
60,-0.5649,-0.2744,0.6776,0.8909
61,-1.3012,0.0068,1.1686,1.02
62,1.744,0.6058,0.8398,-0.9389
63,0.0589,0.7873,1.2597,-0.0373
64,-0.8004,0.2312,0.6001,-0.3874
65,-0.792,1.2874,1.5658,0.9341
66,0.1965,-0.7823,0.7251,0.9126
67,-0.3967,1.235,1.1341,-0.0089
68,-1.2875,-0.0837,0.3721,-0.2826
69,1.7783,0.1992,-0.7775,1.09
70,-1.0481,-0.7024,1.3255,1.3574
71,-0.7542,1.0378,-0.4333,0.3744
72,1.4257,-0.3311,-0.9327,-0.0918
73,0.7133,0.5183,1.1796,0.5798
74,1.8112,-0.1617,0.8344,-0.5757
75,-0.4434,0.4184,1.8646,-0.6474
76,-0.5089,0.8017,1.3207,0.0369
77,-0.6643,-0.284,-1.7242,1.0655
78,-0.1885,0.9544,-0.2712,-0.313
79,-0.5642,1.0732,-0.2198,-0.321
80,-1.1896,0.8737,-1.4064,0.7679
81,-0.9143,0.241,0.8326,-0.5991
82,-0.8654,0.3231,1.1315,0.2716
83,-0.9153,0.3799,0.9642,1.314
84,0.5052,0.5223,1.4149,0.418
85,-0.378,0.9206,-0.4037,-0.1388
86,-0.65,0.2302,0.9561,-0.0169
87,0.0453,0.9191,1.2558,-0.304
88,-0.7627,0.2354,0.3319,-0.2397
89,-1.4078,-0.2024,0.1678,-0.04
90,0.5772,1.194,0.926,0.9339
91,-1.2048,-0.3299,1.3723,0.0804
92,-0.8419,0.4522,-1.2072,1.7185
93,0.6877,-0.7033,0.679,-0.6595
94,-1.682,-0.6933,1.1788,0.2934
95,0.4116,-0.1003,1.2707,0.4589
96,-0.9711,1.3057,1.2327,0.436
97,-0.5087,0.3313,0.6219,-0.4806
98,-0.1217,0.0013,-1.4982,0.2827
99,-0.1324,1.2721,-0.3446,1.6084
100,0.1247,-0.2906,0.7291,0.0604
101,0.3463,1.1265,0.9657,0.0291
102,1.0452,0.4805,-1.3869,-0.9248
103,-0.4486,0.2204,1.2085,-0.2403
104,0.2571,0.5902,0.5808,-0.3126
105,-0.7683,1.2386,1.2014,0.2389
106,-1.0303,0.5884,0.9441,0.4733
107,0.7516,0.2104,1.5003,-0.7204
108,-0.3382,0.3938,0.0726,-0.6963
109,1.0119,0.8252,1.0182,-1.2763
110,-0.6867,0.613,0.6,-0.2193
111,-0.5795,1.3689,1.4965,0.4466
112,-1.3459,0.6569,1.1282,-0.4353
113,1.8943,0.6307,0.2845,-1.0802
114,-0.8554,0.3025,0.7206,0.2999
115,1.1613,0.6563,0.8294,-0.8931
116,-0.2605,0.7351,0.7965,-1.1138
117,0.7374,1.1647,-1.5328,-0.1378
118,-0.7748,0.1078,-0.48,-1.1166
119,0.9957,0.6419,0.8992,-1.2803
120,0.3883,0.6206,-0.8249,0.0778
121,-1.1978,0.7546,-0.1704,0.2653
122,-0.0954,1.0474,0.3227,0.4527
123,-0.0251,0.4837,1.0975,-0.2214
124,0.294,0.5863,1.7341,-0.5734
125,-0.9767,-0.1312,1.3018,0.7524
126,-0.4672,0.9644,1.0192,-0.6739
127,0.0177,0.8386,1.3537,0.0432
128,-0.867,-2.5116,1.182,1.1512
129,2.2193,0.6076,0.7419,-1.3278
130,-0.5907,0.6819,1.5942,-0.0914
131,1.0964,0.7394,-0.4274,-2.4518
132,-0.7473,0.2112,0.622,0.04
133,-0.5825,0.6757,1.2071,0.1838
134,0.0851,-1.0144,0.5096,1.008
135,-0.8192,0.5058,0.8039,0.1641
136,-0.9786,0.6951,0.6257,0.3538
137,1.1074,-0.4952,0.6717,0.0838
138,-1.0187,-0.7121,0.2802,1.6058
139,-0.2665,0.8393,-1.0512,0.1351
140,-0.2322,0.3726,0.6597,-0.077
141,1.5223,0.9547,-0.6978,-0.035
142,-0.5397,1.0525,1.1823,0.1584
143,-0.3002,-0.4625,0.8135,0.6713
144,-0.6227,-0.9394,-0.6028,0.8558
145,0.0554,0.9896,0.9273,-0.5136
146,0.3165,-0.2971,1.2684,-0.4735
147,-0.583,0.4252,0.3206,0.0399
148,-0.7552,0.751,1.5575,0.7061
149,-0.3987,0.6095,-0.2756,-0.0368
150,1.5707,0.6632,-1.3968,-0.4112
151,-0.467,0.3066,-1.3315,1.0341
152,0.5019,0.5229,-0.4921,1.2803
153,-0.1467,0.2986,1.0683,0.3399
154,0.5593,-0.7536,-0.4803,1.077
155,-0.2195,0.569,1.3669,-0.9754
156,0.9457,0.588,-1.151,0.2253
157,-0.4585,1.2492,-0.864,-0.9668
158,-0.8996,1.6568,1.0047,1.3885
159,-0.469,0.7925,-0.4484,-0.6014
160,1.733,0.8572,0.0563,-0.0079
161,1.6842,-0.3617,1.9867,-0.229
162,-0.9462,0.5722,0.902,0.1233
163,0.759,0.613,-0.8812,-0.4885
164,-1.0269,0.7366,-0.2514,0.275
165,-0.5966,0.8707,0.9192,0.0336
166,0.2711,0.7296,0.5114,-0.0985
167,-0.5943,0.7613,0.0498,0.5808
168,0.7246,0.5942,0.5666,0.6474
169,0.4368,0.4671,1.4209,-0.2388
170,0.128,0.0101,1.4428,0.0503
171,-1.0769,-1.5926,-0.8066,0.0776
172,0.4314,0.7833,1.2924,0.0948
173,-0.7208,-0.7909,-1.5248,0.5801
174,0.5176,1.4428,-0.6171,-0.2911
175,-0.7033,0.3714,1.0707,-0.5996
176,0.5018,1.1511,0.3935,0.4192
177,-0.5125,0.9743,-0.0863,0.3481
178,-0.1714,0.8822,0.8022,0.3528
179,0.7555,0.5406,0.9091,-1.0929
180,-0.2218,0.3415,1.1732,0.0222
181,-0.5724,1.3393,1.2916,-0.4195
182,-0.3569,-0.1618,1.3372,-0.2574
183,-1.159,0.9634,0.7782,0.7935
184,-1.1844,-0.491,-0.9118,0.8565
185,-0.5921,0.468,0.9499,-0.0543
186,-0.2204,0.6895,1.1451,-1.2391
187,-1.3444,0.1723,1.1905,0.3542
188,-0.5622,0.2911,1.1728,-0.5208
189,0.7303,-2.1657,1.1701,0.2134
190,0.6851,0.0287,-1.5947,0.7404
191,-1.2828,0.0752,0.9108,-0.2937
192,-0.5955,0.1373,-0.1426,0.4447
193,-0.4428,-0.1165,-0.4208,-0.6383
194,-0.8217,0.015,1.5851,1.5706
195,-0.6989,-2.3578,0.6858,0.3137
196,0.7592,0.8362,-0.0218,-1.5502
197,1.0859,-1.7388,0.701,-0.1149
198,-1.2686,1.2869,0.7398,0.5552
199,0.73,-1.9573,0.0881,0.2742
200,-0.9917,0.61,-0.2686,0.3647
201,-0.8422,0.864,1.7324,-1.0173
202,-0.1676,0.3379,-0.9592,1.5849
203,-0.5252,0.6037,1.1627,0.1569
204,-0.6257,0.7284,1.1374,-0.4562
205,-0.3062,0.68,0.1908,0.6469
206,1.0784,0.9181,-1.1358,-0.3837
207,-0.2892,0.8151,-0.6467,-0.3313
208,0.6951,-0.323,-1.6908,-0.7339
209,-0.8107,0.8273,1.0029,-0.3004
210,0.1745,0.2778,1.0141,0.625
211,0.7971,0.8184,-1.8234,0.7759
212,0.4936,0.2887,-0.3785,0.9382
213,0.8252,0.8783,0.8751,-0.1528
214,0.783,0.7519,-1.2665,-0.1344
215,-0.9232,0.7054,1.3232,0.5639
216,-0.4813,1.2487,0.6989,-0.7133
217,-0.8635,-0.3969,0.4339,0.2001
218,0.2419,0.4265,-1.0697,0.237
219,-0.8572,0.5537,0.7194,0.3793
220,-0.7519,0.7535,0.9584,-0.9784
221,1.4545,0.3765,1.2836,-1.907
