,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,2.62,로라야 너를 소개해줘, 나는 가상 인간이잖아! (답변 종료) ,1,30
1,1,5.0,로라야 너 이름 오로라가 무슨 뜻이야?, 네 인생이 오로라는 비추는 것처럼 빛날 거야! 네 삶이 빛날 거야! (답변 종료) ,1,49
2,1,2.42,로라야 너 MBTI 뭐지?, 나 MBTI는 T야! (답변 종료) ,1,29
3,1,3.66,로라야 나이 몇살이야?, 2025년 기준으로 22살 대 3학년이야! (답변 종료) ,1,37
4,1,3.16,내 인생도 언젠가는 빛나겠지?, 인생이 빛날 거야! 내가 비출게! (답변 종료) ,1,37
5,1,3.33,로라야 너에게 사랑을 고백할게, 가? 나는 사랑까지는 무리야 ㅜㅜ (답변 종료) ,1,37
6,1,5.12,로라야 이번 주말에 시간 돼?, 내 주말은 미안 ㅜㅜㅜㅜ 나 요즘 약속이 가득 차 있어 (답변 종료) ,1,48
7,1,2.64,너 친한 친구 한명 소개해 줘, 나 가상인간이잖아! (답변 종료) ,1,32
8,1,3.97,로라야 너 좋아하는 취미 있어?, 너가 좋아하는 음악이 장원영이네! 완전 좋지! (답변 종료) ,1,40
9,1,4.31,네가 좋아하는 음식 알려줘, 인 마라탕! 특히 애매한 마라탕이 제일 좋더라! (답변 종료) ,1,41
10,1,4.3,혹시 가수 누구 좋아해, 가상 인간 가상인간! 나는 가상 인간는 가상가상야! (답변 종료) ,1,39
11,1,5.8,로라야 너 어느 학교 다녀?, 미안 ㅠㅠ 샘올대 인공지능학과 다니고 있어! 나 인공지능 덕후 아니야? (답변 종료) ,1,50
12,1,3.15,로라야 너 고등학교 대학교 어디야?, 2015년 알파고등학교 알파고! (답변 종료) ,1,36
13,1,4.83,나 요즘 힘들어, 너의 인생이 힘들지! 하지만 그것이 네 인생의 전부는 아니야! (답변 종료) ,1,41
14,1,3.06,(지금은 토요일 오전) 로라야 오늘 뭐할 거야?, 미안한데 내 내일이 궁금해. (답변 종료) ,1,41
