,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.06,2025-06-27 20:12:54,2.1309,12.2182,0.000296,0.5654
1,0.13,-,1.8656,13.0894,0.000293,0.6037
2,0.19,-,1.8125,12.524,0.000289,0.602
3,0.25,-,1.7479,9.9049,0.000285,0.615
4,0.32,-,1.7429,9.3012,0.000281,0.6329
5,0.38,-,1.7731,9.8044,0.000277,0.6149
6,0.44,-,1.6825,7.2145,0.000274,0.6307
7,0.51,-,1.7087,14.941,0.00027,0.6217
8,0.57,-,1.6525,9.2624,0.000266,0.6355
9,0.63,-,1.6399,9.2791,0.000262,0.6395
10,0.7,-,1.6369,7.898,0.000258,0.6475
11,0.76,-,1.4102,8.8161,0.000255,0.6621
12,0.82,-,1.4966,6.7087,0.000251,0.6562
13,0.89,-,1.5949,6.1262,0.000247,0.6376
14,0.95,-,1.5592,8.0745,0.000243,0.6538
15,1.01,2025-06-27 20:24:17,1.3263,6.3636,0.000239,0.6905
16,1.08,-,0.8222,5.6937,0.000236,0.7754
17,1.14,-,0.7536,6.8762,0.000232,0.8021
18,1.2,-,0.8234,4.073,0.000228,0.7948
19,1.27,-,0.8623,4.5159,0.000224,0.7848
20,1.33,-,0.8502,8.0056,0.00022,0.7844
21,1.39,-,0.8626,4.2366,0.000217,0.7749
22,1.46,-,0.8084,8.6728,0.000213,0.7866
23,1.52,-,0.8115,9.3852,0.000209,0.7912
24,1.58,-,0.8089,6.2876,0.000205,0.775
25,1.65,-,0.8884,7.2268,0.000201,0.7622
26,1.71,-,0.7163,6.9609,0.000198,0.8159
27,1.77,-,0.8208,5.7581,0.000194,0.7813
28,1.84,-,0.8865,8.0605,0.00019,0.7713
29,1.9,-,0.9004,13.5363,0.000186,0.7582
30,1.96,-,0.9017,6.3072,0.000182,0.7691
31,2.03,2025-06-27 20:36:56,0.5769,4.0786,0.000179,0.8468
32,2.09,-,0.3798,6.6069,0.000175,0.8986
33,2.15,-,0.4384,5.3678,0.000171,0.8724
34,2.22,-,0.3531,3.5964,0.000167,0.8911
35,2.28,-,0.4544,4.8403,0.000163,0.874
36,2.34,-,0.3929,4.0422,0.00016,0.891
37,2.41,-,0.4576,5.2018,0.000156,0.877
38,2.47,-,0.4138,3.7255,0.000152,0.8778
39,2.53,-,0.4159,4.2584,0.000148,0.871
40,2.59,-,0.4967,5.2869,0.000144,0.863
41,2.66,-,0.3881,3.3311,0.000141,0.8828
42,2.72,-,0.4394,4.8361,0.000137,0.8703
43,2.78,-,0.3593,4.8426,0.000133,0.889
44,2.85,-,0.4015,6.2339,0.000129,0.8842
45,2.91,-,0.403,4.6945,0.000126,0.8852
46,2.97,-,0.3927,6.4665,0.000122,0.885
47,3.04,2025-06-27 20:50:13,0.2257,3.5868,0.000118,0.9362
48,3.1,-,0.1865,4.208,0.000114,0.9427
49,3.16,-,0.1867,6.0205,0.00011,0.9414
50,3.23,-,0.1793,4.1438,0.000107,0.9422
51,3.29,-,0.21,3.1035,0.000103,0.9373
52,3.35,-,0.2038,4.9113,9.9e-05,0.9425
53,3.42,-,0.161,3.5281,9.5e-05,0.9485
54,3.48,-,0.2296,2.9773,9.1e-05,0.9401
55,3.54,-,0.2107,1.2869,8.8e-05,0.9397
56,3.61,-,0.2077,3.96,8.4e-05,0.939
57,3.67,-,0.2974,20.6755,8e-05,0.9312
58,3.73,-,0.212,3.4499,7.6e-05,0.9406
59,3.8,-,0.2225,0.7165,7.2e-05,0.9318
60,3.86,-,0.2132,1.7361,6.9e-05,0.9369
61,3.92,-,0.2228,6.2588,6.5e-05,0.9378
62,3.99,-,0.2218,2.3029,6.1e-05,0.9291
63,4.05,2025-06-27 21:03:38,0.1112,1.6302,5.7e-05,0.9684
64,4.11,-,0.1071,7.3672,5.3e-05,0.9678
65,4.18,-,0.0909,4.6685,5e-05,0.9725
66,4.24,-,0.1058,4.6968,4.6e-05,0.9739
67,4.3,-,0.1018,7.2449,4.2e-05,0.973
68,4.37,-,0.1239,0.5938,3.8e-05,0.9631
69,4.43,-,0.1183,2.2765,3.4e-05,0.9658
70,4.49,-,0.1046,0.4972,3.1e-05,0.9674
71,4.56,-,0.0975,2.0184,2.7e-05,0.9637
72,4.62,-,0.0811,2.0122,2.3e-05,0.9725
73,4.68,-,0.0724,0.2352,1.9e-05,0.9782
74,4.75,-,0.0996,1.6518,1.5e-05,0.9655
75,4.81,-,0.106,3.0214,1.2e-05,0.9687
76,4.87,-,0.129,0.5481,8e-06,0.9583
77,4.94,-,0.1124,3.6873,4e-06,0.9643
78,5.0,-,0.1041,2.961,0.0,0.9696
