input_part,output_answer,similarity
면접 시작 인사 -> 아 면접 보기 귀찮은데,BCE 가 좋은 task,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,"BCE 가 좋은 task, 이유",0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,LLM Fine-Tuning 의 PEFT,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,LoRA,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,LoRA 와 QLoRA 의 차이,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,Loss Function 예시,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,Loss Function 정의,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,MBTI,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,MSE Loss 설명,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,MSE Loss 용도,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,Multi-Label 에서 CE + Softmax 적용 문제점,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,PEFT 방법 5가지,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,거대 언어 모델 정의,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,기본 경험,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,답변 실패,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,딥러닝,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,마지막 할 말,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,머신러닝,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,면접 시작 인사,1.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,상세 경험,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,수식,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,용어 질문,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,인공지능,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,잠시 휴식,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,좋아하는 아이돌,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,핵심 아이디어,0.0
면접 시작 인사 -> 아 면접 보기 귀찮은데,확률 예측에서 MSE Loss 미 사용 이유,0.0
면접 시작 인사 -> 안녕 반가워,BCE 가 좋은 task,0.0
면접 시작 인사 -> 안녕 반가워,"BCE 가 좋은 task, 이유",0.0
면접 시작 인사 -> 안녕 반가워,LLM Fine-Tuning 의 PEFT,0.0
면접 시작 인사 -> 안녕 반가워,LoRA,0.0
면접 시작 인사 -> 안녕 반가워,LoRA 와 QLoRA 의 차이,0.0
면접 시작 인사 -> 안녕 반가워,Loss Function 예시,0.0
면접 시작 인사 -> 안녕 반가워,Loss Function 정의,0.0
면접 시작 인사 -> 안녕 반가워,MBTI,0.0
면접 시작 인사 -> 안녕 반가워,MSE Loss 설명,0.0
면접 시작 인사 -> 안녕 반가워,MSE Loss 용도,0.0
면접 시작 인사 -> 안녕 반가워,Multi-Label 에서 CE + Softmax 적용 문제점,0.0
면접 시작 인사 -> 안녕 반가워,PEFT 방법 5가지,0.0
면접 시작 인사 -> 안녕 반가워,거대 언어 모델 정의,0.0
면접 시작 인사 -> 안녕 반가워,기본 경험,0.0
면접 시작 인사 -> 안녕 반가워,답변 실패,0.0
면접 시작 인사 -> 안녕 반가워,딥러닝,0.0
면접 시작 인사 -> 안녕 반가워,마지막 할 말,0.0
면접 시작 인사 -> 안녕 반가워,머신러닝,0.0
면접 시작 인사 -> 안녕 반가워,면접 시작 인사,1.0
면접 시작 인사 -> 안녕 반가워,상세 경험,0.0
면접 시작 인사 -> 안녕 반가워,수식,0.0
면접 시작 인사 -> 안녕 반가워,용어 질문,0.0
면접 시작 인사 -> 안녕 반가워,인공지능,0.0
면접 시작 인사 -> 안녕 반가워,잠시 휴식,0.0
면접 시작 인사 -> 안녕 반가워,좋아하는 아이돌,0.0
면접 시작 인사 -> 안녕 반가워,핵심 아이디어,0.0
면접 시작 인사 -> 안녕 반가워,확률 예측에서 MSE Loss 미 사용 이유,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,BCE 가 좋은 task,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,"BCE 가 좋은 task, 이유",0.0
면접 시작 인사 -> 뭐 물어볼 거야?,LLM Fine-Tuning 의 PEFT,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,LoRA,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,LoRA 와 QLoRA 의 차이,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,Loss Function 예시,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,Loss Function 정의,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,MBTI,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,MSE Loss 설명,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,MSE Loss 용도,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,Multi-Label 에서 CE + Softmax 적용 문제점,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,PEFT 방법 5가지,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,거대 언어 모델 정의,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,기본 경험,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,답변 실패,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,딥러닝,0.0
면접 시작 인사 -> 뭐 물어볼 거야?,마지막 할 말,0.0
