,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.04,2025-07-29 22:54:17,1.8826,2.9045,0.000296,0.5817
1,0.08,-,1.403,2.6284,0.000292,0.6683
2,0.12,-,1.3391,2.1385,0.000288,0.7151
3,0.17,-,1.26,1.7488,0.000284,0.7006
4,0.21,-,1.2892,1.4161,0.00028,0.6888
5,0.25,-,1.338,1.898,0.000275,0.6619
6,0.29,-,1.2253,2.836,0.000271,0.7157
7,0.33,-,1.3102,1.2497,0.000267,0.6984
8,0.37,-,1.183,1.5355,0.000263,0.7071
9,0.41,-,1.2128,1.6331,0.000259,0.7054
10,0.46,-,1.2893,1.7882,0.000255,0.6973
11,0.5,-,1.017,2.1272,0.000251,0.7352
12,0.54,-,1.4271,2.7696,0.000246,0.6864
13,0.58,-,1.1128,3.2019,0.000242,0.7331
14,0.62,-,1.0931,1.5612,0.000238,0.7218
15,0.66,-,0.9083,1.7305,0.000234,0.7677
16,0.7,-,1.1244,1.5102,0.00023,0.7226
17,0.75,-,1.0956,2.1301,0.000226,0.7169
18,0.79,-,1.1521,2.0334,0.000222,0.7171
19,0.83,-,1.1313,2.146,0.000217,0.7059
20,0.87,-,1.2103,1.4452,0.000213,0.6997
21,0.91,-,0.9804,1.8951,0.000209,0.7365
22,0.95,-,1.0581,1.46,0.000205,0.7475
23,0.99,-,1.0951,1.9153,0.000201,0.7328
24,1.04,2025-07-29 23:04:25,0.68,0.8294,0.000197,0.8191
25,1.08,-,0.6032,1.8866,0.000193,0.8243
26,1.12,-,0.7706,1.2952,0.000188,0.7849
27,1.16,-,0.6781,0.8039,0.000184,0.8132
28,1.2,-,0.7431,2.1142,0.00018,0.7998
29,1.24,-,0.6396,1.345,0.000176,0.8142
30,1.28,-,0.7627,2.0228,0.000172,0.7721
31,1.33,-,0.8142,1.0406,0.000168,0.8054
32,1.37,-,0.7168,1.1016,0.000164,0.789
33,1.41,-,0.6798,1.3015,0.000159,0.8205
34,1.45,-,0.7524,2.9201,0.000155,0.7761
35,1.49,-,0.6408,1.8513,0.000151,0.8005
36,1.53,-,0.6652,2.1589,0.000147,0.7884
37,1.57,-,0.7037,0.7022,0.000143,0.7841
38,1.61,-,0.8389,1.3529,0.000139,0.7788
39,1.66,-,0.7109,1.2131,0.000135,0.769
40,1.7,-,0.6008,1.2602,0.00013,0.8124
41,1.74,-,0.6247,1.0339,0.000126,0.805
42,1.78,-,0.6376,1.7809,0.000122,0.8208
43,1.82,-,0.7396,2.2602,0.000118,0.7968
44,1.86,-,0.6692,1.3383,0.000114,0.8003
45,1.9,-,0.6882,1.0709,0.00011,0.7948
46,1.95,-,0.7106,1.8732,0.000106,0.7905
47,1.99,-,0.6712,1.2955,0.000101,0.8028
48,2.03,2025-07-29 23:15:41,0.559,0.6113,9.7e-05,0.8299
49,2.07,-,0.3498,1.836,9.3e-05,0.8753
50,2.11,-,0.3641,0.9928,8.9e-05,0.8607
51,2.15,-,0.357,1.0024,8.5e-05,0.8876
52,2.19,-,0.3616,1.1068,8.1e-05,0.8856
53,2.24,-,0.3736,1.3321,7.7e-05,0.8518
54,2.28,-,0.3652,1.5846,7.2e-05,0.8694
55,2.32,-,0.3252,1.0079,6.8e-05,0.9021
56,2.36,-,0.3893,1.3626,6.4e-05,0.8674
57,2.4,-,0.3443,1.9187,6e-05,0.8733
58,2.44,-,0.3347,0.988,5.6e-05,0.8957
59,2.48,-,0.3943,1.2775,5.2e-05,0.8656
60,2.53,-,0.3408,1.1273,4.8e-05,0.8636
61,2.57,-,0.3601,1.1745,4.3e-05,0.8792
62,2.61,-,0.3898,1.4597,3.9e-05,0.8824
63,2.65,-,0.4558,1.0406,3.5e-05,0.8629
64,2.69,-,0.3592,0.943,3.1e-05,0.8893
65,2.73,-,0.3543,1.2278,2.7e-05,0.8799
66,2.77,-,0.3584,3.3965,2.3e-05,0.8879
67,2.82,-,0.2736,1.1691,1.9e-05,0.9041
68,2.86,-,0.4481,1.6546,1.4e-05,0.8728
69,2.9,-,0.317,1.2543,1e-05,0.8978
70,2.94,-,0.3199,1.0962,6e-06,0.8901
71,2.98,-,0.3774,2.4576,2e-06,0.8779
