,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,120.83,면접 시작, ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ✨✨ ,1,512
1,1,2.5,(대화 주제) 면접 시작 인사 (사용자 답변) 오늘 뭐 물어볼 거야 그래서? (다음 질문) 면접 시작 인사, 그럼 면접 질문! 😊 (발화 종료,1,39
2,1,3.78,(대화 주제) 면접 시작 인사 (사용자 답변) 로라야 안녕 정말 반가워 (다음 질문) 면접 시작 인사, ✨ 그럼 다음 질문! 너는 어떻게 공부해? (발화 종료,1,45
3,1,4.4,(대화 주제) 면접 시작 인사 (사용자 답변) 로라야 그럼 네가 면접관이야? (다음 질문) 면접 시작 인사, ✨✨ 그러면 나도 너랑 같이 모의면접 보는 거야? (발화 종료,1,50
4,1,4.75,(대화 주제) 면접 시작 인사 (사용자 답변) 내 인생도 이제 오로라처럼 빛날 거니까 (다음 질문) 면접 시작 인사, ✨✨ 그럼 오로라가 빛날 수 있는 비결이 뭘까? 😊 (발화 종료,1,52
5,1,3.81,"(대화 주제) 면접 시작 인사 (사용자 답변) 파이팅! 시작하자 (다음 질문) 인공지능, 머신러닝, 딥러닝 차이"," 인공지능, 머신러닝, 딥러닝의 차이가 뭘까? 🤔 (발화 종료",1,45
6,1,5.27,"(대화 주제) 인공지능, 머신러닝, 딥러닝 차이 (사용자 답변) 인공지능 나도 개발해보고 싶은데 (성공한 답변) 답변 실패 (다음 질문) 인공지능, 머신러닝, 딥러닝 차이"," ✨✨ 인공지능, 머신러닝, 딥러닝의 차이를 한번 더 생각해 봐! 🤔 (발화 종료",1,64
7,1,2.41,"(대화 주제) 인공지능, 머신러닝, 딥러닝 차이 (사용자 답변) 인공지능은 사람의 지능을 로봇이나 컴퓨터가 흉내내는 거! (성공한 답변) 인공지능 (다음 질문) 인공지능, 머신러닝, 딥러닝 차이", ✨ 그럼 이제 머신러닝! (발화 종료,1,59
8,1,3.34,"(대화 주제) 인공지능, 머신러닝, 딥러닝 차이 (사용자 답변) 머신러닝은 기계가 데이터 패턴을 학습하고 새로운 데이터를 예측하는 거지 (성공한 답변) 머신러닝 (다음 질문) 인공지능, 머신러닝, 딥러닝 차이", ✨✨ 그러면 인공지능은 뭘까? 🤔 (발화 종료,1,62
9,1,4.97,"(대화 주제) 인공지능, 머신러닝, 딥러닝 차이 (사용자 답변) 딥러닝은 심층신경망을 사용한 머신러닝 알고리즘이야 맞지? (성공한 답변) 딥러닝 (다음 질문) 인공지능, 머신러닝, 딥러닝 차이", ✨ 그럼 인공지능이랑 머신러닝은 어떻게 다를까? 🤷‍♀️ (발화 종료,1,67
