,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.08,2025-07-28 18:10:33,1.7798,3.2989,0.000298,0.6104
1,0.16,-,1.4344,2.337,0.000295,0.6764
2,0.24,-,1.3479,2.3006,0.000293,0.7028
3,0.32,-,1.5114,2.5785,0.00029,0.6637
4,0.4,-,1.2499,3.1876,0.000288,0.6907
5,0.48,-,1.2969,1.8119,0.000286,0.6844
6,0.56,-,1.2625,1.899,0.000283,0.6866
7,0.65,-,1.2723,1.8258,0.000281,0.7102
8,0.73,-,1.29,2.6519,0.000278,0.6908
9,0.81,-,1.2245,1.5733,0.000276,0.7105
10,0.89,-,1.1662,1.1342,0.000274,0.7122
11,0.97,-,1.1444,1.3086,0.000271,0.6982
12,1.05,2025-07-28 18:19:18,0.8989,1.0963,0.000269,0.7638
13,1.13,-,0.8672,2.2876,0.000266,0.7617
14,1.21,-,0.8455,1.4123,0.000264,0.7605
15,1.29,-,0.7033,1.2675,0.000261,0.7869
16,1.37,-,0.7038,1.3345,0.000259,0.7884
17,1.45,-,0.7853,1.9628,0.000257,0.7817
18,1.53,-,0.6777,1.782,0.000254,0.7962
19,1.61,-,0.8017,1.3076,0.000252,0.8047
20,1.69,-,0.8232,1.3366,0.000249,0.7713
21,1.77,-,0.8694,2.6215,0.000247,0.7779
22,1.85,-,0.8285,1.3456,0.000244,0.7817
23,1.94,-,0.8064,1.2786,0.000242,0.779
24,2.02,2025-07-28 18:28:25,0.6975,1.545,0.00024,0.7991
25,2.1,-,0.415,2.0942,0.000237,0.8721
26,2.18,-,0.4368,0.8567,0.000235,0.8717
27,2.26,-,0.5255,1.0148,0.000232,0.8433
28,2.34,-,0.4712,1.4365,0.00023,0.8601
29,2.42,-,0.4989,2.3414,0.000228,0.8492
30,2.5,-,0.5007,1.5813,0.000225,0.8447
31,2.58,-,0.549,1.6218,0.000223,0.8207
32,2.66,-,0.5525,1.2548,0.00022,0.8283
33,2.74,-,0.4933,2.6273,0.000218,0.8468
34,2.82,-,0.4436,1.2745,0.000215,0.8707
35,2.9,-,0.4456,1.3773,0.000213,0.869
36,2.98,-,0.4789,1.8859,0.000211,0.8609
37,3.06,2025-07-28 18:37:06,0.3072,2.6277,0.000208,0.8923
38,3.15,-,0.3701,1.4726,0.000206,0.8908
39,3.23,-,0.2872,1.2417,0.000203,0.902
40,3.31,-,0.3035,2.1013,0.000201,0.9184
41,3.39,-,0.3172,0.3345,0.000199,0.9068
42,3.47,-,0.2519,1.0614,0.000196,0.9141
43,3.55,-,0.4069,0.7922,0.000194,0.8641
44,3.63,-,0.3257,0.7159,0.000191,0.9005
45,3.71,-,0.2939,0.8713,0.000189,0.9103
46,3.79,-,0.2501,7.2283,0.000186,0.9194
47,3.87,-,0.4004,0.7161,0.000184,0.8883
48,3.95,-,0.2697,1.3019,0.000182,0.9196
49,4.03,2025-07-28 18:47:15,0.2679,0.8847,0.000179,0.9038
50,4.11,-,0.1734,0.6426,0.000177,0.9384
51,4.19,-,0.1886,0.7406,0.000174,0.9363
52,4.27,-,0.2097,1.6318,0.000172,0.9323
53,4.35,-,0.1817,2.0539,0.000169,0.9442
54,4.44,-,0.2003,0.8988,0.000167,0.9311
55,4.52,-,0.205,1.8943,0.000165,0.9337
56,4.6,-,0.1518,0.5636,0.000162,0.9539
57,4.68,-,0.1714,0.5496,0.00016,0.9473
58,4.76,-,0.2057,1.0437,0.000157,0.9277
59,4.84,-,0.1878,1.8323,0.000155,0.932
60,4.92,-,0.1955,0.6935,0.000153,0.943
61,5.0,-,0.2323,0.6413,0.00015,0.9116
62,5.08,2025-07-28 18:56:23,0.0828,0.703,0.000148,0.9715
63,5.16,-,0.0682,0.4499,0.000145,0.981
64,5.24,-,0.0687,0.5411,0.000143,0.9746
65,5.32,-,0.1102,0.7689,0.00014,0.9682
66,5.4,-,0.1085,0.4969,0.000138,0.9674
67,5.48,-,0.1275,0.8562,0.000136,0.9536
68,5.56,-,0.1452,5.6801,0.000133,0.9533
69,5.65,-,0.0523,0.4859,0.000131,0.9806
70,5.73,-,0.0685,0.4448,0.000128,0.9707
71,5.81,-,0.1162,0.2325,0.000126,0.9541
72,5.89,-,0.1079,0.8058,0.000124,0.9589
73,5.97,-,0.0882,1.2805,0.000121,0.9683
74,6.05,2025-07-28 19:05:06,0.0579,0.007,0.000119,0.9777
75,6.13,-,0.0287,0.2937,0.000116,0.9883
76,6.21,-,0.0304,0.0154,0.000114,0.9918
77,6.29,-,0.0437,0.0474,0.000111,0.9918
78,6.37,-,0.0609,3.0781,0.000109,0.9778
79,6.45,-,0.035,0.3932,0.000107,0.9823
80,6.53,-,0.0687,1.7601,0.000104,0.98
