,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.08,2025-07-29 00:01:13,2.3263,1.9028,0.000292,0.5511
1,0.16,-,1.8498,1.2886,0.000284,0.6348
2,0.24,-,1.6854,1.8077,0.000276,0.625
3,0.32,-,1.579,2.5674,0.000268,0.6328
4,0.4,-,1.5507,1.5972,0.00026,0.6623
5,0.48,-,1.718,1.247,0.000252,0.6222
6,0.56,-,1.6617,1.4983,0.000244,0.6455
7,0.65,-,1.6704,2.1906,0.000236,0.6614
8,0.73,-,1.716,1.3643,0.000228,0.6307
9,0.81,-,1.4535,2.0715,0.00022,0.675
10,0.89,-,1.7331,1.525,0.000212,0.6282
11,0.97,-,1.573,1.8009,0.000204,0.6568
12,1.05,2025-07-29 00:10:17,1.0507,1.0719,0.000196,0.738
13,1.13,-,0.8806,0.7704,0.000187,0.764
14,1.21,-,1.0412,2.7898,0.000179,0.7272
15,1.29,-,0.9117,1.6986,0.000171,0.7435
16,1.37,-,0.9793,1.2893,0.000163,0.7375
17,1.45,-,1.0251,1.0215,0.000155,0.7478
18,1.53,-,0.999,1.7296,0.000147,0.7313
19,1.61,-,1.063,0.9962,0.000139,0.7428
20,1.69,-,0.8648,1.2997,0.000131,0.7589
21,1.77,-,0.8096,1.876,0.000123,0.7834
22,1.85,-,1.1726,1.3786,0.000115,0.7321
23,1.94,-,1.1247,1.053,0.000107,0.7291
24,2.02,2025-07-29 00:20:15,0.7946,1.4407,9.9e-05,0.7937
25,2.1,-,0.5585,2.0634,9.1e-05,0.8245
26,2.18,-,0.5139,0.8265,8.3e-05,0.8225
27,2.26,-,0.5142,0.9829,7.5e-05,0.8524
28,2.34,-,0.4605,1.106,6.7e-05,0.8529
29,2.42,-,0.5106,2.0404,5.8e-05,0.87
30,2.5,-,0.4492,1.1951,5e-05,0.8693
31,2.58,-,0.5932,2.7168,4.2e-05,0.8233
32,2.66,-,0.486,0.9654,3.4e-05,0.8625
33,2.74,-,0.5152,0.8735,2.6e-05,0.8628
34,2.82,-,0.4635,0.8736,1.8e-05,0.8608
35,2.9,-,0.4835,0.785,1e-05,0.8552
36,2.98,-,0.3937,1.6048,2e-06,0.8558
