,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.06,2025-07-02 22:32:16,2.0384,1.7964,0.000296,0.5832
1,0.13,-,1.7049,2.1411,0.000293,0.6277
2,0.19,-,1.6756,1.9417,0.000289,0.6194
3,0.25,-,1.624,2.1257,0.000285,0.6447
4,0.32,-,1.608,1.3626,0.000281,0.6454
5,0.38,-,1.5566,1.7699,0.000277,0.6468
6,0.44,-,1.5588,1.4146,0.000274,0.6722
7,0.51,-,1.4333,1.9581,0.00027,0.6695
8,0.57,-,1.4666,1.8646,0.000266,0.6596
9,0.63,-,1.4955,1.553,0.000262,0.6678
10,0.7,-,1.4733,3.2513,0.000258,0.6636
11,0.76,-,1.3685,1.6393,0.000255,0.6702
12,0.82,-,1.5373,2.5099,0.000251,0.6483
13,0.89,-,1.4167,1.5915,0.000247,0.685
14,0.95,-,1.4892,1.9157,0.000243,0.6681
15,1.01,2025-07-02 22:45:40,1.2933,1.1779,0.000239,0.6889
16,1.08,-,0.8579,1.5183,0.000236,0.7833
17,1.14,-,0.7564,1.6296,0.000232,0.8079
18,1.2,-,0.8281,1.7135,0.000228,0.7805
19,1.27,-,0.8309,1.4271,0.000224,0.7819
20,1.33,-,0.8306,1.9847,0.00022,0.7853
21,1.39,-,0.8207,1.5415,0.000217,0.7862
22,1.46,-,0.9449,1.9449,0.000213,0.7519
23,1.52,-,0.7386,2.211,0.000209,0.7938
24,1.58,-,0.869,1.4923,0.000205,0.7698
25,1.65,-,0.8038,1.3454,0.000201,0.7799
26,1.71,-,0.841,1.8225,0.000198,0.776
27,1.77,-,0.7799,1.4541,0.000194,0.7898
28,1.84,-,0.8751,1.5855,0.00019,0.7767
29,1.9,-,0.8498,1.5285,0.000186,0.7787
30,1.96,-,0.8147,1.5602,0.000182,0.7771
31,2.03,2025-07-02 22:58:05,0.7118,2.5308,0.000179,0.8211
32,2.09,-,0.3996,5.5945,0.000175,0.8746
33,2.15,-,0.3838,0.8221,0.000171,0.8853
34,2.22,-,0.4267,1.1711,0.000167,0.8719
35,2.28,-,0.4394,0.9685,0.000163,0.8806
36,2.34,-,0.3775,1.71,0.00016,0.8928
37,2.41,-,0.4202,0.8385,0.000156,0.8856
38,2.47,-,0.4306,1.6421,0.000152,0.8723
39,2.53,-,0.3693,1.293,0.000148,0.8947
40,2.59,-,0.4316,1.2436,0.000144,0.8868
41,2.66,-,0.3412,1.4707,0.000141,0.8978
42,2.72,-,0.4115,1.6721,0.000137,0.8814
43,2.78,-,0.4084,1.2419,0.000133,0.8805
44,2.85,-,0.4269,4.6539,0.000129,0.8663
45,2.91,-,0.4601,1.6718,0.000126,0.8587
46,2.97,-,0.3363,1.9158,0.000122,0.8957
47,3.04,2025-07-02 23:11:14,0.2909,0.7908,0.000118,0.9185
48,3.1,-,0.1867,0.9308,0.000114,0.9436
49,3.16,-,0.2135,1.7512,0.00011,0.9409
50,3.23,-,0.1913,1.3819,0.000107,0.9447
51,3.29,-,0.1846,0.702,0.000103,0.9493
52,3.35,-,0.1388,0.5425,9.9e-05,0.9521
53,3.42,-,0.204,1.2515,9.5e-05,0.9441
54,3.48,-,0.1809,0.8741,9.1e-05,0.9448
55,3.54,-,0.204,1.0668,8.8e-05,0.9353
56,3.61,-,0.2023,1.5062,8.4e-05,0.9377
57,3.67,-,0.187,0.9016,8e-05,0.937
58,3.73,-,0.183,1.3191,7.6e-05,0.9414
59,3.8,-,0.1831,0.8574,7.2e-05,0.9445
60,3.86,-,0.1716,0.9378,6.9e-05,0.9369
61,3.92,-,0.1967,1.0014,6.5e-05,0.94
62,3.99,-,0.1781,1.1107,6.1e-05,0.9414
63,4.05,2025-07-02 23:24:35,0.0893,0.4127,5.7e-05,0.9715
64,4.11,-,0.1217,1.0954,5.3e-05,0.9688
65,4.18,-,0.0969,0.5827,5e-05,0.9708
66,4.24,-,0.0859,1.4541,4.6e-05,0.9774
67,4.3,-,0.0789,0.3537,4.2e-05,0.975
68,4.37,-,0.0853,0.6869,3.8e-05,0.9743
69,4.43,-,0.0856,0.5144,3.4e-05,0.9701
70,4.49,-,0.1059,1.8053,3.1e-05,0.966
71,4.56,-,0.1037,0.4267,2.7e-05,0.9689
72,4.62,-,0.0741,0.378,2.3e-05,0.9807
73,4.68,-,0.0955,0.5627,1.9e-05,0.9701
74,4.75,-,0.08,0.331,1.5e-05,0.9754
75,4.81,-,0.0922,0.942,1.2e-05,0.9722
76,4.87,-,0.0992,1.0933,8e-06,0.9674
77,4.94,-,0.0764,0.4755,4e-06,0.9729
78,5.0,-,0.063,0.5461,0.0,0.9764
