,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,8.59,(제공된 정보) cosine similarity (코사인 유사도) : 두 벡터의 방향 유사도를 -1.0 ~ +1.0 으로 나타냄 | 핵심 아이디어: 벡터 크기 대신 방향을 봄 (사용자 질문) 코사인 유사도가 뭔지 궁금해," 코사인 유사도는 벡터의 크기가 중요한 게 아니라 방향이 중요하니까, 두 벡터 사이의 각도를 구해서 0 ~ 1 사이의 값을 구하면 돼! (답변 종료",1,134
1,1,8.64,(제공된 정보) cosine similarity (코사인 유사도) : 두 벡터의 방향 유사도를 -1.0 ~ +1.0 으로 나타냄 | 핵심 아이디어: 벡터 크기 대신 방향을 봄 (사용자 질문) Cosine Similarity 에 대해 알려줘!," 코사인 유사도는 두 벡터의 크기는 중요하지 않고, 벡터의 방향이 비슷한지를 -1.0, +1.0 사이의 값으로 나타내는 거야! (답변 종료",1,135
2,1,5.37,(제공된 정보) cosine similarity (코사인 유사도) 계산법 : 원소 개수가 같은 2개의 벡터의 각도의 코사인 값 (사용자 질문) Cosine Similarity 는 어떻게 계산하지?, Cosine Similarity 는 원소 개수가 같은 2개의 벡터의 각도의 코사인 값으로 계산하지! (답변 종료,1,93
3,1,7.64,"(제공된 정보) cosine similarity (코사인 유사도) 특징 : 방향 일치하면 +1.0, 수직이면 0.0, 반대 방향이면 -1.0 (사용자 질문) 코사인 유사도 특징이 뭐야?"," 코사인 유사도는 방향이 같으면 +1.0, 수직이면 0.0, 반대 방향이면 -1.0 값으로 나타내지! (답변 종료",1,119
4,1,8.54,"(제공된 정보) 머신러닝 모델 성능 평가 지표 : Accuracy (정확도), Recall, Precision, F1 Score (사용자 질문) 머신러닝 모델 평가하는 방법 알려줘", 모델의 성능을 평가하려면 먼저 Accuracy (정확도) 라는 게 있는데 그건 모델이 예측한 것과 실제 값이 다르지 않은 경우의 비율을 나타내지! 😊😊 (답변 종료,1,106
5,1,4.27,(제공된 정보) Accuracy (정확도) : 모델이 얼마나 잘 맞혔는지를 평가하는 정확도 | 수식: (True Positive + True Negative) / (전체 테스트 데이터 개수) (사용자 질문) Accuracy 계산 어떻게 하지?, 정확도는 True Positive + True Negative / 전체 테스트 데이터 개수로 계산하면 돼! (답변 종료,1,92
6,1,4.86,(제공된 정보) True Positive (TP) : 모델 예측이 참이면서 실제로도 참인 데이터 개수 (사용자 질문) True Positive 가 뭐야?, True Positive (TP) 는 모델이 참으로 예측했으면서 실제로도 참인 데이터 개수 야! (답변 종료,1,75
7,1,5.19,(제공된 정보) True Negative (TN) : 모델 예측이 거짓이면서 실제로도 거짓인 데이터 개수 (사용자 질문) True Negative 는 뭔지 궁금해 그럼, True Negative (TN) 은 모델이 거짓으로 예측했으면서 실제로도 거짓인 데이터 개수이지! (답변 종료,1,83
8,1,4.7,(제공된 정보) False Positive (FP) : 모델 예측이 참이지만 실제로는 거짓인 데이터 개수 (사용자 질문) False Positive 알려줘, False Positive (FP) 은 모델이 참으로 예측했지만 실제로는 거짓인 데이터를 의미하지! (답변 종료,1,73
9,1,4.53,(제공된 정보) False Negative (FN) : 모델 예측이 거짓이지만 실제로는 참인 데이터 개수 (사용자 질문) False Negative (FN), False Negative (FN) 은 모델 예측은 거짓이지만 실제로는 참인 데이터 개수지! (답변 종료,1,72
10,1,4.92,(제공된 정보) Recall (재현율) : 실제로 참인 것을 모델이 얼마나 찾았는지의 비율 | 수식: (True Positive) / (True Positive + False Negative) (사용자 질문) Recall 계산법 어떻게 하는 거지?, Recall (재현율)은 (True Positive) / (True Positive + False Negative) 로 계산하면 돼! (답변 종료,1,95
11,1,4.05,(제공된 정보) Recall (재현율) : 실제로 참인 것을 모델이 얼마나 찾았는지의 비율 | 수식: (True Positive) / (True Positive + False Negative) (사용자 질문) Recall 이 뭐야?, Recall 은 실제로 참인 것을 모델이 얼마나 많이 찾았는지의 비율이야! (답변 종료,1,86
12,1,3.95,(제공된 정보) Precision (정밀도) : 모델이 참으로 예측한 것 중 실제 참인 것의 비율 | 수식: (True Positive) / (True Positive + False Positive) (사용자 질문) Precision 어떻게 계산하는지 정말 궁금해, Precision 은 True Positive / (True Positive + False Positive) 로 계산하면 돼! (답변 종료,1,90
13,1,8.41,"(제공된 정보) Recall 과 Precision 차이 : Recall 은 False Negative 에 의해서, Precision 은 False Positive 에 의해서 감소 (사용자 질문) Recall Precision 이거 헷갈리는데 잘 외우는 법 없을까?"," Recall 은 False Negative 에 의해서 떨어지고 Precision 은 False Positive 에 의해서 떨어지지! 그러니까 False Negative 은 Recall 이 떨어질 때, False Positive 은 Precision 이 떨어질 때 기억하면 되겠지? 😊 (답변 종료",1,111
14,1,5.99,(제공된 정보) F1 Score 개념 : Recall 과 Precision 의 조화 평균 (사용자 질문) F1 Score 가 뭐야?," F1 Score 는 Recall 과 Precision 의 조화 평균 값인데, 즉 Recall 과 Precision 을 조화 평균으로 구하면 F1 Score 가 되는 거야! (답변 종료",1,75
15,1,4.54,(제공된 정보) F1 Score 수식 : 2 * Precision * Recall / (Precision + Recall) (사용자 질문) F1 Score 계산식 알려줘, F1 Score는 2 * Precision * Recall / (Precision + Recall) 로 계산하면 돼! (답변 종료,1,73
16,1,7.45,"(제공된 정보) F1 Score 장점 : 모델의 2가지 예측 실패 (False Negative, False Positive) 를 모두 고려 (사용자 질문) F1 Score 는 왜 쓰는 거지?"," F1 Score 는 모델이 예측 실패한 2가지 경우인 False Negative 와 False Positive, 그 둘 다를 모두 고려할 수 있어서 그게 장점이 되지! 😊 (답변 종료",1,99
