,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.09,2025-07-05 17:54:51,1.964,1.171,0.000299,0.6184
1,0.19,-,1.1445,1.4248,0.000297,0.7103
2,0.28,-,1.0429,1.1255,0.000296,0.7555
3,0.38,-,0.9396,1.17,0.000295,0.764
4,0.47,-,1.2413,1.0232,0.000293,0.6828
5,0.57,-,1.0895,1.0336,0.000292,0.7309
6,0.66,-,1.1111,1.1733,0.00029,0.7403
7,0.75,-,1.0873,1.1083,0.000289,0.7171
8,0.85,-,0.8178,1.1988,0.000288,0.7869
9,0.94,-,0.8465,1.1312,0.000286,0.7972
10,1.04,2025-07-05 18:08:33,0.8428,0.7798,0.000285,0.7642
11,1.13,-,0.6233,0.7235,0.000283,0.843
12,1.23,-,0.4522,0.751,0.000282,0.8698
13,1.32,-,0.491,0.8735,0.00028,0.8796
14,1.42,-,0.5311,0.6118,0.000279,0.8599
15,1.51,-,0.4474,0.8541,0.000278,0.8651
16,1.6,-,0.6134,1.6595,0.000276,0.821
17,1.7,-,0.4933,0.7043,0.000275,0.8686
18,1.79,-,0.5517,1.0403,0.000273,0.848
19,1.89,-,0.5735,1.0604,0.000272,0.8239
20,1.98,-,0.5601,1.2228,0.000271,0.8453
21,2.08,2025-07-05 18:23:37,0.3353,0.7528,0.000269,0.9175
22,2.17,-,0.2567,1.126,0.000268,0.9334
23,2.26,-,0.2761,0.6652,0.000266,0.9077
24,2.36,-,0.1671,0.6257,0.000265,0.9594
25,2.45,-,0.3141,0.9376,0.000263,0.9023
26,2.55,-,0.2244,1.7572,0.000262,0.9365
27,2.64,-,0.2684,0.8762,0.000261,0.9247
28,2.74,-,0.1716,0.6407,0.000259,0.9426
29,2.83,-,0.2251,1.0335,0.000258,0.9271
30,2.92,-,0.2341,1.6767,0.000256,0.9214
31,3.02,2025-07-05 18:39:14,0.1925,1.9069,0.000255,0.954
32,3.11,-,0.1564,0.5016,0.000254,0.9563
33,3.21,-,0.1229,0.7121,0.000252,0.9688
34,3.3,-,0.1375,0.7107,0.000251,0.9535
35,3.4,-,0.1473,0.5992,0.000249,0.9564
36,3.49,-,0.1738,0.5692,0.000248,0.9488
37,3.58,-,0.1758,1.0333,0.000247,0.9374
38,3.68,-,0.1189,0.4495,0.000245,0.9712
39,3.77,-,0.1307,0.3551,0.000244,0.9615
40,3.87,-,0.2022,1.2956,0.000242,0.9408
41,3.96,-,0.1449,0.7125,0.000241,0.9563
42,4.06,2025-07-05 18:56:31,0.1316,0.2773,0.000239,0.9642
43,4.15,-,0.0731,0.6089,0.000238,0.9781
44,4.25,-,0.0572,1.3205,0.000237,0.9795
45,4.34,-,0.1133,0.3569,0.000235,0.9754
46,4.43,-,0.0746,0.692,0.000234,0.9765
47,4.53,-,0.1294,1.053,0.000232,0.9599
48,4.62,-,0.0956,0.6885,0.000231,0.9749
49,4.72,-,0.0862,0.7993,0.00023,0.9777
50,4.81,-,0.0932,0.3497,0.000228,0.9689
51,4.91,-,0.091,0.5863,0.000227,0.9711
52,5.0,-,0.1183,1.7162,0.000225,0.9673
53,5.09,2025-07-05 19:12:54,0.0628,0.4751,0.000224,0.9841
54,5.19,-,0.0306,0.7434,0.000222,0.9967
55,5.28,-,0.0656,0.1114,0.000221,0.9846
56,5.38,-,0.0478,0.0672,0.00022,0.988
57,5.47,-,0.0243,0.5762,0.000218,0.9964
58,5.57,-,0.0478,1.3187,0.000217,0.9862
59,5.66,-,0.0514,0.4446,0.000215,0.9885
60,5.75,-,0.0566,0.6016,0.000214,0.9798
61,5.85,-,0.1007,0.7052,0.000213,0.9696
62,5.94,-,0.0906,0.1914,0.000211,0.9724
63,6.04,2025-07-05 19:29:34,0.0501,0.5709,0.00021,0.9891
64,6.13,-,0.0415,0.3514,0.000208,0.9928
65,6.23,-,0.04,0.4268,0.000207,0.9921
66,6.32,-,0.0676,0.1319,0.000205,0.9819
67,6.42,-,0.0452,0.297,0.000204,0.9893
68,6.51,-,0.0422,0.4924,0.000203,0.9966
69,6.6,-,0.1251,0.1426,0.000201,0.9819
70,6.7,-,0.0243,0.0272,0.0002,0.9897
71,6.79,-,0.0312,0.5319,0.000198,0.9938
72,6.89,-,0.0333,1.0129,0.000197,0.9926
73,6.98,-,0.037,0.7327,0.000196,0.9839
74,7.08,2025-07-05 19:46:52,0.0274,0.3168,0.000194,0.9906
75,7.17,-,0.0131,0.4605,0.000193,0.9963
76,7.26,-,0.0208,0.0802,0.000191,0.9964
77,7.36,-,0.0203,0.1316,0.00019,0.996
78,7.45,-,0.009,0.1993,0.000188,1.0
79,7.55,-,0.0196,1.0185,0.000187,0.9937
80,7.64,-,0.028,0.3084,0.000186,0.9925
81,7.74,-,0.0455,0.418,0.000184,0.9906
82,7.83,-,0.0405,0.306,0.000183,0.9909
83,7.92,-,0.0412,0.4168,0.000181,0.9894
84,8.02,2025-07-05 20:04:30,0.0254,0.0512,0.00018,0.9891
85,8.11,-,0.0367,0.097,0.000179,0.9906
86,8.21,-,0.005,0.1824,0.000177,1.0
87,8.3,-,0.0147,0.2127,0.000176,0.9957
88,8.4,-,0.0119,0.1015,0.000174,0.9957
89,8.49,-,0.0069,0.0208,0.000173,0.9983
90,8.58,-,0.014,0.0216,0.000172,0.9969
91,8.68,-,0.017,0.3744,0.00017,0.995
92,8.77,-,0.0116,0.03,0.000169,0.9986
93,8.87,-,0.0122,0.0957,0.000167,0.9969
94,8.96,-,0.0268,0.4889,0.000166,0.9914
95,9.06,2025-07-05 20:21:25,0.0031,0.1064,0.000164,1.0
96,9.15,-,0.0022,0.0474,0.000163,1.0
97,9.25,-,0.0249,0.0092,0.000162,0.9921
98,9.34,-,0.0163,0.7141,0.00016,0.9966
99,9.43,-,0.0048,0.2933,0.000159,0.9985
100,9.53,-,0.0023,0.0879,0.000157,1.0
101,9.62,-,0.0047,0.0311,0.000156,0.9984
102,9.72,-,0.0157,0.0177,0.000155,0.9955
103,9.81,-,0.0152,0.2036,0.000153,0.997
104,9.91,-,0.0039,0.0092,0.000152,0.9987
105,10.0,-,0.026,0.0546,0.00015,0.991
106,10.09,2025-07-05 20:38:15,0.0054,0.034,0.000149,0.9968
107,10.19,-,0.0022,0.0093,0.000147,1.0
108,10.28,-,0.0025,0.1882,0.000146,1.0
109,10.38,-,0.004,0.0192,0.000145,1.0
110,10.47,-,0.002,0.0086,0.000143,1.0
111,10.57,-,0.0016,0.1747,0.000142,1.0
112,10.66,-,0.0009,0.0136,0.00014,1.0
113,10.75,-,0.0043,0.0129,0.000139,0.9979
114,10.85,-,0.0027,0.012,0.000138,0.9984
