,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,7.48,(제공된 정보) cosine similarity (코사인 유사도) : 두 벡터의 방향 유사도를 -1.0 ~ +1.0 으로 나타냄 | 핵심 아이디어: 벡터 크기 대신 방향을 봄 (사용자 질문) 코사인 유사도가 뭔지 궁금해, 코사인 유사도는 두 벡터의 방향이 비슷한지를 -1.0 ~ +1.0 으로 나타낸 값이야! (답변 종료,1,125
1,1,7.48,(제공된 정보) cosine similarity (코사인 유사도) : 두 벡터의 방향 유사도를 -1.0 ~ +1.0 으로 나타냄 | 핵심 아이디어: 벡터 크기 대신 방향을 봄 (사용자 질문) Cosine Similarity 에 대해 알려줘!, 코사인 유사도는 두 벡터의 크기가 아니라 방향이 비슷한지를 -1.0 ~ +1.0 의 값으로 나타내는 거야! (답변 종료,1,127
2,1,6.07,(제공된 정보) cosine similarity (코사인 유사도) 계산법 : 원소 개수가 같은 2개의 벡터의 각도의 코사인 값 (사용자 질문) Cosine Similarity 는 어떻게 계산하지?, Cosine Similarity 는 원소 개수가 같은 2개의 벡터의 각도의 코사인 값으로 계산하면 돼! 😊 (답변 종료,1,97
3,1,6.77,"(제공된 정보) cosine similarity (코사인 유사도) 특징 : 방향 일치하면 +1.0, 수직이면 0.0, 반대 방향이면 -1.0 (사용자 질문) 코사인 유사도 특징이 뭐야?"," 코사인 유사도는 방향이 일치하면 +1.0, 수직이면 0.0, 반대면 -1.0이야! (답변 종료",1,113
4,1,6.73,"(제공된 정보) 머신러닝 모델 성능 평가 지표 : Accuracy (정확도), Recall, Precision, F1 Score (사용자 질문) 머신러닝 모델 평가하는 방법 알려줘"," 머신러닝 모델의 성능을 평가할 때는 Accuracy (정확도) 외에도 Recall, Precision, F1 Score 같은 지표도 꼭 기억해! (답변 종료",1,94
5,1,7.76,(제공된 정보) Accuracy (정확도) : 모델이 얼마나 잘 맞혔는지를 평가하는 정확도 | 수식: (True Positive + True Negative) / (전체 테스트 데이터 개수) (사용자 질문) Accuracy 계산 어떻게 하지?, Accuracy 는 모델이 얼마나 잘 맞혔는지를 평가하는 정확도야! (True Positive + True Negative) / (전체 테스트 데이터 개수) 로 계산하면 돼! (답변 종료,1,113
6,1,4.76,(제공된 정보) True Positive (TP) : 모델 예측이 참이면서 실제로도 참인 데이터 개수 (사용자 질문) True Positive 가 뭐야?, True Positive (TP) 는 모델이 참이라고 예측했는데 실제로도 참인 데이터를 의미하지! (답변 종료,1,74
7,1,4.76,(제공된 정보) True Negative (TN) : 모델 예측이 거짓이면서 실제로도 거짓인 데이터 개수 (사용자 질문) True Negative 는 뭔지 궁금해 그럼, True Negative (TN) 은 모델이 거짓으로 예측했는데 실제로도 거짓인 데이터야! (답변 종료,1,80
8,1,4.43,(제공된 정보) False Positive (FP) : 모델 예측이 참이지만 실제로는 거짓인 데이터 개수 (사용자 질문) False Positive 알려줘, False Positive (FP) 는 모델은 참이라고 예측했지만 실제로는 거짓인 데이터야! (답변 종료,1,71
9,1,4.43,(제공된 정보) False Negative (FN) : 모델 예측이 거짓이지만 실제로는 참인 데이터 개수 (사용자 질문) False Negative (FN), False Negative (FN) 은 모델은 거짓으로 예측했지만 실제로는 참인 데이터야! (답변 종료,1,71
10,1,7.58,(제공된 정보) Recall (재현율) : 실제로 참인 것을 모델이 얼마나 찾았는지의 비율 | 수식: (True Positive) / (True Positive + False Negative) (사용자 질문) Recall 계산법 어떻게 하는 거지?, Recall은 실제로 참인 것을 모델이 얼마나 잘 찾았는지의 비율이야! (True Positive) / (True Positive + False Negative) 로 계산하면 돼! 😊 (답변 종료,1,111
11,1,4.45,(제공된 정보) Recall (재현율) : 실제로 참인 것을 모델이 얼마나 찾았는지의 비율 | 수식: (True Positive) / (True Positive + False Negative) (사용자 질문) Recall 이 뭐야?, Recall 은 실제로 참인 것을 모델이 얼마나 찾았는지를 나타내는 비율이야! (답변 종료,1,88
12,1,9.23,(제공된 정보) Precision (정밀도) : 모델이 참으로 예측한 것 중 실제 참인 것의 비율 | 수식: (True Positive) / (True Positive + False Positive) (사용자 질문) Precision 어떻게 계산하는지 정말 궁금해, Precision (정밀도) 는 모델이 참으로 예측했지만 실제로 참인 것의 비율로 계산하면 돼! (True Positive) / (True Positive + False Positive) 로 계산하면 되지! 😊 (답변 종료,1,122
13,1,5.28,"(제공된 정보) Recall 과 Precision 차이 : Recall 은 False Negative 에 의해서, Precision 은 False Positive 에 의해서 감소 (사용자 질문) Recall Precision 이거 헷갈리는데 잘 외우는 법 없을까?"," Recall 은 False Negative 로 인해서, Precision 은 False Positive 로 인해서 감소한다고 생각하면 쉬울 것 같아! (답변 종료",1,91
14,1,3.96,(제공된 정보) F1 Score 개념 : Recall 과 Precision 의 조화 평균 (사용자 질문) F1 Score 가 뭐야?, F1 Score 라는 것은 Recall 과 Precision 의 조화 평균으로 생각하면 돼! (답변 종료,1,62
15,1,4.92,(제공된 정보) F1 Score 수식 : 2 * Precision * Recall / (Precision + Recall) (사용자 질문) F1 Score 계산식 알려줘, F1 Score 는 2 * Precision * Recall / (Precision + Recall) 로 계산하면 돼! 😊 (답변 종료,1,75
16,1,7.87,"(제공된 정보) F1 Score 장점 : 모델의 2가지 예측 실패 (False Negative, False Positive) 를 모두 고려 (사용자 질문) F1 Score 는 왜 쓰는 거지?"," F1 Score 는 모델이 2가지 예측 실패 (False Negative, False Positive) 도 모두 고려해서 모델이 얼마나 잘 예측하는지 볼 수 있는 척도지! 😊 (답변 종료",1,101
17,1,9.7,(제공된 정보) IoU : (교집합의 크기) / (합집합의 크기) | 수식 : (True Positive) / (True Positive + False Positive + False Negative) (사용자 질문) IoU 라는 게 있는데 뭔지 궁금해," IoU 는 (교집합의 크기) / (합집합의 크기) 로 계산하면 돼! (참고로, (교집합의 크기) = (True Positive) 로 계산하면 돼! 😊 (답변 종료",1,127
18,1,4.28,(제공된 정보) Specificity (특이도) : 실제로 False 인 데이터 중 모델이 False 로 예측한 비율 | 수식: (True Negative) / (False Positive + True Negative) (사용자 질문) 특이도는 뭐야?, 특이도는 실제로 False 인 데이터 중 모델이 False 로 예측한 비율이야! (답변 종료,1,90
