,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.33,2025-07-04 14:46:39,1.338,0.9826,0.000296,0.7466
1,0.67,-,0.8004,1.1171,0.000291,0.7991
2,1.0,-,0.7606,1.0088,0.000286,0.8171
3,1.33,2025-07-04 14:50:12,0.37,0.5357,0.000281,0.9077
4,1.67,-,0.2796,0.7502,0.000276,0.9192
5,2.0,-,0.3479,1.1268,0.000271,0.9028
6,2.33,2025-07-04 14:53:57,0.1373,0.7003,0.000266,0.9561
7,2.67,-,0.145,0.298,0.000261,0.9503
8,3.0,-,0.149,0.5127,0.000256,0.9605
9,3.33,2025-07-04 14:57:51,0.0838,0.5313,0.000251,0.9721
10,3.67,-,0.0274,0.4255,0.000246,0.9913
11,4.0,-,0.1274,0.3866,0.000241,0.9788
12,4.33,2025-07-04 15:01:49,0.0775,0.3887,0.000236,0.9782
13,4.67,-,0.0474,0.4796,0.000231,0.9927
14,5.0,-,0.0568,0.0659,0.000226,0.9856
15,5.33,2025-07-04 15:05:50,0.0104,0.1473,0.000221,1.0
16,5.67,-,0.0187,0.1401,0.000216,0.992
17,6.0,-,0.099,0.254,0.000211,0.9775
18,6.33,2025-07-04 15:09:53,0.0176,0.2269,0.000206,0.9906
19,6.67,-,0.051,0.1032,0.000201,0.9918
20,7.0,-,0.0257,0.1862,0.000196,0.9963
21,7.33,2025-07-04 15:14:01,0.0136,0.4264,0.000191,0.9947
22,7.67,-,0.006,0.2737,0.000186,0.9982
23,8.0,-,0.0313,0.576,0.000181,0.993
24,8.33,2025-07-04 15:18:10,0.0025,0.0493,0.000176,1.0
25,8.67,-,0.0115,0.0168,0.000171,0.9974
26,9.0,-,0.0083,0.0532,0.000166,0.9971
27,9.33,2025-07-04 15:22:15,0.0076,0.0275,0.000161,0.9978
28,9.67,-,0.0372,0.2181,0.000156,0.9945
29,10.0,-,0.0023,0.0053,0.000151,1.0
30,10.33,2025-07-04 15:26:24,0.0032,0.0977,0.000146,1.0
31,10.67,-,0.0167,0.0123,0.000141,0.9938
32,11.0,-,0.003,0.1527,0.000136,1.0
33,11.33,2025-07-04 15:30:46,0.0116,0.4079,0.000131,0.9955
34,11.67,-,0.002,0.0323,0.000126,1.0
35,12.0,-,0.0039,0.008,0.000121,0.998
36,12.33,2025-07-04 15:34:54,0.003,0.0215,0.000116,1.0
37,12.67,-,0.0005,0.0135,0.000111,1.0
38,13.0,-,0.0009,0.0076,0.000106,1.0
39,13.33,2025-07-04 15:39:01,0.0027,0.0086,0.000101,0.9986
40,13.67,-,0.0015,0.0707,9.6e-05,1.0
41,14.0,-,0.0004,0.0026,9.1e-05,1.0
42,14.33,2025-07-04 15:43:09,0.0021,0.0061,8.6e-05,0.9984
43,14.67,-,0.0012,0.0109,8.1e-05,1.0
44,15.0,-,0.0004,0.0049,7.6e-05,1.0
45,15.33,2025-07-04 15:47:20,0.0004,0.0073,7.1e-05,1.0
46,15.67,-,0.0004,0.0049,6.6e-05,1.0
47,16.0,-,0.0022,0.0444,6.1e-05,0.9983
48,16.33,2025-07-04 15:51:26,0.0009,0.0032,5.6e-05,1.0
49,16.67,-,0.0003,0.0021,5.1e-05,1.0
50,17.0,-,0.0015,0.0048,4.6e-05,1.0
51,17.33,2025-07-04 15:55:33,0.0003,0.0021,4.1e-05,1.0
52,17.67,-,0.0011,0.0028,3.6e-05,1.0
53,18.0,-,0.0016,0.0065,3.1e-05,1.0
54,18.33,2025-07-04 15:59:38,0.0015,0.0019,2.6e-05,1.0
55,18.67,-,0.0011,0.0018,2.1e-05,1.0
56,19.0,-,0.0003,0.0008,1.6e-05,1.0
57,19.33,2025-07-04 16:03:45,0.001,0.0018,1.1e-05,1.0
58,19.67,-,0.0011,0.0029,6e-06,1.0
59,20.0,-,0.0004,0.0072,1e-06,1.0
