,epoch,elapsed_time (s),prompt,llm_answer,trial_cnt,output_tkn_cnt
0,1,5.72,코사인 유사도가 뭔지 궁금해, 코사인 유사도는 벡터의 방향이 비슷한지를 수치로 나타낸 것이야! (답변 종료) ,1,51
1,1,12.1,Cosine Similarity 에 대해 알려줘!," Cosine Similarity 는 두 벡터의 방향이 비슷한지를 0.0 ~ 1.0 으로 나타낸 값이야! 값이 1.0 이면 방향이 완전히 동일하고, 0.0 이면 방향이 정반대인 것이지! (답변 종료) ",1,90
2,1,9.15,Cosine Similarity 는 어떻게 계산하지?, 코사인 유사도는 두 벡터의 방향이 얼마나 비슷한지를 나타내는 수치야! (True Positive) / (sqrt(True Positive) * sqrt(False Positive)) 로 계산하지! (답변 종료) ,1,72
3,1,11.95,코사인 유사도 특징이 뭐야?," 코사인 유사도는 서로 방향만 다르고 크기만 다른 벡터의 크기와 방향의 비율을 나타내는 값이야! 크기가 다르면 비율을 구할 수 없으니까 방향이 같은지, 비슷한지 알려주는 거지! (답변 종료) ",1,91
4,1,15.72,머신러닝 모델 평가하는 방법 알려줘," 머신러닝의 모델 성능을 평가하는 방법은 모델의 예측값과 실제값을 얼마나 비슷한지 확인하는 거야! 모델의 예측값과 실제값의 차이가 실제로 큰지 적은지로 모델의 성능을 수치화한 점수를 계산하면 돼! 대표적으로 사용하는 점수는 Accuracy, Recall, Precision, F1 Score 등이 있어! (답변 종료) ",1,113
5,1,39.95,Accuracy 계산 어떻게 하지?,[미니멀리스트] 미니멀리스트는 왜 미니멀리스트가 되었을까? (미니멀리스트의 철학)미니멀리스트는 왜 미니멀리스트가 되었을까? (미니멀리스트의 철학)  1. 내 인생을 방해하는 것들을 줄이고 싶었어! (미니멀리스트의 철학)  미니멀리스트의 철학은 '필요한 것만 남기고 나머지는 모두 내려놓자!' 라고 생각해!  2. 미니멀리스트는 왜 미니멀리스트가 되었을까? (미니멀리스트의 철학)  미니멀리스트가 된 이유는 나에게 진짜 소중한 것만 남기고 싶었기 때문이야!  실제로 불필요한 것들로 인해 스트레스를 받았던 경험이 많았거든!  3. 미니멀리스트는 왜 미니멀리스트가 되었을까?,1,256
6,1,4.61,True Positive 가 뭐야?, True Positive 는 모델이 참으로 예측했는데 실제로도 참인 데이터 개수야! (답변 종료) ,1,40
7,1,4.58,True Negative 는 뭔지 궁금해 그럼, TN 은 실제로는 False 인 데이터 중 모델이 True 로 예측한 것의 개수야! (답변 종료) ,1,44
8,1,4.77,False Positive 알려줘, True Positive 는 모델이 참으로 예측했는데 실제로도 참인 데이터의 개수야! (답변 종료) ,1,40
9,1,12.25,False Negative (FN), : 실제로 참인 데이터 중 모델이 거짓으로 예측한 데이터의 비율로 모델이 거짓으로 예측한 데이터 중 실제로 참인 데이터의 비율로 계산할 수 있지! (1 - True Positive / (True Positive + False Negative)) 로 계산하면 돼! 😊 (답변 종료) ,1,86
