,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.33,2025-07-04 10:38:56,1.9985,1.9658,0.000296,0.6061
1,0.67,-,1.2786,1.3166,0.000291,0.6876
2,1.0,-,1.1029,1.2087,0.000286,0.7309
3,1.33,2025-07-04 10:43:59,0.5498,0.93,0.000281,0.8754
4,1.67,-,0.5664,1.0086,0.000276,0.8452
5,2.0,-,0.5233,1.3967,0.000271,0.8508
6,2.33,2025-07-04 10:48:19,0.2993,1.596,0.000266,0.8998
7,2.67,-,0.2717,0.6406,0.000261,0.9237
8,3.0,-,0.2435,1.2528,0.000256,0.9355
9,3.33,2025-07-04 10:51:42,0.1037,1.3322,0.000251,0.9718
10,3.67,-,0.1063,1.2118,0.000246,0.9707
11,4.0,-,0.1426,1.4486,0.000241,0.9497
12,4.33,2025-07-04 10:55:41,0.0761,1.2219,0.000236,0.9832
13,4.67,-,0.1763,1.4021,0.000231,0.9559
14,5.0,-,0.1278,1.1367,0.000226,0.9701
15,5.33,2025-07-04 10:59:30,0.0895,0.3274,0.000221,0.9828
16,5.67,-,0.0637,1.569,0.000216,0.9876
17,6.0,-,0.071,0.6426,0.000211,0.9832
18,6.33,2025-07-04 11:03:20,0.0142,0.0339,0.000206,0.9984
19,6.67,-,0.0165,0.1266,0.000201,0.9979
20,7.0,-,0.0329,0.7653,0.000196,0.9897
21,7.33,2025-07-04 11:07:35,0.0208,0.3101,0.000191,0.9966
22,7.67,-,0.005,0.1089,0.000186,1.0
23,8.0,-,0.0544,0.1246,0.000181,0.9926
24,8.33,2025-07-04 11:11:36,0.0082,0.2438,0.000176,1.0
25,8.67,-,0.0106,0.0995,0.000171,0.9955
26,9.0,-,0.0061,0.0131,0.000166,0.9974
27,9.33,2025-07-04 11:16:17,0.0032,0.0362,0.000161,1.0
28,9.67,-,0.0033,0.1141,0.000156,1.0
29,10.0,-,0.0054,1.206,0.000151,0.998
30,10.33,2025-07-04 11:21:05,0.0011,0.0049,0.000146,1.0
31,10.67,-,0.0013,0.0196,0.000141,1.0
32,11.0,-,0.0014,0.0121,0.000136,1.0
33,11.33,2025-07-04 11:26:28,0.0355,1.2197,0.000131,0.9955
34,11.67,-,0.0012,0.0064,0.000126,1.0
35,12.0,-,0.0009,0.0203,0.000121,1.0
36,12.33,2025-07-04 11:30:35,0.0009,0.0117,0.000116,1.0
37,12.67,-,0.0011,0.0064,0.000111,1.0
38,13.0,-,0.0025,0.1184,0.000106,1.0
39,13.33,2025-07-04 11:35:18,0.001,0.0062,0.000101,1.0
40,13.67,-,0.0012,0.0077,9.6e-05,1.0
41,14.0,-,0.0006,0.0099,9.1e-05,1.0
42,14.33,2025-07-04 11:40:48,0.0007,0.0042,8.6e-05,1.0
43,14.67,-,0.0006,0.0056,8.1e-05,1.0
44,15.0,-,0.0008,0.0046,7.6e-05,1.0
45,15.33,2025-07-04 11:45:46,0.0008,0.0076,7.1e-05,1.0
46,15.67,-,0.0005,0.0049,6.6e-05,1.0
47,16.0,-,0.0005,0.003,6.1e-05,1.0
48,16.33,2025-07-04 11:51:34,0.0005,0.0034,5.6e-05,1.0
49,16.67,-,0.0005,0.0049,5.1e-05,1.0
50,17.0,-,0.0008,0.0108,4.6e-05,1.0
51,17.33,2025-07-04 11:56:51,0.0006,0.0112,4.1e-05,1.0
52,17.67,-,0.0006,0.004,3.6e-05,1.0
53,18.0,-,0.0004,0.0036,3.1e-05,1.0
54,18.33,2025-07-04 12:03:39,0.0005,0.0046,2.6e-05,1.0
55,18.67,-,0.0006,0.0045,2.1e-05,1.0
56,19.0,-,0.0005,0.0052,1.6e-05,1.0
57,19.33,2025-07-04 12:09:27,0.0004,0.0029,1.1e-05,1.0
58,19.67,-,0.0006,0.0054,6e-06,1.0
59,20.0,-,0.0005,0.0041,1e-06,1.0
