,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.02,2025-07-12 21:55:54,2.0173,2.4864,0.000299,0.6065
1,0.03,-,1.5826,2.8762,0.000298,0.6425
2,0.05,-,0.9169,2.9876,0.000297,0.8178
3,0.06,-,1.6224,2.3077,0.000296,0.6189
4,0.08,-,1.6644,2.7931,0.000296,0.6503
5,0.09,-,1.2563,2.2707,0.000295,0.6734
6,0.11,-,1.1984,2.2832,0.000294,0.7244
7,0.12,-,0.9184,2.9037,0.000293,0.7452
8,0.14,-,1.2328,2.4955,0.000292,0.6834
9,0.15,-,1.4982,2.4766,0.000291,0.6446
10,0.17,-,0.857,1.3066,0.00029,0.8002
11,0.19,-,1.3,2.5432,0.000289,0.6808
12,0.2,-,1.2936,2.0012,0.000288,0.7035
13,0.22,-,1.4002,3.0896,0.000287,0.6636
14,0.23,-,1.5943,3.269,0.000286,0.6407
15,0.25,-,0.9769,1.7591,0.000285,0.7387
16,0.26,-,1.1352,1.5315,0.000284,0.7065
17,0.28,-,1.5142,3.4669,0.000284,0.633
18,0.29,-,1.131,1.6231,0.000283,0.6689
19,0.31,-,1.0536,2.2595,0.000282,0.7502
20,0.32,-,1.0337,1.8819,0.000281,0.7371
21,0.34,-,1.1823,2.1992,0.00028,0.6846
22,0.35,-,1.1673,2.497,0.000279,0.7477
23,0.37,-,1.3392,1.7497,0.000278,0.7019
24,0.39,-,1.5502,2.2681,0.000277,0.5886
25,0.4,-,1.054,1.5786,0.000276,0.7556
26,0.42,-,1.0432,1.3113,0.000275,0.7269
27,0.43,-,1.1578,1.1658,0.000274,0.7002
28,0.45,-,0.9431,1.6068,0.000273,0.7751
29,0.46,-,1.047,1.4112,0.000272,0.6926
30,0.48,-,1.3887,1.9857,0.000271,0.6832
31,0.49,-,0.9823,1.6953,0.000271,0.751
32,0.51,-,0.9199,1.4483,0.00027,0.7688
33,0.52,-,1.1489,2.6572,0.000269,0.7032
34,0.54,-,1.1363,2.5229,0.000268,0.6835
35,0.56,-,0.7243,1.5675,0.000267,0.8108
36,0.57,-,0.8978,2.2628,0.000266,0.7866
37,0.59,-,1.1468,2.0116,0.000265,0.7017
38,0.6,-,1.3758,2.897,0.000264,0.6836
39,0.62,-,0.8917,1.3561,0.000263,0.753
40,0.63,-,1.2991,2.2081,0.000262,0.6744
41,0.65,-,1.5725,2.0912,0.000261,0.5729
42,0.66,-,0.855,1.6938,0.00026,0.751
43,0.68,-,0.9729,1.9795,0.000259,0.7355
44,0.69,-,0.9884,1.2373,0.000259,0.7309
45,0.71,-,1.0825,2.1915,0.000258,0.7278
46,0.73,-,1.14,1.7961,0.000257,0.7559
47,0.74,-,0.9408,1.4621,0.000256,0.7831
48,0.76,-,0.8352,2.1185,0.000255,0.7705
49,0.77,-,1.2165,3.5786,0.000254,0.7237
50,0.79,-,1.2368,1.5654,0.000253,0.695
51,0.8,-,1.0169,1.5944,0.000252,0.7104
