,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.02,2025-07-17 18:11:45,2.0232,2.2073,0.0003,0.6073
1,0.03,-,1.6424,3.1608,0.0003,0.6495
2,0.05,-,1.4986,4.0366,0.000299,0.7322
3,0.06,-,1.0697,2.0074,0.000299,0.6895
4,0.08,-,1.3438,2.7935,0.000299,0.6574
5,0.09,-,1.4563,2.4843,0.000299,0.6391
6,0.11,-,1.1728,3.2667,0.000298,0.6952
7,0.12,-,1.0462,2.2457,0.000298,0.7071
8,0.14,-,1.6464,2.3335,0.000298,0.6398
9,0.15,-,1.6813,3.1304,0.000298,0.6334
10,0.17,-,1.0153,1.6664,0.000297,0.7332
11,0.19,-,1.4889,2.1291,0.000297,0.6301
12,0.2,-,1.2049,2.3596,0.000297,0.7059
13,0.22,-,1.1616,1.9649,0.000297,0.7206
14,0.23,-,1.0985,1.7471,0.000297,0.716
15,0.25,-,1.3098,1.9136,0.000296,0.6339
16,0.26,-,1.2083,2.351,0.000296,0.7005
17,0.28,-,1.4601,2.0254,0.000296,0.6759
18,0.29,-,1.2553,2.3845,0.000296,0.7077
19,0.31,-,1.0427,1.7528,0.000295,0.7344
20,0.32,-,0.8956,0.9031,0.000295,0.7333
21,0.34,-,1.2267,1.6924,0.000295,0.6876
22,0.35,-,0.9835,2.4991,0.000295,0.6953
23,0.37,-,1.2902,2.0056,0.000294,0.6885
24,0.39,-,1.1409,2.4092,0.000294,0.7064
25,0.4,-,1.2115,1.9529,0.000294,0.6816
26,0.42,-,1.1294,1.5362,0.000294,0.717
27,0.43,-,1.2668,2.0101,0.000294,0.6709
28,0.45,-,1.341,1.9917,0.000293,0.693
29,0.46,-,1.1064,2.297,0.000293,0.7135
30,0.48,-,1.3776,2.5677,0.000293,0.6823
31,0.49,-,1.2301,2.1172,0.000293,0.694
32,0.51,-,1.1289,1.2634,0.000292,0.712
33,0.52,-,1.3539,1.335,0.000292,0.6822
34,0.54,-,1.1669,3.2427,0.000292,0.7195
35,0.56,-,1.3868,1.4248,0.000292,0.7139
36,0.57,-,0.9855,1.6387,0.000291,0.7417
37,0.59,-,1.0219,2.4702,0.000291,0.7653
38,0.6,-,0.9356,0.6603,0.000291,0.7413
39,0.62,-,1.441,2.5725,0.000291,0.6856
40,0.63,-,0.9186,1.1763,0.000291,0.7425
41,0.65,-,0.8618,1.3553,0.00029,0.7601
42,0.66,-,1.2449,2.5631,0.00029,0.6888
43,0.68,-,0.9691,2.0954,0.00029,0.718
44,0.69,-,0.886,1.9522,0.00029,0.7967
45,0.71,-,1.409,1.9275,0.000289,0.6487
46,0.73,-,1.1303,1.9421,0.000289,0.7374
47,0.74,-,0.9563,1.8941,0.000289,0.7428
48,0.76,-,1.343,1.3451,0.000289,0.6922
49,0.77,-,1.3207,3.2923,0.000288,0.6284
50,0.79,-,1.2804,1.9529,0.000288,0.6984
51,0.8,-,1.0353,1.5184,0.000288,0.7414
52,0.82,-,0.62,0.9191,0.000288,0.7965
53,0.83,-,1.4054,1.665,0.000288,0.6965
54,0.85,-,1.2144,2.7103,0.000287,0.6959
55,0.86,-,0.9897,1.4499,0.000287,0.7387
56,0.88,-,1.0026,2.3722,0.000287,0.8066
57,0.9,-,0.9255,2.5739,0.000287,0.7548
58,0.91,-,0.9923,1.8481,0.000286,0.7683
59,0.93,-,1.3607,1.8458,0.000286,0.7069
60,0.94,-,1.066,1.5926,0.000286,0.7319
61,0.96,-,1.0403,1.8168,0.000286,0.7308
62,0.97,-,0.8613,1.904,0.000285,0.7832
63,0.99,-,1.21,1.7929,0.000285,0.6982
64,1.0,2025-07-17 18:24:02,0.9919,1.9032,0.000285,0.7519
65,1.02,-,0.4948,0.7887,0.000285,0.8637
66,1.03,-,0.4925,0.9186,0.000285,0.8563
67,1.05,-,0.4758,0.8632,0.000284,0.8525
68,1.06,-,0.6856,1.4329,0.000284,0.8304
69,1.08,-,0.7144,1.2743,0.000284,0.8424
70,1.1,-,0.7835,1.9756,0.000284,0.7706
71,1.11,-,0.7893,1.9745,0.000283,0.8233
72,1.13,-,0.6472,2.1415,0.000283,0.8125
73,1.14,-,0.5439,0.8451,0.000283,0.8622
74,1.16,-,0.7815,1.2066,0.000283,0.7949
75,1.17,-,0.5336,2.0667,0.000282,0.8455
76,1.19,-,1.0282,2.3714,0.000282,0.738
77,1.2,-,0.6316,1.7828,0.000282,0.8179
78,1.22,-,0.476,0.0206,0.000282,0.8544
79,1.23,-,0.9199,1.7582,0.000282,0.7768
80,1.25,-,0.7576,1.176,0.000281,0.812
81,1.27,-,0.6723,1.7625,0.000281,0.8034
82,1.28,-,0.6842,1.4524,0.000281,0.8023
83,1.3,-,0.838,1.1794,0.000281,0.7562
84,1.31,-,0.6954,1.4555,0.00028,0.8284
85,1.33,-,0.5483,1.0519,0.00028,0.8246
86,1.34,-,0.8795,1.5299,0.00028,0.7774
87,1.36,-,0.619,2.5095,0.00028,0.8385
88,1.37,-,0.8317,2.1384,0.000279,0.744
89,1.39,-,0.5642,1.2759,0.000279,0.8351
90,1.4,-,0.6574,1.9718,0.000279,0.8085
91,1.42,-,0.6305,1.083,0.000279,0.829
92,1.44,-,0.7233,2.0443,0.000279,0.7934
93,1.45,-,0.6671,2.225,0.000278,0.8281
94,1.47,-,0.5914,1.7832,0.000278,0.7973
95,1.48,-,0.877,2.2082,0.000278,0.7402
96,1.5,-,0.6843,1.8659,0.000278,0.7959
97,1.51,-,0.6027,2.0713,0.000277,0.8392
98,1.53,-,0.7298,1.7484,0.000277,0.7627
99,1.54,-,0.7403,3.3637,0.000277,0.7984
100,1.56,-,0.5626,1.5236,0.000277,0.8175
101,1.57,-,0.7519,0.8977,0.000276,0.8296
102,1.59,-,0.3443,1.8004,0.000276,0.8989
103,1.6,-,0.8076,1.2558,0.000276,0.7951
104,1.62,-,0.937,1.908,0.000276,0.7455
105,1.64,-,0.645,1.2033,0.000276,0.8051
106,1.65,-,0.6397,1.4017,0.000275,0.7947
107,1.67,-,0.7722,2.4206,0.000275,0.7999
108,1.68,-,0.7864,1.5977,0.000275,0.8084
109,1.7,-,0.6073,2.4021,0.000275,0.8226
110,1.71,-,0.7188,0.4586,0.000274,0.8185
111,1.73,-,0.8467,1.7784,0.000274,0.7891
112,1.74,-,0.7659,1.298,0.000274,0.7675
113,1.76,-,0.6758,1.5099,0.000274,0.7605
114,1.77,-,0.6471,2.142,0.000273,0.8292
115,1.79,-,1.0147,1.3078,0.000273,0.7453
116,1.81,-,0.5358,1.0786,0.000273,0.8493
117,1.82,-,1.0552,2.3298,0.000273,0.7541
118,1.84,-,0.8907,1.9449,0.000272,0.777
119,1.85,-,0.4561,1.1064,0.000272,0.8688
120,1.87,-,0.5952,0.7338,0.000272,0.8291
121,1.88,-,0.7876,0.9789,0.000272,0.7968
122,1.9,-,0.7369,1.0816,0.000272,0.8365
123,1.91,-,0.8442,2.2394,0.000271,0.7534
124,1.93,-,0.933,2.2339,0.000271,0.735
125,1.94,-,1.0906,2.8225,0.000271,0.7423
126,1.96,-,0.9092,1.7614,0.000271,0.7825
127,1.98,-,0.842,1.8858,0.00027,0.7544
128,1.99,-,0.9132,5.9467,0.00027,0.8137
129,2.01,2025-07-17 18:37:13,0.6606,1.3207,0.00027,0.84
130,2.02,-,0.3388,1.7155,0.00027,0.919
131,2.04,-,0.4842,1.6117,0.000269,0.8165
132,2.05,-,0.5021,1.5543,0.000269,0.8361
133,2.07,-,0.2763,0.7636,0.000269,0.9133
134,2.08,-,0.7183,2.1339,0.000269,0.7888
135,2.1,-,0.1601,1.2096,0.000269,0.9367
136,2.11,-,0.6165,0.1255,0.000268,0.8896
137,2.13,-,0.5385,0.8546,0.000268,0.832
138,2.15,-,0.4492,2.1608,0.000268,0.866
139,2.16,-,0.5295,1.248,0.000268,0.8642
140,2.18,-,0.3607,1.0331,0.000267,0.8702
141,2.19,-,0.5003,1.6667,0.000267,0.8226
142,2.21,-,0.6248,2.3257,0.000267,0.8021
143,2.22,-,0.4519,1.7123,0.000267,0.8638
144,2.24,-,0.4026,1.139,0.000266,0.8757
145,2.25,-,0.5591,2.1378,0.000266,0.8458
146,2.27,-,0.4647,1.0981,0.000266,0.864
147,2.28,-,0.3408,1.0026,0.000266,0.8951
148,2.3,-,0.4348,1.1577,0.000266,0.8588
149,2.31,-,0.5128,2.4465,0.000265,0.8178
150,2.33,-,0.4974,2.4935,0.000265,0.8368
151,2.35,-,0.6007,0.7832,0.000265,0.8154
152,2.36,-,0.5158,2.0134,0.000265,0.8848
153,2.38,-,0.6387,1.1241,0.000264,0.8545
154,2.39,-,0.4744,1.8189,0.000264,0.8515
155,2.41,-,0.3259,2.0703,0.000264,0.9238
156,2.42,-,0.662,1.6912,0.000264,0.7794
157,2.44,-,0.3135,1.3824,0.000263,0.9185
158,2.45,-,0.5491,1.7642,0.000263,0.8245
159,2.47,-,0.4758,1.2812,0.000263,0.865
160,2.48,-,0.4807,3.2545,0.000263,0.8452
161,2.5,-,0.2968,1.1416,0.000263,0.9021
162,2.52,-,0.6072,1.0592,0.000262,0.8186
163,2.53,-,0.4837,2.5165,0.000262,0.8659
164,2.55,-,0.3583,0.79,0.000262,0.8818
165,2.56,-,0.3357,1.4508,0.000262,0.8925
166,2.58,-,0.4217,0.0761,0.000261,0.9012
167,2.59,-,0.3522,2.3194,0.000261,0.8961
168,2.61,-,0.4632,1.8112,0.000261,0.8599
169,2.62,-,0.5445,2.945,0.000261,0.8759
170,2.64,-,0.6472,2.8983,0.00026,0.8261
171,2.65,-,0.5663,2.8323,0.00026,0.8196
172,2.67,-,0.4294,2.1072,0.00026,0.8803
173,2.69,-,0.4582,1.3638,0.00026,0.8376
174,2.7,-,0.4554,3.5621,0.00026,0.8506
175,2.72,-,0.3786,1.4173,0.000259,0.8459
176,2.73,-,0.4618,4.331,0.000259,0.8507
177,2.75,-,0.5645,1.6435,0.000259,0.8291
178,2.76,-,0.5457,1.5677,0.000259,0.8297
179,2.78,-,0.5061,1.0933,0.000258,0.8564
180,2.79,-,0.3609,1.2611,0.000258,0.8794
181,2.81,-,0.7196,2.4693,0.000258,0.7588
182,2.82,-,0.5352,1.3809,0.000258,0.8237
183,2.84,-,0.6772,1.0954,0.000257,0.8089
184,2.85,-,0.3105,1.4964,0.000257,0.8814
185,2.87,-,0.5931,1.5179,0.000257,0.8227
186,2.89,-,0.4794,1.0797,0.000257,0.8735
187,2.9,-,0.4309,1.4177,0.000257,0.865
188,2.92,-,0.4678,1.1843,0.000256,0.8693
189,2.93,-,0.5274,1.9879,0.000256,0.851
190,2.95,-,0.3996,0.8499,0.000256,0.8422
191,2.96,-,0.2641,2.3136,0.000256,0.9006
192,2.98,-,0.3179,0.8379,0.000255,0.8965
