,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.02,2025-07-14 23:31:48,2.7172,3.4567,0.000299,0.4217
1,0.03,-,2.0059,2.2447,0.000298,0.5963
2,0.05,-,1.7627,3.1692,0.000297,0.6893
3,0.06,-,1.9774,1.7695,0.000296,0.5992
4,0.08,-,1.5188,1.6578,0.000296,0.6217
5,0.09,-,1.5598,1.2174,0.000295,0.6406
6,0.11,-,1.0415,1.57,0.000294,0.7613
7,0.12,-,1.5524,0.8163,0.000293,0.6923
8,0.14,-,1.7575,2.0162,0.000292,0.6155
9,0.15,-,1.803,2.0701,0.000291,0.5982
10,0.17,-,1.2795,1.4121,0.00029,0.6634
11,0.19,-,1.7194,3.2218,0.000289,0.6359
12,0.2,-,1.3259,2.6348,0.000288,0.7426
13,0.22,-,1.0373,1.68,0.000287,0.6794
14,0.23,-,1.601,2.9421,0.000286,0.621
15,0.25,-,1.4243,2.3305,0.000285,0.6859
16,0.26,-,1.8346,2.1993,0.000284,0.6269
17,0.28,-,1.8631,2.0938,0.000284,0.592
18,0.29,-,1.4297,2.8207,0.000283,0.6947
19,0.31,-,1.8787,1.9559,0.000282,0.5867
20,0.32,-,1.7429,1.8437,0.000281,0.5913
21,0.34,-,1.2523,2.3116,0.00028,0.6588
22,0.35,-,1.2489,1.6249,0.000279,0.7744
23,0.37,-,1.2723,2.3161,0.000278,0.6991
24,0.39,-,1.2497,2.361,0.000277,0.7292
25,0.4,-,1.5212,1.8301,0.000276,0.6552
26,0.42,-,1.6788,2.1803,0.000275,0.6269
27,0.43,-,1.0984,1.641,0.000274,0.7513
28,0.45,-,1.2705,1.7821,0.000273,0.6702
29,0.46,-,1.7924,1.4217,0.000272,0.6435
30,0.48,-,1.4833,2.6622,0.000271,0.722
31,0.49,-,1.5688,1.2287,0.000271,0.6354
32,0.51,-,1.5393,1.7239,0.00027,0.6226
33,0.52,-,2.2585,1.7155,0.000269,0.5417
34,0.54,-,1.3964,1.8859,0.000268,0.7091
35,0.56,-,1.5876,1.8147,0.000267,0.6374
36,0.57,-,1.2349,1.7656,0.000266,0.7319
37,0.59,-,1.7322,1.2281,0.000265,0.6158
38,0.6,-,1.2533,3.5656,0.000264,0.6794
39,0.62,-,1.2961,1.2825,0.000263,0.6853
40,0.63,-,1.8147,2.3875,0.000262,0.6029
41,0.65,-,1.6682,1.2599,0.000261,0.6053
42,0.66,-,1.4417,1.2393,0.00026,0.6998
43,0.68,-,0.9258,1.0501,0.000259,0.7527
44,0.69,-,1.523,2.8364,0.000259,0.6999
45,0.71,-,1.4179,1.7917,0.000258,0.6397
46,0.73,-,1.3294,0.8255,0.000257,0.6733
47,0.74,-,1.0612,0.6174,0.000256,0.8099
48,0.76,-,1.4125,1.8674,0.000255,0.6917
49,0.77,-,1.518,1.6654,0.000254,0.6054
50,0.79,-,1.7585,1.4565,0.000253,0.6052
51,0.8,-,2.0413,1.4418,0.000252,0.6353
52,0.82,-,1.3072,1.2534,0.000251,0.6532
53,0.83,-,1.0605,2.0856,0.00025,0.7251
54,0.85,-,1.2518,1.9917,0.000249,0.73
55,0.86,-,1.2134,2.0539,0.000248,0.6596
56,0.88,-,1.2939,1.9848,0.000247,0.6611
57,0.9,-,1.2558,1.7918,0.000246,0.6386
58,0.91,-,2.1106,1.8559,0.000246,0.5725
59,0.93,-,1.2593,1.5009,0.000245,0.6858
60,0.94,-,1.4742,1.339,0.000244,0.6505
61,0.96,-,1.4926,1.6755,0.000243,0.6876
62,0.97,-,1.2735,1.6613,0.000242,0.6662
63,0.99,-,1.4576,1.6231,0.000241,0.6868
64,1.0,2025-07-14 23:46:21,1.3809,1.3593,0.00024,0.6955
65,1.02,-,1.0078,1.0534,0.000239,0.7146
66,1.03,-,0.6903,1.4715,0.000238,0.8276
67,1.05,-,0.6305,0.85,0.000237,0.784
68,1.06,-,1.0087,1.4899,0.000236,0.7238
69,1.08,-,0.9068,1.6023,0.000235,0.7753
70,1.1,-,0.726,1.134,0.000234,0.7895
71,1.11,-,1.2274,2.0487,0.000234,0.699
72,1.13,-,0.9255,0.8052,0.000233,0.791
73,1.14,-,0.8406,1.7859,0.000232,0.7924
74,1.16,-,0.6272,0.7985,0.000231,0.8418
75,1.17,-,0.8984,1.2977,0.00023,0.7937
76,1.19,-,0.7544,1.8142,0.000229,0.7686
77,1.2,-,1.1039,1.6602,0.000228,0.7407
78,1.22,-,1.2937,1.1226,0.000227,0.6813
79,1.23,-,1.0425,1.1534,0.000226,0.7276
80,1.25,-,1.0076,1.7707,0.000225,0.7761
81,1.27,-,0.7603,1.7977,0.000224,0.7515
82,1.28,-,0.7179,0.7358,0.000223,0.8223
83,1.3,-,1.1112,1.794,0.000222,0.7505
84,1.31,-,0.8993,1.1605,0.000221,0.7386
85,1.33,-,0.7708,2.5354,0.000221,0.8107
86,1.34,-,1.1891,0.991,0.00022,0.71
87,1.36,-,0.9606,1.6314,0.000219,0.7848
88,1.37,-,1.1478,2.4183,0.000218,0.7028
89,1.39,-,1.1539,2.165,0.000217,0.6882
90,1.4,-,1.049,1.7947,0.000216,0.7354
91,1.42,-,0.6772,0.9144,0.000215,0.7705
92,1.44,-,0.9243,1.4417,0.000214,0.7452
93,1.45,-,1.1599,1.8972,0.000213,0.6939
94,1.47,-,1.2059,1.7872,0.000212,0.6667
95,1.48,-,1.0585,1.9889,0.000211,0.7388
96,1.5,-,0.9633,1.8043,0.00021,0.7641
97,1.51,-,0.7587,1.675,0.000209,0.7586
98,1.53,-,0.6235,1.2782,0.000209,0.7642
99,1.54,-,1.114,1.9444,0.000208,0.6952
100,1.56,-,0.8741,1.6018,0.000207,0.7535
101,1.57,-,1.1886,1.5481,0.000206,0.6801
102,1.59,-,0.8369,1.726,0.000205,0.7898
103,1.6,-,0.8074,1.7533,0.000204,0.7749
104,1.62,-,0.479,1.5794,0.000203,0.8216
105,1.64,-,0.7603,1.0651,0.000202,0.8244
106,1.65,-,0.8742,3.8448,0.000201,0.7776
107,1.67,-,0.7027,1.6501,0.0002,0.8244
108,1.68,-,0.6104,1.4239,0.000199,0.8088
109,1.7,-,1.147,2.0108,0.000198,0.7383
110,1.71,-,0.545,0.7701,0.000197,0.8431
111,1.73,-,0.7332,0.9958,0.000196,0.8185
112,1.74,-,0.8173,0.8181,0.000196,0.8015
113,1.76,-,0.8547,1.2949,0.000195,0.7718
114,1.77,-,0.8783,0.8026,0.000194,0.8227
115,1.79,-,0.7854,2.2291,0.000193,0.7887
116,1.81,-,1.353,1.7896,0.000192,0.6863
117,1.82,-,0.8007,1.1461,0.000191,0.7357
118,1.84,-,0.6615,0.7171,0.00019,0.819
119,1.85,-,1.1235,1.267,0.000189,0.7503
120,1.87,-,0.9606,2.2261,0.000188,0.7704
121,1.88,-,0.8716,0.879,0.000187,0.7544
122,1.9,-,0.6451,1.5187,0.000186,0.8308
123,1.91,-,0.7198,0.6074,0.000185,0.7487
124,1.93,-,0.7177,0.7743,0.000184,0.7852
125,1.94,-,1.2978,2.1859,0.000184,0.6935
126,1.96,-,0.8683,0.4504,0.000183,0.7696
127,1.98,-,1.2224,2.242,0.000182,0.6964
128,1.99,-,1.0718,2.0861,0.000181,0.7207
129,2.01,2025-07-14 23:59:56,0.7581,0.7008,0.00018,0.825
130,2.02,-,0.3507,1.3714,0.000179,0.9209
131,2.04,-,0.5882,1.3948,0.000178,0.8548
132,2.05,-,0.4449,1.0881,0.000177,0.8927
133,2.07,-,0.3333,0.8067,0.000176,0.9101
134,2.08,-,0.8259,13.6179,0.000175,0.8174
135,2.1,-,0.3384,0.7028,0.000174,0.9053
136,2.11,-,0.2549,0.7828,0.000173,0.9091
137,2.13,-,0.3698,1.1125,0.000172,0.8806
138,2.15,-,0.532,1.3889,0.000171,0.8381
139,2.16,-,0.5457,1.9089,0.000171,0.872
140,2.18,-,0.6114,0.8813,0.00017,0.806
141,2.19,-,0.5084,0.8922,0.000169,0.8709
142,2.21,-,0.4948,1.4697,0.000168,0.852
143,2.22,-,0.5776,1.1327,0.000167,0.8609
144,2.24,-,0.4674,0.7029,0.000166,0.8529
145,2.25,-,0.7335,1.3774,0.000165,0.8181
146,2.27,-,0.3516,0.5732,0.000164,0.896
147,2.28,-,0.2926,1.3992,0.000163,0.9103
148,2.3,-,0.5115,0.7494,0.000162,0.8926
149,2.31,-,0.546,0.6776,0.000161,0.805
150,2.33,-,0.733,1.2757,0.00016,0.823
151,2.35,-,0.7148,1.4884,0.000159,0.7671
152,2.36,-,0.5122,3.0675,0.000159,0.8515
153,2.38,-,0.8529,0.7829,0.000158,0.7993
154,2.39,-,0.2656,1.2193,0.000157,0.9158
155,2.41,-,0.4417,1.6957,0.000156,0.844
156,2.42,-,0.6237,1.1708,0.000155,0.8154
157,2.44,-,0.4683,0.9334,0.000154,0.8278
158,2.45,-,0.5704,1.5039,0.000153,0.7881
159,2.47,-,0.4667,1.3956,0.000152,0.8574
160,2.48,-,0.6131,1.5859,0.000151,0.8113
161,2.5,-,0.3446,0.3103,0.00015,0.899
162,2.52,-,0.3653,1.495,0.000149,0.8817
163,2.53,-,0.5225,1.1299,0.000148,0.8508
164,2.55,-,0.2811,0.0606,0.000147,0.9091
165,2.56,-,0.6351,1.628,0.000146,0.853
166,2.58,-,0.5484,0.7134,0.000146,0.8682
167,2.59,-,0.4341,1.6403,0.000145,0.8393
168,2.61,-,0.2461,1.2386,0.000144,0.9299
169,2.62,-,0.5642,1.6249,0.000143,0.8014
170,2.64,-,0.6775,6.7459,0.000142,0.8281
171,2.65,-,0.7813,1.5299,0.000141,0.7847
172,2.67,-,0.8038,2.5282,0.00014,0.7786
173,2.69,-,0.5802,1.8699,0.000139,0.8295
174,2.7,-,0.3225,1.4376,0.000138,0.8852
175,2.72,-,0.6135,2.0247,0.000137,0.7829
176,2.73,-,0.5046,1.7666,0.000136,0.8568
177,2.75,-,0.4968,1.3271,0.000135,0.8217
178,2.76,-,0.6918,2.154,0.000134,0.8138
179,2.78,-,0.4976,0.3918,0.000134,0.8571
180,2.79,-,0.2711,0.7853,0.000133,0.8846
181,2.81,-,0.3966,1.2651,0.000132,0.874
182,2.82,-,0.5138,1.244,0.000131,0.8
183,2.84,-,0.6217,1.0131,0.00013,0.8185
184,2.85,-,0.6343,1.7387,0.000129,0.8565
185,2.87,-,0.4213,0.3124,0.000128,0.865
186,2.89,-,0.4679,13.8481,0.000127,0.8746
187,2.9,-,0.3114,0.454,0.000126,0.9107
188,2.92,-,0.361,1.1264,0.000125,0.8654
189,2.93,-,0.6926,1.4003,0.000124,0.7715
190,2.95,-,0.4449,1.0183,0.000123,0.8479
191,2.96,-,0.4629,0.1323,0.000122,0.8573
192,2.98,-,0.336,1.7572,0.000121,0.9199
193,2.99,-,0.5217,1.4119,0.000121,0.8168
194,3.01,2025-07-15 00:14:26,0.2883,1.2289,0.00012,0.9091
195,3.02,-,0.2191,0.7145,0.000119,0.9232
196,3.04,-,0.2639,0.9444,0.000118,0.9295
197,3.06,-,0.2998,0.3273,0.000117,0.9032
198,3.07,-,0.3657,1.0674,0.000116,0.8913
199,3.09,-,0.0975,1.3048,0.000115,0.9733
200,3.1,-,0.1519,0.888,0.000114,0.9387
201,3.12,-,0.2633,0.9942,0.000113,0.9265
202,3.13,-,0.1696,1.7424,0.000112,0.9555
203,3.15,-,0.14,0.2362,0.000111,0.9673
204,3.16,-,0.2,0.3612,0.00011,0.917
205,3.18,-,0.2248,0.32,0.000109,0.9102
206,3.19,-,0.1512,1.1199,0.000109,0.9646
207,3.21,-,0.2926,1.041,0.000108,0.8735
208,3.23,-,0.1576,0.4748,0.000107,0.9468
209,3.24,-,0.151,1.4203,0.000106,0.9712
210,3.26,-,0.2206,0.9438,0.000105,0.909
211,3.27,-,0.3139,0.661,0.000104,0.9008
212,3.29,-,0.0975,0.2765,0.000103,0.9714
