,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.02,2025-07-16 17:20:32,2.7653,1.9196,0.0003,0.4469
1,0.03,-,1.7808,2.9291,0.000299,0.6749
2,0.05,-,1.8512,2.363,0.000299,0.6615
3,0.06,-,1.8512,2.8144,0.000298,0.5975
4,0.08,-,1.9772,2.7475,0.000298,0.6034
5,0.09,-,1.5166,2.5796,0.000297,0.6816
6,0.11,-,1.7703,1.965,0.000297,0.5878
7,0.12,-,1.5622,1.3168,0.000296,0.6247
8,0.14,-,1.1367,2.917,0.000296,0.7479
9,0.15,-,1.7628,2.2041,0.000295,0.5978
10,0.17,-,1.5297,1.3518,0.000295,0.6667
11,0.19,-,1.7221,2.4085,0.000295,0.6193
12,0.2,-,1.7227,1.5207,0.000294,0.5928
13,0.22,-,1.5871,1.8635,0.000294,0.6558
14,0.23,-,1.5246,1.5254,0.000293,0.6412
15,0.25,-,1.5532,1.8753,0.000293,0.6699
16,0.26,-,1.1767,1.3466,0.000292,0.6687
17,0.28,-,1.3543,1.6803,0.000292,0.7059
18,0.29,-,1.8307,1.8227,0.000291,0.5853
19,0.31,-,1.6322,2.6051,0.000291,0.6681
20,0.32,-,1.0541,0.509,0.00029,0.7668
21,0.34,-,1.352,2.7821,0.00029,0.6595
22,0.35,-,1.2395,1.6304,0.000289,0.7237
23,0.37,-,1.6262,1.9176,0.000289,0.6076
24,0.39,-,1.2634,1.4991,0.000289,0.7205
25,0.4,-,1.3916,2.1341,0.000288,0.6673
26,0.42,-,1.4334,1.5321,0.000288,0.6364
27,0.43,-,1.4365,1.9787,0.000287,0.6547
28,0.45,-,1.6356,1.2202,0.000287,0.6278
29,0.46,-,1.5474,1.5174,0.000286,0.6451
30,0.48,-,1.9195,2.2925,0.000286,0.606
31,0.49,-,1.924,1.9381,0.000285,0.5995
32,0.51,-,1.4542,1.1418,0.000285,0.6589
33,0.52,-,1.1827,0.5146,0.000284,0.711
34,0.54,-,1.4215,1.2449,0.000284,0.7497
35,0.56,-,1.5608,1.212,0.000283,0.6774
36,0.57,-,1.6372,1.936,0.000283,0.6456
37,0.59,-,1.4006,1.483,0.000282,0.6743
38,0.6,-,1.8045,1.5192,0.000282,0.5906
39,0.62,-,0.9285,1.3305,0.000282,0.7497
40,0.63,-,1.5204,1.8899,0.000281,0.6776
41,0.65,-,1.3648,1.0112,0.000281,0.7242
42,0.66,-,1.1587,1.4172,0.00028,0.7288
43,0.68,-,1.336,2.0128,0.00028,0.6797
44,0.69,-,1.47,1.6568,0.000279,0.645
45,0.71,-,1.6047,1.3913,0.000279,0.6221
46,0.73,-,1.6317,1.4888,0.000278,0.6432
47,0.74,-,1.4448,1.3995,0.000278,0.6685
48,0.76,-,1.6691,1.9855,0.000277,0.6514
49,0.77,-,1.7717,2.3114,0.000277,0.6172
50,0.79,-,1.5987,1.2686,0.000276,0.6381
51,0.8,-,1.1064,1.2716,0.000276,0.746
52,0.82,-,1.1675,2.1262,0.000276,0.7332
53,0.83,-,1.546,1.4982,0.000275,0.6465
54,0.85,-,1.2479,1.9185,0.000275,0.7495
55,0.86,-,1.3941,1.6541,0.000274,0.6312
56,0.88,-,1.673,1.3724,0.000274,0.6143
57,0.9,-,1.6563,1.3577,0.000273,0.6743
58,0.91,-,1.205,0.9317,0.000273,0.7485
59,0.93,-,1.3399,3.0139,0.000272,0.7077
60,0.94,-,1.6284,1.9791,0.000272,0.6074
61,0.96,-,1.3726,1.1993,0.000271,0.6699
62,0.97,-,1.1376,1.4752,0.000271,0.7417
63,0.99,-,1.5383,1.9213,0.00027,0.6363
64,1.0,2025-07-16 17:32:53,1.3628,1.6246,0.00027,0.6757
65,1.02,-,1.3556,1.3642,0.00027,0.6081
66,1.03,-,0.8381,1.0378,0.000269,0.7967
67,1.05,-,0.7167,1.3413,0.000269,0.7979
68,1.06,-,1.2857,1.534,0.000268,0.7193
69,1.08,-,0.8069,1.7387,0.000268,0.7831
70,1.1,-,0.7646,1.6952,0.000267,0.7875
71,1.11,-,0.9966,1.5532,0.000267,0.6981
72,1.13,-,0.7036,0.923,0.000266,0.8206
73,1.14,-,1.0342,1.0423,0.000266,0.6656
74,1.16,-,1.1325,0.9163,0.000265,0.6875
75,1.17,-,0.8032,1.0427,0.000265,0.7722
76,1.19,-,0.6818,1.9882,0.000264,0.7621
77,1.2,-,0.9515,1.1931,0.000264,0.7543
78,1.22,-,0.5761,1.1761,0.000264,0.8278
79,1.23,-,1.0961,2.4834,0.000263,0.7536
80,1.25,-,0.7962,0.6003,0.000263,0.766
81,1.27,-,0.8275,1.3565,0.000262,0.7817
82,1.28,-,0.9229,1.1771,0.000262,0.7465
83,1.3,-,0.908,1.2547,0.000261,0.7959
84,1.31,-,0.977,3.9731,0.000261,0.7628
85,1.33,-,0.8757,1.418,0.00026,0.7703
86,1.34,-,0.9396,1.4022,0.00026,0.7753
87,1.36,-,0.7017,1.1597,0.000259,0.8025
88,1.37,-,0.853,1.9653,0.000259,0.7531
89,1.39,-,1.0624,1.888,0.000258,0.7441
90,1.4,-,0.8743,1.4364,0.000258,0.7505
91,1.42,-,1.0257,1.9706,0.000257,0.7288
92,1.44,-,1.1329,1.5874,0.000257,0.6697
93,1.45,-,1.3805,1.7268,0.000257,0.6489
94,1.47,-,0.9637,1.5606,0.000256,0.7215
95,1.48,-,0.8474,1.7755,0.000256,0.8081
96,1.5,-,0.9621,1.9464,0.000255,0.7398
97,1.51,-,1.0123,1.8162,0.000255,0.7451
98,1.53,-,1.0047,1.4725,0.000254,0.6884
99,1.54,-,0.7175,1.5788,0.000254,0.755
100,1.56,-,0.9947,1.4621,0.000253,0.7273
101,1.57,-,1.3877,2.163,0.000253,0.7028
102,1.59,-,0.6091,1.4898,0.000252,0.8333
103,1.6,-,1.0194,0.8613,0.000252,0.7265
104,1.62,-,1.032,2.1523,0.000251,0.7469
105,1.64,-,1.1851,1.3755,0.000251,0.7303
106,1.65,-,0.7981,2.4631,0.000251,0.8257
107,1.67,-,0.7624,1.7814,0.00025,0.802
108,1.68,-,1.0116,1.4021,0.00025,0.7284
109,1.7,-,0.8878,1.1147,0.000249,0.7437
110,1.71,-,0.8773,0.8192,0.000249,0.74
111,1.73,-,1.0298,1.635,0.000248,0.7531
112,1.74,-,0.9275,0.7137,0.000248,0.7759
113,1.76,-,0.5568,1.2886,0.000247,0.8353
114,1.77,-,0.7313,1.2139,0.000247,0.8099
115,1.79,-,0.8125,3.4467,0.000246,0.7785
116,1.81,-,0.7604,1.9434,0.000246,0.7716
117,1.82,-,0.8366,2.0466,0.000245,0.7633
118,1.84,-,1.5081,1.999,0.000245,0.6847
119,1.85,-,0.8123,0.9776,0.000245,0.7854
120,1.87,-,0.9871,1.9543,0.000244,0.7411
121,1.88,-,1.1677,1.1361,0.000244,0.7042
122,1.9,-,1.2203,1.5505,0.000243,0.6381
123,1.91,-,0.8929,1.1015,0.000243,0.7819
124,1.93,-,0.7462,1.3184,0.000242,0.7845
125,1.94,-,0.8458,1.5737,0.000242,0.7699
126,1.96,-,1.3881,1.0739,0.000241,0.696
127,1.98,-,0.6268,0.8981,0.000241,0.8173
128,1.99,-,0.7829,1.6181,0.00024,0.7928
129,2.01,2025-07-16 17:46:44,1.039,1.6497,0.00024,0.7431
130,2.02,-,0.5369,1.268,0.000239,0.8412
131,2.04,-,0.3248,0.4096,0.000239,0.8925
132,2.05,-,0.3605,1.0225,0.000239,0.8698
133,2.07,-,0.4149,2.5653,0.000238,0.8633
134,2.08,-,0.48,1.2113,0.000238,0.8461
135,2.1,-,0.5714,1.476,0.000237,0.8252
136,2.11,-,0.4898,0.2779,0.000237,0.8694
137,2.13,-,0.8141,1.2101,0.000236,0.7981
138,2.15,-,0.5471,1.975,0.000236,0.8681
139,2.16,-,0.5499,1.5347,0.000235,0.8386
140,2.18,-,0.4566,1.1153,0.000235,0.8875
141,2.19,-,0.283,1.2082,0.000234,0.8983
142,2.21,-,0.4629,0.1213,0.000234,0.8607
143,2.22,-,0.5527,4.7632,0.000233,0.842
144,2.24,-,0.6428,4.8909,0.000233,0.7993
145,2.25,-,0.71,1.4634,0.000232,0.8032
146,2.27,-,0.3198,0.7587,0.000232,0.8811
147,2.28,-,0.5928,0.5559,0.000232,0.8118
148,2.3,-,0.3891,0.8024,0.000231,0.8643
149,2.31,-,0.5471,0.9023,0.000231,0.8507
150,2.33,-,0.6777,3.1978,0.00023,0.7602
151,2.35,-,0.4258,0.8646,0.00023,0.8677
152,2.36,-,0.6016,1.5579,0.000229,0.8493
153,2.38,-,0.5499,2.0445,0.000229,0.8652
154,2.39,-,0.5968,1.2569,0.000228,0.8235
155,2.41,-,0.5815,1.7792,0.000228,0.8659
156,2.42,-,0.5008,1.0446,0.000227,0.8562
157,2.44,-,0.504,0.8863,0.000227,0.8357
158,2.45,-,0.688,2.1875,0.000226,0.7874
159,2.47,-,0.8749,2.2659,0.000226,0.7919
160,2.48,-,0.8068,1.3513,0.000226,0.8003
161,2.5,-,0.4232,1.1666,0.000225,0.8856
162,2.52,-,0.4904,1.5693,0.000225,0.867
163,2.53,-,0.6952,1.7369,0.000224,0.7953
164,2.55,-,0.4709,2.2271,0.000224,0.8507
165,2.56,-,0.4818,1.7379,0.000223,0.8715
166,2.58,-,0.5753,1.3313,0.000223,0.825
167,2.59,-,0.6671,1.9371,0.000222,0.812
168,2.61,-,0.6969,2.5274,0.000222,0.8107
169,2.62,-,0.6424,1.7952,0.000221,0.8264
170,2.64,-,0.7348,0.8029,0.000221,0.802
171,2.65,-,0.8118,1.2677,0.00022,0.7778
172,2.67,-,0.5207,1.3354,0.00022,0.8376
173,2.69,-,0.4666,0.8832,0.00022,0.8434
174,2.7,-,0.522,1.0553,0.000219,0.8265
175,2.72,-,0.7288,1.0285,0.000219,0.7759
176,2.73,-,0.3536,1.0086,0.000218,0.8563
177,2.75,-,0.7251,1.2434,0.000218,0.7699
178,2.76,-,0.541,1.0563,0.000217,0.8661
179,2.78,-,0.467,0.6942,0.000217,0.8808
180,2.79,-,0.5417,1.6847,0.000216,0.8679
181,2.81,-,0.8913,1.9434,0.000216,0.8054
182,2.82,-,0.8495,2.7534,0.000215,0.7208
183,2.84,-,0.582,1.2054,0.000215,0.8498
184,2.85,-,0.5412,0.7119,0.000214,0.8079
185,2.87,-,0.5666,1.3807,0.000214,0.8296
186,2.89,-,0.8997,1.8455,0.000214,0.7308
