img_path,label
../datasets/cifar_10/train/airplane\0001.png,airplane
../datasets/cifar_10/train/airplane\0002.png,airplane
../datasets/cifar_10/train/airplane\0003.png,airplane
../datasets/cifar_10/train/airplane\0004.png,airplane
../datasets/cifar_10/train/airplane\0005.png,airplane
../datasets/cifar_10/train/airplane\0006.png,airplane
../datasets/cifar_10/train/airplane\0007.png,airplane
../datasets/cifar_10/train/airplane\0008.png,airplane
../datasets/cifar_10/train/airplane\0009.png,airplane
../datasets/cifar_10/train/airplane\0010.png,airplane
../datasets/cifar_10/train/airplane\0011.png,airplane
../datasets/cifar_10/train/airplane\0012.png,airplane
../datasets/cifar_10/train/airplane\0013.png,airplane
../datasets/cifar_10/train/airplane\0014.png,airplane
../datasets/cifar_10/train/airplane\0015.png,airplane
../datasets/cifar_10/train/airplane\0016.png,airplane
../datasets/cifar_10/train/airplane\0017.png,airplane
../datasets/cifar_10/train/airplane\0018.png,airplane
../datasets/cifar_10/train/airplane\0019.png,airplane
../datasets/cifar_10/train/airplane\0020.png,airplane
../datasets/cifar_10/train/airplane\0021.png,airplane
../datasets/cifar_10/train/airplane\0022.png,airplane
../datasets/cifar_10/train/airplane\0023.png,airplane
../datasets/cifar_10/train/airplane\0024.png,airplane
../datasets/cifar_10/train/airplane\0025.png,airplane
../datasets/cifar_10/train/airplane\0026.png,airplane
../datasets/cifar_10/train/airplane\0027.png,airplane
../datasets/cifar_10/train/airplane\0028.png,airplane
../datasets/cifar_10/train/airplane\0029.png,airplane
../datasets/cifar_10/train/airplane\0030.png,airplane
../datasets/cifar_10/train/airplane\0031.png,airplane
../datasets/cifar_10/train/airplane\0032.png,airplane
../datasets/cifar_10/train/airplane\0033.png,airplane
../datasets/cifar_10/train/airplane\0034.png,airplane
../datasets/cifar_10/train/airplane\0035.png,airplane
../datasets/cifar_10/train/airplane\0036.png,airplane
../datasets/cifar_10/train/airplane\0037.png,airplane
../datasets/cifar_10/train/airplane\0038.png,airplane
../datasets/cifar_10/train/airplane\0039.png,airplane
../datasets/cifar_10/train/airplane\0040.png,airplane
../datasets/cifar_10/train/airplane\0041.png,airplane
../datasets/cifar_10/train/airplane\0042.png,airplane
../datasets/cifar_10/train/airplane\0043.png,airplane
../datasets/cifar_10/train/airplane\0044.png,airplane
../datasets/cifar_10/train/airplane\0045.png,airplane
../datasets/cifar_10/train/airplane\0046.png,airplane
../datasets/cifar_10/train/airplane\0047.png,airplane
../datasets/cifar_10/train/airplane\0048.png,airplane
../datasets/cifar_10/train/airplane\0049.png,airplane
../datasets/cifar_10/train/airplane\0050.png,airplane
../datasets/cifar_10/train/airplane\0051.png,airplane
../datasets/cifar_10/train/airplane\0052.png,airplane
../datasets/cifar_10/train/airplane\0053.png,airplane
../datasets/cifar_10/train/airplane\0054.png,airplane
../datasets/cifar_10/train/airplane\0055.png,airplane
../datasets/cifar_10/train/airplane\0056.png,airplane
../datasets/cifar_10/train/airplane\0057.png,airplane
../datasets/cifar_10/train/airplane\0058.png,airplane
../datasets/cifar_10/train/airplane\0059.png,airplane
../datasets/cifar_10/train/airplane\0060.png,airplane
../datasets/cifar_10/train/airplane\0061.png,airplane
../datasets/cifar_10/train/airplane\0062.png,airplane
../datasets/cifar_10/train/airplane\0063.png,airplane
../datasets/cifar_10/train/airplane\0064.png,airplane
../datasets/cifar_10/train/airplane\0065.png,airplane
../datasets/cifar_10/train/airplane\0066.png,airplane
../datasets/cifar_10/train/airplane\0067.png,airplane
../datasets/cifar_10/train/airplane\0068.png,airplane
../datasets/cifar_10/train/airplane\0069.png,airplane
../datasets/cifar_10/train/airplane\0070.png,airplane
../datasets/cifar_10/train/airplane\0071.png,airplane
../datasets/cifar_10/train/airplane\0072.png,airplane
../datasets/cifar_10/train/airplane\0073.png,airplane
../datasets/cifar_10/train/airplane\0074.png,airplane
../datasets/cifar_10/train/airplane\0075.png,airplane
../datasets/cifar_10/train/airplane\0076.png,airplane
../datasets/cifar_10/train/airplane\0077.png,airplane
../datasets/cifar_10/train/airplane\0078.png,airplane
../datasets/cifar_10/train/airplane\0079.png,airplane
../datasets/cifar_10/train/airplane\0080.png,airplane
../datasets/cifar_10/train/airplane\0081.png,airplane
../datasets/cifar_10/train/airplane\0082.png,airplane
../datasets/cifar_10/train/airplane\0083.png,airplane
../datasets/cifar_10/train/airplane\0084.png,airplane
../datasets/cifar_10/train/airplane\0085.png,airplane
../datasets/cifar_10/train/airplane\0086.png,airplane
../datasets/cifar_10/train/airplane\0087.png,airplane
../datasets/cifar_10/train/airplane\0088.png,airplane
../datasets/cifar_10/train/airplane\0089.png,airplane
../datasets/cifar_10/train/airplane\0090.png,airplane
../datasets/cifar_10/train/airplane\0091.png,airplane
../datasets/cifar_10/train/airplane\0092.png,airplane
../datasets/cifar_10/train/airplane\0093.png,airplane
../datasets/cifar_10/train/airplane\0094.png,airplane
../datasets/cifar_10/train/airplane\0095.png,airplane
../datasets/cifar_10/train/airplane\0096.png,airplane
../datasets/cifar_10/train/airplane\0097.png,airplane
../datasets/cifar_10/train/airplane\0098.png,airplane
../datasets/cifar_10/train/airplane\0099.png,airplane
../datasets/cifar_10/train/airplane\0100.png,airplane
../datasets/cifar_10/train/airplane\0101.png,airplane
../datasets/cifar_10/train/airplane\0102.png,airplane
../datasets/cifar_10/train/airplane\0103.png,airplane
../datasets/cifar_10/train/airplane\0104.png,airplane
../datasets/cifar_10/train/airplane\0105.png,airplane
../datasets/cifar_10/train/airplane\0106.png,airplane
../datasets/cifar_10/train/airplane\0107.png,airplane
../datasets/cifar_10/train/airplane\0108.png,airplane
../datasets/cifar_10/train/airplane\0109.png,airplane
../datasets/cifar_10/train/airplane\0110.png,airplane
../datasets/cifar_10/train/airplane\0111.png,airplane
../datasets/cifar_10/train/airplane\0112.png,airplane
../datasets/cifar_10/train/airplane\0113.png,airplane
../datasets/cifar_10/train/airplane\0114.png,airplane
../datasets/cifar_10/train/airplane\0115.png,airplane
../datasets/cifar_10/train/airplane\0116.png,airplane
../datasets/cifar_10/train/airplane\0117.png,airplane
../datasets/cifar_10/train/airplane\0118.png,airplane
../datasets/cifar_10/train/airplane\0119.png,airplane
../datasets/cifar_10/train/airplane\0120.png,airplane
../datasets/cifar_10/train/airplane\0121.png,airplane
../datasets/cifar_10/train/airplane\0122.png,airplane
../datasets/cifar_10/train/airplane\0123.png,airplane
../datasets/cifar_10/train/airplane\0124.png,airplane
../datasets/cifar_10/train/airplane\0125.png,airplane
../datasets/cifar_10/train/airplane\0126.png,airplane
../datasets/cifar_10/train/airplane\0127.png,airplane
../datasets/cifar_10/train/airplane\0128.png,airplane
../datasets/cifar_10/train/airplane\0129.png,airplane
../datasets/cifar_10/train/airplane\0130.png,airplane
../datasets/cifar_10/train/airplane\0131.png,airplane
../datasets/cifar_10/train/airplane\0132.png,airplane
../datasets/cifar_10/train/airplane\0133.png,airplane
../datasets/cifar_10/train/airplane\0134.png,airplane
../datasets/cifar_10/train/airplane\0135.png,airplane
../datasets/cifar_10/train/airplane\0136.png,airplane
../datasets/cifar_10/train/airplane\0137.png,airplane
../datasets/cifar_10/train/airplane\0138.png,airplane
../datasets/cifar_10/train/airplane\0139.png,airplane
../datasets/cifar_10/train/airplane\0140.png,airplane
../datasets/cifar_10/train/airplane\0141.png,airplane
../datasets/cifar_10/train/airplane\0142.png,airplane
../datasets/cifar_10/train/airplane\0143.png,airplane
../datasets/cifar_10/train/airplane\0144.png,airplane
../datasets/cifar_10/train/airplane\0145.png,airplane
../datasets/cifar_10/train/airplane\0146.png,airplane
../datasets/cifar_10/train/airplane\0147.png,airplane
../datasets/cifar_10/train/airplane\0148.png,airplane
../datasets/cifar_10/train/airplane\0149.png,airplane
../datasets/cifar_10/train/airplane\0150.png,airplane
../datasets/cifar_10/train/airplane\0151.png,airplane
../datasets/cifar_10/train/airplane\0152.png,airplane
../datasets/cifar_10/train/airplane\0153.png,airplane
../datasets/cifar_10/train/airplane\0154.png,airplane
../datasets/cifar_10/train/airplane\0155.png,airplane
../datasets/cifar_10/train/airplane\0156.png,airplane
../datasets/cifar_10/train/airplane\0157.png,airplane
../datasets/cifar_10/train/airplane\0158.png,airplane
../datasets/cifar_10/train/airplane\0159.png,airplane
../datasets/cifar_10/train/airplane\0160.png,airplane
../datasets/cifar_10/train/airplane\0161.png,airplane
../datasets/cifar_10/train/airplane\0162.png,airplane
../datasets/cifar_10/train/airplane\0163.png,airplane
../datasets/cifar_10/train/airplane\0164.png,airplane
../datasets/cifar_10/train/airplane\0165.png,airplane
../datasets/cifar_10/train/airplane\0166.png,airplane
../datasets/cifar_10/train/airplane\0167.png,airplane
../datasets/cifar_10/train/airplane\0168.png,airplane
../datasets/cifar_10/train/airplane\0169.png,airplane
../datasets/cifar_10/train/airplane\0170.png,airplane
../datasets/cifar_10/train/airplane\0171.png,airplane
../datasets/cifar_10/train/airplane\0172.png,airplane
../datasets/cifar_10/train/airplane\0173.png,airplane
../datasets/cifar_10/train/airplane\0174.png,airplane
../datasets/cifar_10/train/airplane\0175.png,airplane
../datasets/cifar_10/train/airplane\0176.png,airplane
../datasets/cifar_10/train/airplane\0177.png,airplane
../datasets/cifar_10/train/airplane\0178.png,airplane
../datasets/cifar_10/train/airplane\0179.png,airplane
../datasets/cifar_10/train/airplane\0180.png,airplane
../datasets/cifar_10/train/airplane\0181.png,airplane
../datasets/cifar_10/train/airplane\0182.png,airplane
../datasets/cifar_10/train/airplane\0183.png,airplane
../datasets/cifar_10/train/airplane\0184.png,airplane
../datasets/cifar_10/train/airplane\0185.png,airplane
../datasets/cifar_10/train/airplane\0186.png,airplane
../datasets/cifar_10/train/airplane\0187.png,airplane
../datasets/cifar_10/train/airplane\0188.png,airplane
../datasets/cifar_10/train/airplane\0189.png,airplane
../datasets/cifar_10/train/airplane\0190.png,airplane
../datasets/cifar_10/train/airplane\0191.png,airplane
../datasets/cifar_10/train/airplane\0192.png,airplane
../datasets/cifar_10/train/airplane\0193.png,airplane
../datasets/cifar_10/train/airplane\0194.png,airplane
../datasets/cifar_10/train/airplane\0195.png,airplane
../datasets/cifar_10/train/airplane\0196.png,airplane
../datasets/cifar_10/train/airplane\0197.png,airplane
../datasets/cifar_10/train/airplane\0198.png,airplane
../datasets/cifar_10/train/airplane\0199.png,airplane
../datasets/cifar_10/train/airplane\0200.png,airplane
../datasets/cifar_10/train/airplane\0201.png,airplane
../datasets/cifar_10/train/airplane\0202.png,airplane
../datasets/cifar_10/train/airplane\0203.png,airplane
../datasets/cifar_10/train/airplane\0204.png,airplane
../datasets/cifar_10/train/airplane\0205.png,airplane
../datasets/cifar_10/train/airplane\0206.png,airplane
../datasets/cifar_10/train/airplane\0207.png,airplane
../datasets/cifar_10/train/airplane\0208.png,airplane
../datasets/cifar_10/train/airplane\0209.png,airplane
../datasets/cifar_10/train/airplane\0210.png,airplane
../datasets/cifar_10/train/airplane\0211.png,airplane
../datasets/cifar_10/train/airplane\0212.png,airplane
../datasets/cifar_10/train/airplane\0213.png,airplane
../datasets/cifar_10/train/airplane\0214.png,airplane
../datasets/cifar_10/train/airplane\0215.png,airplane
../datasets/cifar_10/train/airplane\0216.png,airplane
../datasets/cifar_10/train/airplane\0217.png,airplane
../datasets/cifar_10/train/airplane\0218.png,airplane
../datasets/cifar_10/train/airplane\0219.png,airplane
../datasets/cifar_10/train/airplane\0220.png,airplane
../datasets/cifar_10/train/airplane\0221.png,airplane
../datasets/cifar_10/train/airplane\0222.png,airplane
../datasets/cifar_10/train/airplane\0223.png,airplane
../datasets/cifar_10/train/airplane\0224.png,airplane
../datasets/cifar_10/train/airplane\0225.png,airplane
../datasets/cifar_10/train/airplane\0226.png,airplane
../datasets/cifar_10/train/airplane\0227.png,airplane
../datasets/cifar_10/train/airplane\0228.png,airplane
../datasets/cifar_10/train/airplane\0229.png,airplane
../datasets/cifar_10/train/airplane\0230.png,airplane
../datasets/cifar_10/train/airplane\0231.png,airplane
../datasets/cifar_10/train/airplane\0232.png,airplane
../datasets/cifar_10/train/airplane\0233.png,airplane
../datasets/cifar_10/train/airplane\0234.png,airplane
../datasets/cifar_10/train/airplane\0235.png,airplane
../datasets/cifar_10/train/airplane\0236.png,airplane
../datasets/cifar_10/train/airplane\0237.png,airplane
../datasets/cifar_10/train/airplane\0238.png,airplane
../datasets/cifar_10/train/airplane\0239.png,airplane
../datasets/cifar_10/train/airplane\0240.png,airplane
../datasets/cifar_10/train/airplane\0241.png,airplane
../datasets/cifar_10/train/airplane\0242.png,airplane
../datasets/cifar_10/train/airplane\0243.png,airplane
../datasets/cifar_10/train/airplane\0244.png,airplane
../datasets/cifar_10/train/airplane\0245.png,airplane
../datasets/cifar_10/train/airplane\0246.png,airplane
../datasets/cifar_10/train/airplane\0247.png,airplane
../datasets/cifar_10/train/airplane\0248.png,airplane
../datasets/cifar_10/train/airplane\0249.png,airplane
../datasets/cifar_10/train/airplane\0250.png,airplane
../datasets/cifar_10/train/airplane\0251.png,airplane
../datasets/cifar_10/train/airplane\0252.png,airplane
../datasets/cifar_10/train/airplane\0253.png,airplane
../datasets/cifar_10/train/airplane\0254.png,airplane
../datasets/cifar_10/train/airplane\0255.png,airplane
../datasets/cifar_10/train/airplane\0256.png,airplane
../datasets/cifar_10/train/airplane\0257.png,airplane
../datasets/cifar_10/train/airplane\0258.png,airplane
../datasets/cifar_10/train/airplane\0259.png,airplane
../datasets/cifar_10/train/airplane\0260.png,airplane
../datasets/cifar_10/train/airplane\0261.png,airplane
../datasets/cifar_10/train/airplane\0262.png,airplane
../datasets/cifar_10/train/airplane\0263.png,airplane
../datasets/cifar_10/train/airplane\0264.png,airplane
../datasets/cifar_10/train/airplane\0265.png,airplane
../datasets/cifar_10/train/airplane\0266.png,airplane
../datasets/cifar_10/train/airplane\0267.png,airplane
../datasets/cifar_10/train/airplane\0268.png,airplane
../datasets/cifar_10/train/airplane\0269.png,airplane
../datasets/cifar_10/train/airplane\0270.png,airplane
../datasets/cifar_10/train/airplane\0271.png,airplane
../datasets/cifar_10/train/airplane\0272.png,airplane
../datasets/cifar_10/train/airplane\0273.png,airplane
../datasets/cifar_10/train/airplane\0274.png,airplane
../datasets/cifar_10/train/airplane\0275.png,airplane
../datasets/cifar_10/train/airplane\0276.png,airplane
../datasets/cifar_10/train/airplane\0277.png,airplane
../datasets/cifar_10/train/airplane\0278.png,airplane
../datasets/cifar_10/train/airplane\0279.png,airplane
../datasets/cifar_10/train/airplane\0280.png,airplane
../datasets/cifar_10/train/airplane\0281.png,airplane
../datasets/cifar_10/train/airplane\0282.png,airplane
../datasets/cifar_10/train/airplane\0283.png,airplane
../datasets/cifar_10/train/airplane\0284.png,airplane
../datasets/cifar_10/train/airplane\0285.png,airplane
../datasets/cifar_10/train/airplane\0286.png,airplane
../datasets/cifar_10/train/airplane\0287.png,airplane
../datasets/cifar_10/train/airplane\0288.png,airplane
../datasets/cifar_10/train/airplane\0289.png,airplane
../datasets/cifar_10/train/airplane\0290.png,airplane
../datasets/cifar_10/train/airplane\0291.png,airplane
../datasets/cifar_10/train/airplane\0292.png,airplane
../datasets/cifar_10/train/airplane\0293.png,airplane
../datasets/cifar_10/train/airplane\0294.png,airplane
../datasets/cifar_10/train/airplane\0295.png,airplane
../datasets/cifar_10/train/airplane\0296.png,airplane
../datasets/cifar_10/train/airplane\0297.png,airplane
../datasets/cifar_10/train/airplane\0298.png,airplane
../datasets/cifar_10/train/airplane\0299.png,airplane
../datasets/cifar_10/train/airplane\0300.png,airplane
../datasets/cifar_10/train/airplane\0301.png,airplane
../datasets/cifar_10/train/airplane\0302.png,airplane
../datasets/cifar_10/train/airplane\0303.png,airplane
../datasets/cifar_10/train/airplane\0304.png,airplane
../datasets/cifar_10/train/airplane\0305.png,airplane
../datasets/cifar_10/train/airplane\0306.png,airplane
../datasets/cifar_10/train/airplane\0307.png,airplane
../datasets/cifar_10/train/airplane\0308.png,airplane
../datasets/cifar_10/train/airplane\0309.png,airplane
../datasets/cifar_10/train/airplane\0310.png,airplane
../datasets/cifar_10/train/airplane\0311.png,airplane
../datasets/cifar_10/train/airplane\0312.png,airplane
../datasets/cifar_10/train/airplane\0313.png,airplane
../datasets/cifar_10/train/airplane\0314.png,airplane
../datasets/cifar_10/train/airplane\0315.png,airplane
../datasets/cifar_10/train/airplane\0316.png,airplane
../datasets/cifar_10/train/airplane\0317.png,airplane
../datasets/cifar_10/train/airplane\0318.png,airplane
../datasets/cifar_10/train/airplane\0319.png,airplane
../datasets/cifar_10/train/airplane\0320.png,airplane
../datasets/cifar_10/train/airplane\0321.png,airplane
../datasets/cifar_10/train/airplane\0322.png,airplane
../datasets/cifar_10/train/airplane\0323.png,airplane
../datasets/cifar_10/train/airplane\0324.png,airplane
../datasets/cifar_10/train/airplane\0325.png,airplane
../datasets/cifar_10/train/airplane\0326.png,airplane
../datasets/cifar_10/train/airplane\0327.png,airplane
../datasets/cifar_10/train/airplane\0328.png,airplane
../datasets/cifar_10/train/airplane\0329.png,airplane
../datasets/cifar_10/train/airplane\0330.png,airplane
../datasets/cifar_10/train/airplane\0331.png,airplane
../datasets/cifar_10/train/airplane\0332.png,airplane
../datasets/cifar_10/train/airplane\0333.png,airplane
../datasets/cifar_10/train/airplane\0334.png,airplane
../datasets/cifar_10/train/airplane\0335.png,airplane
../datasets/cifar_10/train/airplane\0336.png,airplane
../datasets/cifar_10/train/airplane\0337.png,airplane
../datasets/cifar_10/train/airplane\0338.png,airplane
../datasets/cifar_10/train/airplane\0339.png,airplane
../datasets/cifar_10/train/airplane\0340.png,airplane
../datasets/cifar_10/train/airplane\0341.png,airplane
../datasets/cifar_10/train/airplane\0342.png,airplane
../datasets/cifar_10/train/airplane\0343.png,airplane
../datasets/cifar_10/train/airplane\0344.png,airplane
../datasets/cifar_10/train/airplane\0345.png,airplane
../datasets/cifar_10/train/airplane\0346.png,airplane
../datasets/cifar_10/train/airplane\0347.png,airplane
../datasets/cifar_10/train/airplane\0348.png,airplane
../datasets/cifar_10/train/airplane\0349.png,airplane
../datasets/cifar_10/train/airplane\0350.png,airplane
../datasets/cifar_10/train/airplane\0351.png,airplane
../datasets/cifar_10/train/airplane\0352.png,airplane
../datasets/cifar_10/train/airplane\0353.png,airplane
../datasets/cifar_10/train/airplane\0354.png,airplane
../datasets/cifar_10/train/airplane\0355.png,airplane
../datasets/cifar_10/train/airplane\0356.png,airplane
../datasets/cifar_10/train/airplane\0357.png,airplane
../datasets/cifar_10/train/airplane\0358.png,airplane
../datasets/cifar_10/train/airplane\0359.png,airplane
../datasets/cifar_10/train/airplane\0360.png,airplane
../datasets/cifar_10/train/airplane\0361.png,airplane
../datasets/cifar_10/train/airplane\0362.png,airplane
../datasets/cifar_10/train/airplane\0363.png,airplane
../datasets/cifar_10/train/airplane\0364.png,airplane
../datasets/cifar_10/train/airplane\0365.png,airplane
../datasets/cifar_10/train/airplane\0366.png,airplane
../datasets/cifar_10/train/airplane\0367.png,airplane
../datasets/cifar_10/train/airplane\0368.png,airplane
../datasets/cifar_10/train/airplane\0369.png,airplane
../datasets/cifar_10/train/airplane\0370.png,airplane
../datasets/cifar_10/train/airplane\0371.png,airplane
../datasets/cifar_10/train/airplane\0372.png,airplane
../datasets/cifar_10/train/airplane\0373.png,airplane
../datasets/cifar_10/train/airplane\0374.png,airplane
../datasets/cifar_10/train/airplane\0375.png,airplane
../datasets/cifar_10/train/airplane\0376.png,airplane
../datasets/cifar_10/train/airplane\0377.png,airplane
../datasets/cifar_10/train/airplane\0378.png,airplane
../datasets/cifar_10/train/airplane\0379.png,airplane
../datasets/cifar_10/train/airplane\0380.png,airplane
../datasets/cifar_10/train/airplane\0381.png,airplane
../datasets/cifar_10/train/airplane\0382.png,airplane
../datasets/cifar_10/train/airplane\0383.png,airplane
../datasets/cifar_10/train/airplane\0384.png,airplane
../datasets/cifar_10/train/airplane\0385.png,airplane
../datasets/cifar_10/train/airplane\0386.png,airplane
../datasets/cifar_10/train/airplane\0387.png,airplane
../datasets/cifar_10/train/airplane\0388.png,airplane
../datasets/cifar_10/train/airplane\0389.png,airplane
../datasets/cifar_10/train/airplane\0390.png,airplane
../datasets/cifar_10/train/airplane\0391.png,airplane
../datasets/cifar_10/train/airplane\0392.png,airplane
../datasets/cifar_10/train/airplane\0393.png,airplane
../datasets/cifar_10/train/airplane\0394.png,airplane
../datasets/cifar_10/train/airplane\0395.png,airplane
../datasets/cifar_10/train/airplane\0396.png,airplane
../datasets/cifar_10/train/airplane\0397.png,airplane
