,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.14,2026-06-03 17:13:38,2.3708,2.1229,0.000293,0.5659
1,0.28,-,1.5954,1.6317,0.000285,0.6706
2,0.42,-,1.9161,2.0141,0.000277,0.5903
3,0.56,-,1.2775,1.7266,0.000268,0.6942
4,0.69,-,1.3188,1.3797,0.00026,0.7025
5,0.83,-,1.3948,1.85,0.000252,0.6904
6,0.97,-,1.3397,1.4644,0.000243,0.6714
7,1.11,2026-06-03 17:16:56,0.9506,0.9427,0.000235,0.7852
8,1.25,-,0.6572,1.1129,0.000227,0.818
9,1.39,-,0.811,1.2593,0.000218,0.7956
10,1.53,-,0.7579,1.8478,0.00021,0.8131
11,1.67,-,0.649,1.1014,0.000202,0.8298
12,1.81,-,0.7655,1.2781,0.000193,0.8213
13,1.94,-,0.7324,1.442,0.000185,0.7819
14,2.08,2026-06-03 17:20:28,0.8205,1.1615,0.000177,0.7776
15,2.22,-,0.4853,1.102,0.000168,0.8606
16,2.36,-,0.3918,0.9033,0.00016,0.8863
17,2.5,-,0.3224,1.5232,0.000152,0.8926
18,2.64,-,0.4617,1.5275,0.000143,0.8601
19,2.78,-,0.3982,1.4416,0.000135,0.8748
20,2.92,-,0.4831,1.2928,0.000127,0.8614
21,3.06,2026-06-03 17:24:02,0.3074,1.3186,0.000118,0.9078
22,3.19,-,0.1752,0.5538,0.00011,0.9439
23,3.33,-,0.2667,0.7721,0.000102,0.9293
24,3.47,-,0.1707,1.365,9.3e-05,0.9464
25,3.61,-,0.2464,2.861,8.5e-05,0.9205
26,3.75,-,0.2504,1.1743,7.7e-05,0.9288
27,3.89,-,0.1988,0.9497,6.8e-05,0.9324
28,4.03,2026-06-03 17:27:47,0.3021,0.7134,6e-05,0.9108
29,4.17,-,0.0975,0.5206,5.2e-05,0.9822
30,4.31,-,0.1292,0.5197,4.3e-05,0.9611
31,4.44,-,0.1183,0.7113,3.5e-05,0.9636
32,4.58,-,0.1379,0.6607,2.7e-05,0.9675
33,4.72,-,0.1331,0.6831,1.8e-05,0.9476
34,4.86,-,0.1416,2.443,1e-05,0.9422
35,5.0,-,0.0946,0.6049,2e-06,0.9766
