code,probability,prob_human_validation,final_ground_truth
def blah,0.0,,
def j,0.0,,
baz2,0.0,,
stuff,0.0,,
def bar,0.0,,
mwm9,0.0,,
def zqgyhvt,0.0,,
i,0.0,,
def xqsh,0.0,,
c,0.0,,
ztwl,0.0,,
whatever,0.0,,
def lsbdhdm,0.0,,
cpwcvvk,0.0,,
def hdrc,0.0,,
def whvms,0.0,,
y,0.0,,
misc,0.0,,
mtxbj,0.0,,
dymlf,0.0,,
def mgg,0.0,,
xgcyqhc,0.0,,
b,0.0,,
rdslrns,0.0,,
dq,0.0,,
def hvyd,0.0,,
sszylbgb,0.0,,
rshbxqc,0.0,,
def ltvvwr,0.0,,
def gmjk,0.0,,
vndwq,0.0,,
rx,0.0,,
def cbnnv,0.0,,
def bcjdwgd,0.0,,
thing,0.0,,
k,0.0,,
def n,0.0,,
def zyk,0.0,,
ydlmkl,0.0,,
lcppxw,0.0,,
wfftj,0.0,,
def krk,0.0,,
cc,0.0,,
zshy,0.0,,
brstnqyj,0.0,,
vkk,0.0,,
a,0.0,,
m,0.0,,
jdmyq,0.0,,
lvqjmj,0.0,,
dncyqvh,0.0,,
def lnchkxt,0.0,,
def sfrc,0.0,,
khrfxl,0.0,,
wdjbvz9,0.0,,
def tmp,0.0,,
def zwl,0.0,,
gkxpqn2,0.0,,
sstypz,0.0,,
mkqkqssf,0.0,,
rg,0.0,,
def vhlf,0.0,,
zfqxwft,0.0,,
qkmpcbjl,0.0,,
pg,0.0,,
def dwmdgxj,0.0,,
def ngsclk2,0.0,,
fwvdwnlk,0.0,,
tm,0.0,,
def kv,0.0,,
def mbmqg,0.0,,
tygzngmg,0.0,,
def ywtqrpvs,0.0,,
def rcphrgd,0.0,,
scwftdw,0.0,,
vstl,0.0,,
nfcclrn,0.0,,
rxkcgkck,0.0,,
def x,0.0,,
def lxg,0.0,,
mxw,0.0,,
mnb,0.0,,
def rzysys,0.0,,
xhqqrbqr,0.0,,
dznbymyl,0.0,,
def hmgmqjdc,0.0,,
foo,0.0,,
qqqtg,0.0,,
def sgrw,0.0,,
baz,0.0,,
def wlkhwzkf,0.0,,
def pqqnfsfg,0.0,,
def bvw,0.0,,
def sg,0.0,,
def qkjkjf,0.0,,
def pnvhwpgy,0.0,,
def z,0.0,,
def kpjrx,0.0,,
def vrl,0.0,,
mnmq,0.0,,
def kcpkmk,0.0,,
def ynsrgtb,0.0,,
lwqpmj,0.0,,
kc,0.0,,
xddzhxrk,0.0,,
wy,0.0,,
zfx,0.0,,
kzqglkjz,0.0,,
rxvzn,0.0,,
def xkgw,0.0,,
def nybfdm,0.0,,
dwpvkdy,0.0,,
def kbckhdpy,0.0,,
def gttpl,0.0,,
def dhrp,0.0,,
kmmphqcj,0.0,,
def qq,0.0,,
def fxgmzm,0.0,,
def vttdt,0.0,,
def syjldsff,0.0,,
def lbv,0.0,,
fkbjhqd,0.0,,
clqfk,0.0,,
yykht,0.0,,
def tz,0.0,,
def fqmvjj,0.0,,
ynhmc,0.0,,
nlv,0.0,,
vbgtfb,0.0,,
nmhlc,0.0,,
yqzmhl,0.0,,
def kbvzp,0.0,,
def bvxxmvwq,0.0,,
def xfbtvqrq,0.0,,
def bcqtg,0.0,,
whkfbqwp,0.0,,
def lslrvxfv,0.0,,
def bgsyzkzn,0.0,,
def cgbnsp,0.0,,
cpc,0.0,,
gqttbds,0.0,,
whk,0.0,,
def jqj,0.0,,
bar7,0.0,,
bjvbfv,0.0,,
kpt,0.0,,
rsk,0.0,,
sssxlc,0.0,,
def qpskr,0.0,,
hw7,0.0,,
def bhml,0.0,,
def dm,0.0,,
def gnwsgk,0.0,,
fdjyyn,0.0,,
def ftgyzw,0.0,,
def rfntn,0.0,,
def gtkn,0.0,,
def tkkxkj,0.0,,
kw,0.0,,
m3,0.0,,
def qrd,0.0,,
def ttz,0.0,,
jdgcr,0.0,,
def qf,0.0,,
def hk,0.0,,
def bsf,0.0,,
def nr,0.0,,
jhjzfly,0.0,,
pgmgxf,0.0,,
def xl,0.0,,
def zlnv9,0.0,,
def smjgj,0.0,,
zmxhxpdz,0.0,,
lfclf,0.0,,
def pdrdsxl,0.0,,
xb,0.0,,
tlcrlh,0.0,,
cz,0.0,,
ndp,0.0,,
rzshfgf,0.0,,
def cggxxp,0.0,,
def nwsh,0.0,,
def xz,0.0,,
def zhxg,0.0,,
def cw,0.0,,
vcwljhtc,0.0,,
shbbfz,0.0,,
cshvdpyp,0.0,,
bzncgwj,0.0,,
def ddg,0.0,,
krxsdj,0.0,,
wfmnkzq,0.0,,
xbzwpc,0.0,,
def ffgt,0.0,,
qznhmzn,0.0,,
swkrbjqg,0.0,,
xhhcx,0.0,,
def xdmcgjn,0.0,,
gyts,0.0,,
jfrdw,0.0,,
def pm,0.0,,
def pbpyrqds,0.0,,
hnkgzk,0.0,,
kwpl,0.0,,
def dqwdlqhp,0.0,,
def tbff,0.0,,
vdn,0.0,,
jnsnnvc,0.0,,
def nhmpqd,0.0,,
myb,0.0,,
xfpgx,0.0,,
rqppy,0.0,,
gwzz,0.0,,
def kbxlvsw,0.0,,
def rz,0.0,,
def vwv,0.0,,
def gxr,0.0,,
def dl,0.0,,
def mnbtm,0.0,,
def kxfkfbdv,0.0,,
def nztgfpws,0.0,,
def xj,0.0,,
bxsdq,0.0,,
fkjg,0.0,,
hptszv,0.0,,
def jsm,0.0,,
jtfdp,0.0,,
c2,0.0,,
def i3,0.0,,
ykmhns,0.0,,
vbgnngg,0.0,,
def vvzc,0.0,,
gs,0.0,,
pmx,0.0,,
ztgskwzf,0.0,,
def lzyhl,0.0,,
gpmrxcyn,0.0,,
def fcjxn,0.0,,
kf,0.0,,
psfvnmpk,0.0,,
mwbdnyf,0.0,,
rr,0.0,,
khcp,0.0,,
def hstkcz,0.0,,
def hp,0.0,,
def vxdyfyqk,0.0,,
cdm,0.0,,
hwvmlp,0.0,,
def zk,0.0,,
tsqmpxrh,0.0,,
def rzqfnpm,0.0,,
def xkpdfdqx,0.0,,
def xxzvjg,0.0,,
def ghlqz,0.0,,
def ghzkp,0.0,,
def hhqgst,0.0,,
bgjzxhv,0.0,,
def cqd,0.0,,
def nqllrpbp,0.0,,
def jx,0.0,,
def rswnq,0.0,,
def grfjrtvl,0.0,,
def qw,0.0,,
def ghhjbs,0.0,,
def njpkvwdl2,0.0,,
gvprj,0.0,,
def twtndwy,0.0,,
mvbs,0.0,,
def vczsbyl,0.0,,
yv,0.0,,
def pxtwqdtl,0.0,,
bbz,0.0,,
cr,0.0,,
def bbcynvpm,0.0,,
tdqgspbl,0.0,,
def rw,0.0,,
def rkpwjz,0.0,,
def qsmrqy,0.0,,
def lksn,0.0,,
vsswy,0.0,,
mdhvc,0.0,,
wtkdws,0.0,,
zw,0.0,,
def hjct,0.0,,
trtl,0.0,,
bt,0.0,,
wzkjgbz,0.0,,
def sgb,0.0,,
def llyd,0.0,,
fc,0.0,,
ldkz,0.0,,
czrrtx,0.0,,
lds,0.0,,
def vj,0.0,,
def bsmnsvsg,0.0,,
def pnsvchy7,0.0,,
dzxdfsm,0.0,,
def xjkx,0.0,,
def rqznv,0.0,,
def slz,0.0,,
def gmmwksw,0.0,,
def nmjwthjl,0.0,,
def whqg,0.0,,
def rnfl,0.0,,
def wnh,0.0,,
def tsnz,0.0,,
dcmqt,0.0,,
def yrhjrn,0.0,,
def vxtpk,0.0,,
hyhtb,0.0,,
def zxwpvft,0.0,,
xfp,0.0,,
bqclm,0.0,,
def dk,0.0,,
gnxg,0.0,,
def splhv,0.0,,
