code_1,code_2,similarity,sim_human_validation,final_ground_truth
classify_pdf_text,primary_billing_address,0.0,,
get_current_user_profile,draft_network_packet,0.0,,
validate_product_catalog,cached_survey_response,0.0,,
validate_push_token,cart_total,0.0,,
resolve_retention_rate,product_catalog,0.0,,
find_pdf_text,local_ip_address,0.0,,
hash_account,current_cors_policy,0.0,,
resolve_json_payload,endpoint_url,0.0,,
parse_response_header,tax_rate,0.0,,
list_incident_ticket,permission_set,0.0,,
map_api_key,monthly_alert_rule,0.0,,
classify_tls_context,segment_list,0.0,,
open_maintenance_window,email_message,0.0,,
fetch_certificate_chain,tls_context,0.0,,
read_runbook_step,proxy_config,0.0,,
scan_email_message,purchase_order,0.0,,
load_runbook_step,primary_image_asset,0.0,,
validate_shipping_label,release_notes,0.0,,
decrypt_billing_address,http_response,0.0,,
open_local_segment_list,message_thread,0.0,,
check_login_attempt,network_packet,0.0,,
compile_recipient_list,data_frame,0.0,,
normalize_fulfillment_status,calendar_slot,0.0,,
check_thumbnail_url,invoice,0.0,,
create_container_image,model_score,0.0,,
hash_xml_document,recent_change_request,0.0,,
serialize_search_result,email_address,0.0,,
lookup_onboarding_step,refund_request,0.0,,
filter_threat_score,webhook_event,0.0,,
compile,inventory_level,0.0,,
lookup_remote_event_count,invoice,0.0,,
merge_file_metadata,chat_message,0.0,,
deduplicate_dataset_split,final_tax_rate,0.0,,
filter_file_metadata,daily_return_request,0.0,,
check_release_channel,staged_log_record,0.0,,
merge_backup_archive,layout_config,0.0,,
count_image_size,email_address,0.0,,
open_segment_list,local_credit_limit,0.0,,
hash_schema_field,refund_request,0.0,,
compile_user,product_feedback,0.0,,
convert_invoice,chart_config,0.0,,
build_http_response,message_thread,0.0,,
check_feature_flag,subject_line,0.0,,
map_cart_total,monthly_response_header,0.0,,
deserialize_json_payload,public_build_artifact,0.0,,
lookup_daily_xml_document,raw_certificate_chain,0.0,,
calculate_socket_timeout,form_field,0.0,,
lookup_feature_request,email_address,0.0,,
check_change_request,threat_score,0.0,,
normalize_feature_flag,current_text_embedding,0.0,,
check_warehouse_stock,cached_file_checksum,0.0,,
scan_email_template,media_duration,0.0,,
build_feature_request,thumbnail_url,0.0,,
lookup_secure_onboarding_step,pdf_text,0.0,,
load_table_index,monthly_message_thread,0.0,,
merge_security_alert,recent_metric_series,0.0,,
check_metric_series,secret_value,0.0,,
resolve_sku_record,alert_rule,0.0,,
classify_order_items,local_xml_document,0.0,,
check_retention_rate,daily_build_artifact,0.0,,
hash_runbook_step,video_frame,0.0,,
validate_proxy_config,subscription_plan,0.0,,
convert_service_level,active_xml_document,0.0,,
map_layout_config,draft_conversion_rate,0.0,,
encrypt_document_page,return_request,0.0,,
fetch_current_account_settings,video_frame,0.0,,
open_cached_encryption_key,final_pdf_text,0.0,,
open_xml_document,queue_message,0.0,,
lookup_default_permission_set,draft_chart_config,0.0,,
check_order,query_plan,0.0,,
lookup_public_access_scope,service_config,0.0,,
retrieve_invoice,retry_policy,0.0,,
