code_1,code_2,similarity,sim_human_validation,final_ground_truth
access_key_expiry,destination_coordinate_country,0.0,,
access_key_hash_mapping,ratio_rate,0.0,,
access_key_permission_mapping,initial_territory_primary_id,0.0,,
access_key_source_scope,pending_score_private_total,0.0,,
account_balance,merged_feature_accuracy,0.0,,
account_validation_created_at,validated_record_metadata,0.0,,
active_access_key_cache_issuer,ratio_rate_reference,0.0,,
active_report_primary_rate,entry_billing_id,0.0,,
active_schema_schema,private_territory_profile_longitude,0.0,,
active_token_issuer,input_score_name,0.0,,
active_trend_trend,schema_profile_id,0.0,,
application,region_latitude_data,0.0,,
authorization,input_label_shape,0.0,,
backup_policy_source_issuer,decoded_coordinate_code,0.0,,
backup_prediction_reference_weight,token_billing_issuer,0.0,,
branch_primary_path,origin_client_created_at,0.0,,
build_count,incoming_consumer_balance,0.0,,
build_default_count,output_customer_segment,0.0,,
build_time,user_name_context,0.0,,
cache_method_snapshot,locale_derived_address,0.0,,
cache_primary_available,coordinate_target_zone,0.0,,
cache_private_id,historical_territory_address,0.0,,
cache_profile_created_at,cached_territory_ready,0.0,,
cache_runtime_complete,shared_country_name,0.0,,
cache_training_payload,incoming_location_id,0.0,,
cached_account_balance,payload_created_at_details,0.0,,
cached_client_reference_identifier,filtered_metric_complete,0.0,,
cached_commit_enabled,product_derived_currency,0.0,,
cached_estimator_count,access_key_issuer,0.0,,
cached_forecast_count,encoded_artifact_name,0.0,,
cached_member_primary_email,target_schema_content,0.0,,
cached_payment_initialized,production_model_cache_weight,0.0,,
cached_segment_name,generated_snapshot_initialized,0.0,,
cached_service_mapping_headers,locale_code_metadata,0.0,,
cached_snapshot_version,resolved_region_required,0.0,,
cached_supplier_currency,latest_label_context_score,0.0,,
can_member_active,model_runtime_score,0.0,,
category_source_required,validated_snapshot_override_metadata,0.0,,
certificate_hash_reference,scheduled_locale_history_name,0.0,,
certificate_public_policy,origin_summary_segment,0.0,,
certificate_source_hash,encoded_ratio_period,0.0,,
chosen_account_balance,sample_public_shape,0.0,,
chosen_signature_hash,summary_validation_status,0.0,,
chosen_supplier_initialized,session_historical_duration,0.0,,
chosen_task_message,origin_product_quantity,0.0,,
classification,metric_output_info,0.0,,
client_identifier,prediction_output_mapping,0.0,,
client_identifier_reference,schema_override_id,0.0,,
client_name_metadata,repository_format,0.0,,
client_visible_details,schema_schema,0.0,,
