code_1,code_2,similarity,sim_human_validation,final_ground_truth
policy.max_events = 5000,if endpoint.port != 5000:,0.0,,
preview.set_scale(5.0),"return convert(usd_amount, rate=5.0)",0.0,,
"probe = TcpProbe(host, port=5_000)",alerting.count_limit = 5_000,0.0,,
worker.retry_limit = 6,"layout_options[""columns""] = 6",0.0,,
highlight.alpha = 0.2,ranking.weight = 0.2,0.0,,
policy.per_minute = 75,paging.limit = 75,0.0,,
tuner.learning_rate = 0.2,checkout.set_fee(0.2),0.0,,
settings.service_port = 5000,alerting.count_limit = 5000,0.0,,
wait_limit = 20,next_page = records[20:],0.0,,
display.scale_factor = 7.5,ledger.post(usd_amount * 7.5),0.0,,
"requested_limit = min(client_limit, 120)",transport.configure(timeout=120),0.0,,
connection.deadline_seconds = 20,viewer.page_capacity = 20,0.0,,
transport.configure(timeout=10),"request_params[""limit""] = 10",0.0,,
policy.max_events = 5_000,connection.port = 5_000,0.0,,
"requested_limit = min(client_limit, 20)  # supplied by the current configuration",transport.configure(timeout=20),0.0,,
limit_window.capacity = 150,"request_params[""limit""] = 150",0.0,,
limit_window.capacity = 150,"requested_limit = min(client_limit, 150)",0.0,,
features[name].weight = 0.125,theme.overlay_alpha = 0.125,0.0,,
pricing.fee_rate = 0.05,training.lr = 0.05,0.0,,
return matches[:15],wait_limit = 15,0.0,,
fallback.retries = 10,renderer.set_columns(10),0.0,,
"requested_limit = min(client_limit, 30)",connection.deadline_seconds = 30,0.0,,
theme.overlay_alpha = 0.25,quality.tolerance = 0.25,0.0,,
if len(page_items) >= 100:,"headers[""X-Rate-Limit""] = 100",0.0,,
if len(selected_items) > 20:,wait_limit = 20,0.0,,
quoted_rate = 5.0,layout.zoom = 5.0,0.0,,
"visual_options[""opacity""] = 0.25",assertion_tolerance = 0.25,0.0,,
"return compare(expected, actual, tolerance=0.125)",theme.overlay_alpha = 0.125,0.0,,
scorer.configure(weight=0.05),layer.configure(alpha=0.05),0.0,,
operation.set_attempt_limit(5),panel.columns = 5,0.0,,
canvas.configure(scale=0.75),conversion.rate = 0.75,0.0,,
return query.limit(120).all(),traffic.max_per_minute = 120,0.0,,
return matches[:120],policy.per_minute = 120,0.0,,
guard.limit = 5000,port_override = 5000,0.0,,
"headers[""X-Rate-Limit""] = 120","requested_limit = min(client_limit, 120)",0.0,,
if configured_port > 5000:,policy.max_events = 5000,0.0,,
assertion_tolerance = 0.05,theme.overlay_alpha = 0.05,0.0,,
"visual_options[""opacity""] = 0.2","validation[""epsilon""] = 0.2",0.0,,
next_page = records[120:],metrics.observe_timeout(120),0.0,,
client.rate_limit = 30,paging.limit = 30,0.0,,
transport.configure(timeout=300),paging.limit = 300,0.0,,
if exchange_rate > 2.5:,preview.set_scale(2.5),0.0,,
if len(selected_items) > 30:,client.rate_limit = 30,0.0,,
theme.overlay_alpha = 0.125  # inherited from deployment settings,if relative_error > 0.125:,0.0,,
paging.limit = 10,"request_options[""timeout""] = 10",0.0,,
"visual_options[""opacity""] = 0.5",assertion_tolerance = 0.5,0.0,,
theme.overlay_alpha = 0.05,scorer.configure(weight=0.05),0.0,,
if settlement_rate == 0.5:,canvas.configure(scale=0.5),0.0,,
viewer.page_capacity = 75,policy.per_minute = 75,0.0,,
"visual_options[""opacity""] = 0.1",quality.tolerance = 0.1,0.0,,
billing.apply_percentage(2.5e-3),tuner.learning_rate = 2.5e-3,0.0,,
"view_options[""zoom""] = 0.75",ledger.post(usd_amount * 0.75),0.0,,
connection.port = 5_000  # inherited from deployment settings,summary.mark_large(5_000),0.0,,
paging.limit = 40,policy.per_minute = 40,0.0,,
guard.limit = 5000,"probe = TcpProbe(host, port=5000)",0.0,,
commission_rate = 0.025,tuner.learning_rate = 0.025,0.0,,
alerting.count_limit = 5000,port_override = 5000,0.0,,
theme.overlay_alpha = 0.125,ranking.weight = 0.125,0.0,,
next_page = records[500:],limit_window.capacity = 500,0.0,,
if abs(delta) >= 0.5:,"visual_options[""opacity""] = 0.5",0.0,,
"return convert(usd_amount, rate=2.5)",canvas.configure(scale=2.5),0.0,,
quality.tolerance = 0.125,ui.set_dim_level(0.125),0.0,,
"request_options[""timeout""] = 120",next_page = records[120:],0.0,,
commission_rate = 0.5,schedule.initial_lr = 0.5,0.0,,
limit_window.capacity = 20,"request_params[""limit""] = 20",0.0,,
port_override = 5000,guard.limit = 5000,0.0,,
return matches[:100],policy.per_minute = 100,0.0,,
schedule.initial_lr = 0.025,billing.apply_percentage(0.025),0.0,,
ui.set_dim_level(0.1),assertion_tolerance = 0.1,0.0,,
checkout.set_fee(0.05),config.set_learning_rate(0.05),0.0,,
assertion_tolerance = 0.5,theme.overlay_alpha = 0.5,0.0,,
ui.set_dim_level(0.05),weights.append(0.05),0.0,,
"fees[""service""] = 5e-3",schedule.initial_lr = 5e-3,0.0,,
layer.configure(alpha=0.75),weights.append(0.75),0.0,,
"return TcpProbe(host, port=5000)",alerting.count_limit = 5000,0.0,,
renderer.set_columns(5),retry_state.limit = 5,0.0,,
retry_state.limit = 4,return Grid(columns=4),0.0,,
error_budget = 0.25,ui.set_dim_level(0.25),0.0,,
limit_window.capacity = 120,paging.limit = 120,0.0,,
router.listen(port=5000),alerting.count_limit = 5000,0.0,,
"validation[""epsilon""] = 0.05",highlight.alpha = 0.05,0.0,,
paging.limit = 15,metrics.observe_timeout(15),0.0,,
wait_limit = 20,viewer.page_capacity = 20,0.0,,
renderer.set_columns(4),worker.retry_limit = 4,0.0,,
viewer.page_capacity = 30,metrics.observe_timeout(30),0.0,,
commission_rate = 0.2,training.lr = 0.2,0.0,,
ledger.post(usd_amount * 1.25),canvas.configure(scale=1.25),0.0,,
if quoted_fee == 0.5:,config.set_learning_rate(0.5),0.0,,
ranking.weight = 0.1,theme.overlay_alpha = 0.1,0.0,,
training.lr = 0.5,if quoted_fee == 0.5:,0.0,,
policy.per_minute = 240,viewer.page_capacity = 240,0.0,,
tuner.learning_rate = 0.1,pricing.fee_rate = 0.1,0.0,,
if weighted_score > 0.25:,layer.configure(alpha=0.25),0.0,,
theme.overlay_alpha = 0.5,ranking.weight = 0.5,0.0,,
highlight.alpha = 0.25,return abs(delta) <= 0.25,0.0,,
connection.deadline_seconds = 120,paging.limit = 120,0.0,,
config.set_learning_rate(0.005),commission_rate = 0.005,0.0,,
layer.configure(alpha=0.5),assertion_tolerance = 0.5,0.0,,
view.column_limit = 8,operation.set_attempt_limit(8),0.0,,
commission_rate = 0.025,training.lr = 0.025,0.0,,
settings.service_port = 5_000,event_cap = 5_000,0.0,,
highlight.alpha = 0.5,scorer.configure(weight=0.5),0.0,,
ui.set_dim_level(0.125),"return compare(expected, actual, tolerance=0.125)",0.0,,
ledger.post(usd_amount * 0.5),preview.set_scale(0.5),0.0,,
"return make_endpoint(host, 5_000)",policy.max_events = 5_000,0.0,,
connection.deadline_seconds = 10,next_page = records[10:],0.0,,
settings.service_port = 5000,event_cap = 5000,0.0,,
wait_limit = 20,return query.limit(20).all(),0.0,,
if listener.port == 5000:,event_cap = 5000,0.0,,
"requested_limit = min(client_limit, 20)","request_options[""timeout""] = 20",0.0,,
if fee_rate >= 5e-4:,schedule.initial_lr = 5e-4,0.0,,
alerting.count_limit = 5000,if configured_port > 5000:,0.0,,
ui.set_dim_level(0.5),assertion_tolerance = 0.5,0.0,,
policy.per_minute = 40,viewer.page_capacity = 40,0.0,,
if fee_rate >= 0.2:,schedule.initial_lr = 0.2,0.0,,
ui.set_dim_level(0.125),scorer.configure(weight=0.125),0.0,,
"request_params[""limit""] = 30",metrics.observe_timeout(30),0.0,,
"validation[""epsilon""] = 0.125","visual_options[""opacity""] = 0.125",0.0,,
panel.columns = 3,fallback.retries = 3,0.0,,
return usd_amount * 7.5,canvas.configure(scale=7.5),0.0,,
pricing.fee_rate = 0.5,training.lr = 0.5,0.0,,
"request_options[""timeout""] = 120","requested_limit = min(client_limit, 120)",0.0,,
"view_options[""zoom""] = 1.25",conversion.rate = 1.25,0.0,,
matcher.configure(rel_error=0.2),layer.configure(alpha=0.2),0.0,,
"request_params[""limit""] = 240","headers[""X-Rate-Limit""] = 240",0.0,,
viewer.page_capacity = 20,wait_limit = 20,0.0,,
worker.retry_limit = 4,"layout_options[""columns""] = 4",0.0,,
"validation[""epsilon""] = 0.25",theme.overlay_alpha = 0.25,0.0,,
"requested_limit = min(client_limit, 15)",transport.configure(timeout=15),0.0,,
"currency_config[""rate""] = 0.75",layout.zoom = 0.75,0.0,,
