code,probability,prob_human_validation,final_ground_truth
campaign_code,0.0,,
owner_team,0.0,,
rotation_period,0.0,,
publish_state,0.0,,
fan_profile,0.0,,
department_name,0.0,,
notification_sound,0.0,,
gradient_clip,0.0,,
notification_email,0.0,,
purchase_order,0.0,,
timeout_seconds,0.0,,
retry_limit,0.0,,
audit_enabled,0.0,,
font_size,0.0,,
execution_mode,0.0,,
cache_dir,0.0,,
alert_threshold,0.0,,
retention_days,0.0,,
color_scheme,0.0,,
display_name,0.0,,
batch_size,0.0,,
loss_weight,0.0,,
approval_required,0.0,,
keyboard_layout,0.0,,
audio_volume,0.0,,
delivery_channel,0.0,,
log_file,0.0,,
poll_interval,0.0,,
working_directory,0.0,,
sidebar_open,0.0,,
archive_path,0.0,,
power_mode,0.0,,
max_attempts,0.0,,
webhook_url,0.0,,
model_name,0.0,,
log_level,0.0,,
checkpoint_step,0.0,,
escalation_policy,0.0,,
temp_dir,0.0,,
reviewer_count,0.0,,
article_slug,0.0,,
feature_count,0.0,,
job_name,0.0,,
locale,0.0,,
thermal_limit,0.0,,
queue_depth,0.0,,
comment_count,0.0,,
dropout_rate,0.0,,
signature_key,0.0,,
compact_view,0.0,,
task_label,0.0,,
incident_owner,0.0,,
usb_mode,0.0,,
deployment_stage,0.0,,
digest_frequency,0.0,,
visibility_scope,0.0,,
mute_until,0.0,,
battery_level,0.0,,
access_level,0.0,,
sms_enabled,0.0,,
output_dir,0.0,,
template_key,0.0,,
learning_rate,0.0,,
change_ticket,0.0,,
random_seed,0.0,,
content_rating,0.0,,
file_encoding,0.0,,
theme_name,0.0,,
approval_state,0.0,,
backoff_factor,0.0,,
run_id,0.0,,
show_timestamps,0.0,,
customer_tier,0.0,,
revision_note,0.0,,
debug_mode,0.0,,
epoch_count,0.0,,
compliance_mode,0.0,,
lock_path,0.0,,
trace_enabled,0.0,,
sleep_timeout,0.0,,
"owner_team,show_timestamps",0.0,,
"working_directory,department_name",0.0,,
"cache_dir,purchase_order",0.0,,
"change_ticket,escalation_policy",0.0,,
"customer_tier,learning_rate",0.0,,
"battery_level,debug_mode",0.0,,
"digest_frequency,debug_mode",0.0,,
"trace_enabled,webhook_url",0.0,,
"author_alias,mute_until",0.0,,
"webhook_url,archive_path",0.0,,
"policy_name,battery_level",0.0,,
"dropout_rate,lock_path",0.0,,
"audit_enabled,priority_level",0.0,,
"sleep_timeout,revision_note",0.0,,
"audio_volume,article_slug",0.0,,
"job_name,retention_days",0.0,,
"author_alias,loss_weight",0.0,,
"locale,release_channel",0.0,,
"audit_enabled,log_file",0.0,,
"working_directory,approval_state",0.0,,
"release_channel,power_mode",0.0,,
"lock_path,batch_size",0.0,,
"power_mode,debug_mode",0.0,,
"learning_rate,visibility_scope",0.0,,
"worker_count,page_title",0.0,,
"sidebar_open,random_seed",0.0,,
"poll_interval,date_format",0.0,,
"reviewer_count,log_file",0.0,,
"reviewer_count,font_size",0.0,,
"template_key,webhook_url",0.0,,
"revision_note,delivery_channel",0.0,,
"job_name,cost_center",0.0,,
"task_label,summary_text",0.0,,
"archive_path,queue_depth",0.0,,
"queue_depth,reviewer_count",0.0,,
"task_label,content_rating",0.0,,
"owner_team,delivery_channel",0.0,,
"retry_limit,display_name",0.0,,
"file_encoding,poll_interval",0.0,,
"purchase_order,incident_owner",0.0,,
"execution_mode,feature_count",0.0,,
"debug_mode,mute_until",0.0,,
"priority_level,retry_limit",0.0,,
"access_level,release_channel",0.0,,
"batch_size,worker_count",0.0,,
"signature_key,approval_state",0.0,,
"retention_days,feature_count",0.0,,
"random_seed,template_key",0.0,,
"sidebar_open,dropout_rate",0.0,,
"display_name,audit_enabled",0.0,,
"department_name,gradient_clip",0.0,,
"sidebar_open,audit_enabled",0.0,,
"sidebar_open,notification_email",0.0,,
"model_name,debug_mode",0.0,,
"display_name,random_seed",0.0,,
"alert_threshold,department_name",0.0,,
"log_level,mute_until",0.0,,
"archive_path,font_size",0.0,,
"cost_center,dropout_rate",0.0,,
"date_format,file_encoding",0.0,,
"approval_state,checkpoint_step",0.0,,
"invoice_id,screen_brightness",0.0,,
"purchase_order,template_key",0.0,,
"worker_count,purchase_order",0.0,,
"checkpoint_step,change_ticket",0.0,,
"learning_rate,sender_name",0.0,,
"reviewer_count,page_title",0.0,,
"priority_level,escalation_policy",0.0,,
"log_file,random_seed",0.0,,
"priority_level,audit_enabled",0.0,,
"log_level,publish_state",0.0,,
"sender_name,customer_tier",0.0,,
"alert_threshold,loss_weight",0.0,,
"lock_path,sender_name",0.0,,
"message_template,risk_level",0.0,,
"sms_enabled,loss_weight",0.0,,
"deployment_stage,locale",0.0,,
"campaign_code,audio_volume",0.0,,
"trace_enabled,model_name",0.0,,
"config_path,usb_mode",0.0,,
"compliance_mode,change_ticket",0.0,,
"debug_mode,log_file",0.0,,
"approval_state,config_path",0.0,,
"compliance_mode,font_size",0.0,,
"campaign_code,animation_speed",0.0,,
"revision_note,font_size",0.0,,
"escalation_policy,theme_name",0.0,,
"font_size,message_template",0.0,,
"revision_note,approval_state",0.0,,
"visibility_scope,show_timestamps",0.0,,
"comment_count,deployment_stage",0.0,,
"show_timestamps,access_level",0.0,,
"log_file,font_size",0.0,,
"revision_note,trace_enabled",0.0,,
"learning_rate,notification_email",0.0,,
"author_alias,cache_dir",0.0,,
"backoff_factor,message_template",0.0,,
"animation_speed,publish_state",0.0,,
"date_format,output_dir",0.0,,
"summary_text,display_name",0.0,,
"temp_dir,execution_mode",0.0,,
"compact_view,sms_enabled",0.0,,
"cache_dir,theme_name",0.0,,
"batch_size,review_window",0.0,,
"customer_tier,comment_count",0.0,,
"log_level,font_size",0.0,,
"log_file,page_title",0.0,,
"job_name,audio_volume",0.0,,
"color_scheme,epoch_count",0.0,,
"contract_number,screen_brightness",0.0,,
"poll_interval,log_file",0.0,,
"department_name,theme_name",0.0,,
"digest_frequency,config_path",0.0,,
"backoff_factor,batch_size",0.0,,
"worker_count,model_name",0.0,,
"compliance_mode,log_level",0.0,,
"temp_dir,timeout_seconds",0.0,,
"review_window,content_rating",0.0,,
"signature_key,output_dir",0.0,,
"tag_name,archive_path",0.0,,
"audit_enabled,article_slug",0.0,,
"contract_number,summary_text",0.0,,
"debug_mode,sender_name",0.0,,
"compliance_mode,animation_speed",0.0,,
"cache_dir,release_channel",0.0,,
"risk_level,template_key",0.0,,
"execution_mode,power_mode",0.0,,
"debug_mode,invoice_id",0.0,,
"message_template,retention_days",0.0,,
"delivery_channel,fan_profile",0.0,,
"approval_state,debug_mode",0.0,,
"delivery_channel,incident_owner",0.0,,
"feature_count,poll_interval",0.0,,
"sender_name,invoice_id",0.0,,
"customer_tier,mute_until",0.0,,
"approval_required,signature_key",0.0,,
"log_level,show_timestamps",0.0,,
"priority_level,batch_size",0.0,,
"timeout_seconds,epoch_count",0.0,,
"sleep_timeout,rotation_period",0.0,,
"risk_level,log_level",0.0,,
"comment_count,checkpoint_step",0.0,,
"cache_dir,approval_state",0.0,,
"color_scheme,signature_key",0.0,,
"max_attempts,audit_enabled",0.0,,
"theme_name,audio_volume",0.0,,
"incident_owner,change_ticket",0.0,,
"access_level,display_name",0.0,,
"sender_name,trace_enabled",0.0,,
"policy_name,approval_required",0.0,,
"compact_view,keyboard_layout",0.0,,
"log_level,output_dir",0.0,,
"page_title,campaign_code",0.0,,
"model_name,locale",0.0,,
"content_rating,signature_key",0.0,,
