code,probability,prob_human_validation,final_ground_truth
"formRed,formGreen,formBlue,formAlpha",0.0,,
"plotLatitude,plotLongitude",0.0,,
"dialog_foreground_red,dialog_foreground_green,dialog_foreground_blue,dialog_background_red,dialog_background_green,dialog_background_blue",0.0,,
"firstAvatarLeft,firstAvatarTop,firstAvatarRight,firstAvatarBottom,secondAvatarLeft,secondAvatarTop,secondAvatarRight,secondAvatarBottom",0.0,,
"window_red,window_green,window_blue,window_alpha",0.0,,
"panel_start_year,panel_start_month,panel_start_day,panel_end_year,panel_end_month,panel_end_day",0.0,,
"cover_start_year,cover_start_month,cover_start_day,cover_end_year,cover_end_month,cover_end_day",0.0,,
"first_texture_left,first_texture_top,first_texture_right,first_texture_bottom,second_texture_left,second_texture_top,second_texture_right,second_texture_bottom",0.0,,
"condition,when_true,when_false",0.0,,
"fromLatitude,fromLongitude,toLatitude,toLongitude",0.0,,
"bufferMinX,bufferMaxX,bufferMinY,bufferMaxY,bufferStep",0.0,,
"label_red,label_green,label_blue,label_alpha",0.0,,
"cardRed,cardGreen,cardBlue,cardAlpha",0.0,,
"comparison,whenTrue,whenFalse",0.0,,
"from_latitude,from_longitude,to_latitude,to_longitude",0.0,,
"region_year,region_month,region_day",0.0,,
"camera_x,camera_y,camera_z,target_x,target_y,target_z,field_of_view,near_clip",0.0,,
"bannerForegroundRed,bannerForegroundGreen,bannerForegroundBlue,bannerBackgroundRed,bannerBackgroundGreen,bannerBackgroundBlue",0.0,,
"report_left,report_top,report_right,report_bottom",0.0,,
"documentYear,documentMonth,documentDay,documentHour,documentMinute,documentSecond,documentTimezone",0.0,,
"hue,saturation,brightness",0.0,,
"cameraX,cameraY,cameraZ,targetX,targetY,targetZ,fieldOfView,nearClip",0.0,,
"imageWidth,imageHeight",0.0,,
"firstReportLeft,firstReportTop,firstReportRight,firstReportBottom,secondReportLeft,secondReportTop,secondReportRight,secondReportBottom",0.0,,
"graphRed,graphGreen,graphBlue,graphAlpha",0.0,,
"grid_min_x,grid_max_x,grid_min_y,grid_max_y,grid_step",0.0,,
"document_red,document_green,document_blue,document_alpha",0.0,,
"map_min_x,map_max_x,map_min_y,map_max_y,map_step",0.0,,
"photoYear,photoMonth,photoDay",0.0,,
"profileStartYear,profileStartMonth,profileStartDay,profileEndYear,profileEndMonth,profileEndDay",0.0,,
"lower_duration,upper_duration",0.0,,
"video_left,video_top,video_right,video_bottom",0.0,,
"numerator,denominator",0.0,,
"lowerValue,upperValue",0.0,,
"video_year,video_month,video_day",0.0,,
"host,port,username,password",0.0,,
"profileLeft,profileTop,profileRight,profileBottom,profilePaddingX,profilePaddingY,profileRotation",0.0,,
"table_year,table_month,table_day",0.0,,
"guard,when_true,when_false",0.0,,
"canvasStartYear,canvasStartMonth,canvasStartDay,canvasEndYear,canvasEndMonth,canvasEndDay",0.0,,
"canvasLatitude,canvasLongitude",0.0,,
"source_image,destination_image",0.0,,
"clip_year,clip_month,clip_day,clip_hour,clip_minute,clip_second,clip_timezone",0.0,,
"badgeRed,badgeGreen,badgeBlue,badgeAlpha",0.0,,
"reportRed,reportGreen,reportBlue,reportAlpha",0.0,,
"comparison,when_true,when_false",0.0,,
"card_left,card_top,card_right,card_bottom",0.0,,
"coverYear,coverMonth,coverDay,coverHour,coverMinute,coverSecond,coverTimezone",0.0,,
"camera_red,camera_green,camera_blue,camera_alpha",0.0,,
"lower_ratio,upper_ratio",0.0,,
"first_cover_left,first_cover_top,first_cover_right,first_cover_bottom,second_cover_left,second_cover_top,second_cover_right,second_cover_bottom",0.0,,
"table_left,table_top,table_right,table_bottom,table_padding_x,table_padding_y,table_rotation",0.0,,
"chart_latitude,chart_longitude",0.0,,
"predicate,whenTrue,whenFalse",0.0,,
"barcode_year,barcode_month,barcode_day",0.0,,
"dialog_left,dialog_top,dialog_right,dialog_bottom",0.0,,
"stampSourceX,stampSourceY,stampSourceZ,stampTargetX,stampTargetY,stampTargetZ",0.0,,
"plot_latitude,plot_longitude",0.0,,
"leftBuffer,rightBuffer",0.0,,
"quaternionW,quaternionX,quaternionY,quaternionZ,scaleFactor",0.0,,
"tableRed,tableGreen,tableBlue,tableAlpha",0.0,,
"documentYear,documentMonth,documentDay",0.0,,
"dialog_year,dialog_month,dialog_day",0.0,,
"graph_start_year,graph_start_month,graph_start_day,graph_end_year,graph_end_month,graph_end_day",0.0,,
"plotLeft,plotTop,plotRight,plotBottom",0.0,,
"test,whenTrue,whenFalse",0.0,,
"mean,standardDeviation,lowerBound,upperBound,confidenceLevel",0.0,,
"sourceFile,destinationFile",0.0,,
"window_year,window_month,window_day",0.0,,
"chartYear,chartMonth,chartDay",0.0,,
"banner_red,banner_green,banner_blue,banner_alpha",0.0,,
"firstGraphLeft,firstGraphTop,firstGraphRight,firstGraphBottom,secondGraphLeft,secondGraphTop,secondGraphRight,secondGraphBottom",0.0,,
"lowerWeight,upperWeight",0.0,,
"firstLabelLeft,firstLabelTop,firstLabelRight,firstLabelBottom,secondLabelLeft,secondLabelTop,secondLabelRight,secondLabelBottom",0.0,,
"quaternion_w,quaternion_x,quaternion_y,quaternion_z,scale_factor",0.0,,
"first_clip_left,first_clip_top,first_clip_right,first_clip_bottom,second_clip_left,second_clip_top,second_clip_right,second_clip_bottom",0.0,,
"windowYear,windowMonth,windowDay",0.0,,
"badgeLeft,badgeTop,badgeRight,badgeBottom,badgePaddingX,badgePaddingY,badgeRotation",0.0,,
"reportYear,reportMonth,reportDay,reportHour,reportMinute,reportSecond,reportTimezone",0.0,,
"card_year,card_month,card_day",0.0,,
"tile_year,tile_month,tile_day",0.0,,
"firstPlotLeft,firstPlotTop,firstPlotRight,firstPlotBottom,secondPlotLeft,secondPlotTop,secondPlotRight,secondPlotBottom",0.0,,
"gridRed,gridGreen,gridBlue",0.0,,
