,task_id,func_name,text1,text2,result,inference_time,timestamp
0,01_unnecessary_prints,get_prob,"logger.info(""3335555"")",,0.5446581,0.281,1790413843.046
1,01_unnecessary_prints,get_prob,print(IMPORT_NUM),,0.21238165,0.047,1790413843.093
2,01_unnecessary_prints,get_prob,print(imported_value),,0.26368412,0.031,1790413843.124
3,01_unnecessary_prints,get_prob,"logger.warning(""server error detected"")",,0.42512554,0.031,1790413843.156
4,01_unnecessary_prints,get_prob,"logger.error(""server fault"")",,0.2805484,0.031,1790413843.187
5,01_unnecessary_prints,get_prob,"logger.info(""info"")",,0.49352202,0.047,1790413843.234
6,01_unnecessary_prints,get_prob,"logger.debug(""debug"")",,0.39072028,0.031,1790413843.265
7,01_unnecessary_prints,get_prob,logger.debug('debug test'),,0.45949575,0.031,1790413843.296
8,01_unnecessary_prints,get_prob,"logger.critical(""CRITICAL ERROR DETECTED !!"")",,0.5164945,0.031,1790413843.328
9,01_unnecessary_prints,get_prob,print('test'),,0.48163944,0.031,1790413843.359
10,01_unnecessary_prints,get_prob,"print(""testing ..."")",,0.557437,0.031,1790413843.406
11,01_unnecessary_prints,get_prob,print(1),,0.37586057,0.031,1790413843.437
12,01_unnecessary_prints,get_prob,print(logger),,0.31150413,0.031,1790413843.468
13,01_unnecessary_prints,get_prob,print(2 + len(str(logger))),,0.3599753,0.031,1790413843.499
14,01_unnecessary_prints,get_prob,print('ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd more than line length 120 ========================='),,0.4661875,0.031,1790413843.546
15,01_unnecessary_prints,get_prob,"print(without_type_hint(2025, 113, 'REBEL HEART'))",,0.3263478,0.031,1790413843.578
16,01_unnecessary_prints,get_prob,"print(with_type_hint(2025, 113, 'REBEL HEART'))",,0.3583054,0.031,1790413843.609
17,01_unnecessary_prints,get_prob,print(1234),,0.5212919,0.031,1790413843.64
18,01_unnecessary_prints,get_prob,print(5678),,0.44414136,0.047,1790413843.687
19,01_unnecessary_prints,get_prob,print(sum([p for p in primes if p >= 10])),,0.47924605,0.031,1790413843.718
20,01_unnecessary_prints,get_prob,print(max([p for p in primes if p % 3 == 2])),,0.54895645,0.031,1790413843.749
21,01_unnecessary_prints,get_prob,print(min([p for p in primes if p % 3 == 1])),,0.5389972,0.031,1790413843.781
22,01_unnecessary_prints,get_prob,print(all([p % 2 == 1 for p in primes])),,0.5919803,0.047,1790413843.828
23,01_unnecessary_prints,get_prob,print(any([p % 2 == 1 for p in primes])),,0.61728346,0.031,1790413843.859
24,01_unnecessary_prints,get_prob,print(sum(p for p in primes if p >= 10)),,0.45197612,0.031,1790413843.89
25,01_unnecessary_prints,get_prob,print(max(p for p in primes if p % 3 == 2)),,0.5375298,0.031,1790413843.921
26,01_unnecessary_prints,get_prob,print(min(p for p in primes if p % 3 == 1)),,0.54596037,0.031,1790413843.953
27,01_unnecessary_prints,get_prob,print(all(p % 2 == 1 for p in primes)),,0.5937763,0.031,1790413843.999
28,01_unnecessary_prints,get_prob,print(any(p % 2 == 1 for p in primes)),,0.6032145,0.031,1790413844.031
