,epochs,steps,valid_similarity_score,valid_mse,valid_mae,test_time
0,0.33,125,0.807653,0.04799,0.175857,
1,0.67,250,0.807044,0.048008,0.175868,
2,1.0,375,0.807157,0.047953,0.175784,
3,1.33,500,0.807761,0.047833,0.175622,
4,1.67,625,0.807727,0.047707,0.175298,
5,2.0,750,0.809132,0.047501,0.175073,
6,2.33,875,0.809806,0.047323,0.174843,
7,2.67,1000,0.811452,0.046822,0.174131,
8,3.0,1125,0.813098,0.046555,0.173614,
9,3.33,1250,0.814873,0.045689,0.172099,
10,3.67,1375,0.817349,0.045342,0.171605,
11,4.0,1500,0.819573,0.044617,0.1703,
12,4.33,1625,0.821696,0.044147,0.169508,
13,4.67,1750,0.825062,0.043555,0.168662,
14,5.0,1875,0.826752,0.043246,0.168151,
15,5.33,2000,0.828441,0.042845,0.167525,
16,5.67,2125,0.830333,0.042512,0.166986,
17,6.0,2250,0.832019,0.042203,0.166472,
18,6.33,2375,0.832768,0.042055,0.166355,
19,6.67,2500,0.833258,0.042014,0.166391,
20,7.0,2625,0.834072,0.041906,0.166168,
21,7.33,2750,0.83542,0.041727,0.165889,
22,7.67,2875,0.836053,0.04161,0.165717,
23,8.0,3000,0.836526,0.04149,0.165588,
24,8.33,3125,0.836022,0.041455,0.165515,
25,8.67,3250,0.837051,0.041346,0.165287,
26,9.0,3375,0.837542,0.041275,0.165123,
27,9.33,3500,0.838245,0.041082,0.164859,
28,9.67,3625,0.838533,0.041024,0.164624,
29,10.0,3750,0.839017,0.040937,0.164422,
30,10.33,3875,0.83863,0.040901,0.164403,
31,10.67,4000,0.838943,0.040823,0.164268,
32,11.0,4125,0.838983,0.040787,0.164152,
33,11.33,4250,0.839046,0.040783,0.164149,
34,11.67,4375,0.839334,0.040742,0.164082,
35,12.0,4500,0.839216,0.040737,0.164137,
36,12.33,4625,0.839063,0.040768,0.164187,
37,12.67,4750,0.839695,0.04067,0.163877,
38,13.0,4875,0.839277,0.040718,0.164003,
39,13.33,5000,0.839748,0.040644,0.163852,
40,13.67,5125,0.839514,0.040662,0.164009,
41,14.0,5250,0.840006,0.040599,0.163819,
42,14.33,5375,0.83952,0.040634,0.163919,
43,14.67,5500,0.839334,0.040663,0.163938,
44,15.0,5625,0.839245,0.040677,0.163986,
45,15.33,5750,0.839431,0.040677,0.164068,
46,15.67,5875,0.839739,0.040613,0.16383,
47,16.0,6000,0.839079,0.040658,0.16396,
48,16.33,6125,0.839698,0.040613,0.163908,
49,16.67,6250,0.839194,0.040637,0.163886,
50,17.0,6375,0.839402,0.040657,0.163981,
51,17.33,6500,0.839224,0.040675,0.164018,
52,17.67,6625,0.839349,0.040601,0.163877,
53,18.0,6750,0.839711,0.040649,0.163995,
54,18.33,6875,0.839507,0.040607,0.163916,
55,18.67,7000,0.839689,0.040586,0.16388,
56,19.0,7125,0.839665,0.040648,0.163958,
57,19.33,7250,0.839063,0.040723,0.164076,
58,19.67,7375,0.838956,0.04068,0.164,
59,20.0,7500,0.839178,0.040691,0.16403,
60,test,test,,0.028896,0.135377,75.836
