,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,409.029,0.003231,0.035802,0.084588,5424315392
1,1,400.29,0.00199,0.025485,0.083254,5424315392
2,2,399.969,0.000859,0.018348,0.082472,5424315392
3,3,400.249,0.000981,0.018702,0.082387,5424315392
4,4,400.29,0.000689,0.015474,0.082231,5424315392
5,5,400.49,0.000484,0.013363,0.082086,5424315392
6,6,400.225,0.000334,0.011174,0.08198,5424315392
7,7,400.344,0.000235,0.009598,0.08191,5424315392
8,8,400.465,0.000193,0.008458,0.081861,5424315392
9,9,395.057,0.000195,0.007759,0.081878,5424315392
10,10,394.928,0.000219,0.00871,0.081898,5424315392
11,11,400.235,8.2e-05,0.005464,0.081809,5424315392
12,12,395.018,0.000126,0.006934,0.08182,5424315392
13,13,395.199,0.000142,0.007254,0.08184,5424315392
14,14,400.235,7e-05,0.004906,0.081798,5424315392
15,15,395.133,6.8e-05,0.004626,0.0818,5424315392
16,16,395.18,7.1e-05,0.005019,0.081809,5424315392
17,17,395.243,5e-05,0.004107,0.081805,5424315392
18,18,395.292,9.4e-05,0.005671,0.081809,5424315392
19,19,394.159,5.2e-05,0.004393,0.08181,5424315392
20,20,395.449,5.1e-05,0.003723,0.081804,5424315392
21,21,401.664,6.1e-05,0.004626,0.081765,5424315392
22,22,395.45,4.8e-05,0.004158,0.081779,5424315392
23,23,395.632,9.2e-05,0.005998,0.081808,5424315392
24,24,395.44,5.3e-05,0.004191,0.081785,5424315392
25,25,395.588,5e-05,0.003871,0.081781,5424315392
26,26,395.608,5.9e-05,0.004468,0.081804,5424315392
27,27,395.413,6.4e-05,0.004597,0.081807,5424315392
28,28,395.398,5.1e-05,0.004103,0.081776,5424315392
29,29,395.131,5.1e-05,0.00397,0.081776,5424315392
30,30,400.167,4.4e-05,0.003635,0.081755,5424315392
31,31,395.366,4.2e-05,0.003379,0.081767,5424315392
32,32,395.715,4.6e-05,0.003579,0.08179,5424315392
33,33,395.401,3.5e-05,0.002944,0.081791,5424315392
34,34,395.413,3.4e-05,0.00286,0.081782,5424315392
35,35,395.299,3.3e-05,0.002833,0.081787,5424315392
36,36,400.253,3.4e-05,0.002865,0.081752,5424315392
37,37,395.554,3.9e-05,0.003347,0.08179,5424315392
38,38,396.095,3.6e-05,0.002983,0.081771,5424315392
39,39,395.535,3.4e-05,0.002972,0.081764,5424315392
40,40,395.451,4.1e-05,0.003225,0.081803,5424315392
41,41,395.624,3.2e-05,0.0029,0.081778,5424315392
42,42,395.393,3.6e-05,0.002911,0.081785,5424315392
43,43,395.068,3.3e-05,0.002764,0.081762,5424315392
44,44,395.57,3.2e-05,0.002619,0.081766,5424315392
45,45,395.313,3.2e-05,0.00276,0.081781,5424315392
46,46,395.573,3.1e-05,0.002623,0.081759,5424315392
47,assert_min_valid_loss,23.791,,,0.08175189399719238,6770040320
48,assert_checked_valid_loss,23.791,,,0.08175189399719238,
49,test,24.068,4.278271150330681e-05,0.0034070690997759813,0.0817437744140625,6770040320
