,epoch,epoch_time,valid_mse,valid_mae,valid_loss,torch_memory
0,0,126.546,0.010473,0.071707,0.092658,2452795392
1,1,127.589,0.01013,0.067626,0.091921,2452795392
2,2,127.57,0.007764,0.054497,0.091213,2452795392
3,3,126.035,0.008156,0.057939,0.091733,2452795392
4,4,127.736,0.006896,0.052915,0.08973,2452795392
5,5,127.449,0.00604,0.049918,0.089413,2452795392
6,6,125.934,0.006762,0.050778,0.091178,2452795392
7,7,125.811,0.006386,0.049872,0.090584,2452795392
8,8,125.48,0.006102,0.050199,0.090267,2452795392
9,9,125.691,0.005998,0.049638,0.090251,2452795392
10,10,125.687,0.006199,0.050251,0.090897,2452795392
11,11,125.751,0.00606,0.049848,0.090733,2452795392
12,12,125.571,0.006177,0.050209,0.090808,2452795392
13,13,125.639,0.006094,0.049916,0.090978,2452795392
14,14,125.666,0.006166,0.049876,0.091128,2452795392
15,15,125.558,0.006177,0.049962,0.091258,2452795392
16,assert_min_valid_loss,8.688,,,0.08941326904296874,3056263680
17,assert_checked_valid_loss,8.688,,,0.08941326904296874,
18,test,8.641,0.0077849376653321084,0.05733798795938492,0.093569580078125,3056263680
