,epochs,steps,valid_similarity_score,valid_mse,valid_mae,test_time
0,0.33,125,0.876735,0.07164,0.227006,
1,0.67,250,0.900376,0.050553,0.191971,
2,1.0,375,0.909843,0.031519,0.15133,
3,1.33,500,0.917528,0.030869,0.148758,
4,1.67,625,0.916516,0.026092,0.135077,
5,2.0,750,0.920324,0.019296,0.114163,
6,2.33,875,0.923261,0.018732,0.111668,
7,2.67,1000,0.923878,0.020098,0.115811,
8,3.0,1125,0.928624,0.016819,0.104376,
9,3.33,1250,0.929104,0.017571,0.106653,
10,3.67,1375,0.930598,0.016532,0.10292,
11,4.0,1500,0.928644,0.016953,0.103785,
12,4.33,1625,0.931036,0.015554,0.09783,
13,4.67,1750,0.931574,0.015603,0.098697,
14,5.0,1875,0.931714,0.015381,0.098003,
15,5.33,2000,0.931641,0.015424,0.0969,
16,5.67,2125,0.930486,0.015751,0.098321,
17,6.0,2250,0.930972,0.015644,0.098601,
18,6.33,2375,0.930133,0.015608,0.097869,
19,6.67,2500,0.929837,0.015798,0.098601,
20,7.0,2625,0.929348,0.016031,0.099597,
21,7.33,2750,0.929637,0.015825,0.09865,
22,7.67,2875,0.930356,0.015852,0.09839,
23,8.0,3000,0.930854,0.015811,0.09842,
24,8.33,3125,0.931074,0.01568,0.098088,
25,8.67,3250,0.930706,0.015709,0.09832,
26,9.0,3375,0.930606,0.015623,0.097992,
27,9.33,3500,0.930864,0.015593,0.097847,
28,9.67,3625,0.931562,0.015569,0.097724,
29,10.0,3750,0.931401,0.015563,0.097638,
30,10.33,3875,0.931453,0.01558,0.097779,
31,10.67,4000,0.931481,0.015575,0.097759,
32,11.0,4125,0.93154,0.015573,0.097849,
33,11.33,4250,0.931398,0.015542,0.09772,
34,11.67,4375,0.931653,0.015565,0.097841,
35,12.0,4500,0.931742,0.015518,0.097629,
36,test,test,,0.015627,0.099302,122.688
