,epochs,steps,valid_similarity_score,valid_mse,valid_mae,test_time
0,0.33,125,0.722663,0.232429,0.399222,
1,0.67,250,0.79178,0.144009,0.315815,
2,1.0,375,0.835747,0.123932,0.295676,
3,1.33,500,0.841391,0.079051,0.232648,
4,1.67,625,0.847951,0.080387,0.233625,
5,2.0,750,0.873919,0.083906,0.239251,
6,2.33,875,0.885981,0.065064,0.207828,
7,2.67,1000,0.877683,0.057412,0.191716,
8,3.0,1125,0.882318,0.048344,0.172923,
9,3.33,1250,0.885368,0.04756,0.17322,
10,3.67,1375,0.879381,0.04107,0.159765,
11,4.0,1500,0.882287,0.038456,0.152114,
12,4.33,1625,0.872352,0.036179,0.148556,
13,4.67,1750,0.8706,0.037651,0.152819,
14,5.0,1875,0.889414,0.032428,0.139146,
15,5.33,2000,0.88611,0.030441,0.133086,
16,5.67,2125,0.892381,0.028922,0.129347,
17,6.0,2250,0.898352,0.028686,0.125778,
18,6.33,2375,0.890165,0.02825,0.127035,
19,6.67,2500,0.897685,0.028802,0.126598,
20,7.0,2625,0.898133,0.02733,0.12308,
21,7.33,2750,0.914471,0.026273,0.118092,
22,7.67,2875,0.904515,0.026388,0.119378,
23,8.0,3000,0.903382,0.027151,0.12226,
24,8.33,3125,0.899747,0.026012,0.119497,
25,8.67,3250,0.903009,0.025366,0.116607,
26,9.0,3375,0.903248,0.025708,0.116478,
27,9.33,3500,0.902639,0.025122,0.113734,
28,9.67,3625,0.899474,0.025485,0.115621,
29,10.0,3750,0.896972,0.025431,0.11566,
30,10.33,3875,0.899006,0.025214,0.114734,
31,10.67,4000,0.901914,0.024446,0.112037,
32,11.0,4125,0.901833,0.02447,0.112745,
33,11.33,4250,0.902272,0.024189,0.111906,
34,11.67,4375,0.901332,0.024133,0.111852,
35,12.0,4500,0.901563,0.024069,0.111641,
36,test,test,,0.026267,0.119418,32.498
